,id,name,main_trail,locality,walk,bike,off_road_v,mobility_a,horse,dog_access,dog_weblin,conditions,status,descriptio,weblink,image_link,managed_by,data_suppl,spatial_ac,date_modif,local_auth,geometry,affected_area,affected_length
10322,3585417,Monkey Island Viewpoint Track,Monkey Island Viewpoint Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1193802.3150000004 4859053.3521, 1193792.7510000002 4859083.2396, 1193771.2319999998 4859122.6911)",0.0,76.3191679491726
17382,10000135,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1320550.9832295852 4830110.021743074, 1320551.2652000003 4830110.4753, 1320587.3749000002 4830137.0977, 1320577.6843999997 4830156.3716, 1320540.8924240298 4830154.12067491), (1320540.6278298348 4830154.104487095, 1320536.9884065315 4830153.881827969))",0.0,107.47664159432567
17677,3521285,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1321221.6106797291 4830232.357994525, 1321199.1968999999 4830269.1974, 1321159.1059999997 4830299.0184, 1321114.5624000002 4830307.7181, 1321061.9288999997 4830310.2955, 1321029.7682999996 4830328.9295, 1321016.7673000004 4830369.0197, 1320993.2043000003 4830390.5754, 1320952.5641 4830398.684, 1320823.0521999998 4830417.4823, 1320779.5806 4830443.917, 1320725.8936 4830420.762, 1320631.2532000002 4830416.8372, 1320573.3789 4830435.5107, 1320518.4242000002 4830446.4871, 1320479.6460999995 4830385.9641, 1320467.4960000003 4830362.023, 1320405.7567999996 4830322.3568, 1320353.0452109948 4830311.500845105)",0.0,1021.5788295123673
12839,3513017,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1326940.6198490066 4832988.835548915, 1326939.7832314726 4832988.833607525), (1326938.8146349662 4832988.8313598735, 1326908.1061000004 4832988.7601, 1326871.8846000005 4832970.5374, 1326849.2752 4832945.5431, 1326842.5806 4832900.1795, 1326829.0861 4832854.8035, 1326808.7917999998 4832809.4083, 1326793.0296999998 4832764.0236, 1326777.2359999996 4832732.2453, 1326770.8159999996 4832710.2195, 1326765.9934999999 4832693.6743, 1326741.1375000002 4832659.6038, 1326702.6640999997 4832634.5725, 1326664.1873000003 4832609.5446, 1326635.9458255835 4832593.763502662))",0.0,538.7474058342862
8035,F485__509599,Tautuku Bay Nature Walk Walking Track,,,3.0,99.0,99.0,,99.0,,,,,Tautuku Bay Nature Walk Walking Track,,,DOC,DOC,,,,"LINESTRING (1327725.9032523488 4835402.029171672, 1327743.5372000001 4835373.3214)",0.0,33.691130348196694
7997,F485__510845,Picnic Point Walk,,,2.0,99.0,99.0,,99.0,,,,,Picnic Point Walk,,,DOC,DOC,,,,"LINESTRING (1329685.4870999996 4837308.4661, 1329686.3432033667 4837299.444013787)",0.0,9.062612901336438
17562,3556190,Picnic Point Walk,Picnic Point Walk,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1330092.2554022986 4836919.157146644, 1330091.3173000002 4836919.6206, 1330070.8733143304 4836918.163769899), (1329674.9945151994 4837308.601918504, 1329674.3964999998 4837329.0548))",0.0,42.00378754219664
17327,F485__509604,Tahakopa Bay Walk,,,2.0,99.0,99.0,,99.0,,,,,Tahakopa Bay Walk,,,DOC,DOC,,,,"LINESTRING (1330231.4333920218 4837918.116098081, 1330216.3355999999 4837897.8902, 1330195.3213 4837880.6176, 1330168.5524000004 4837869.0726, 1330147.5347999996 4837853.7139, 1330124.5936000003 4837842.1786, 1330099.7483 4837826.8102, 1330072.9793999996 4837815.2661, 1330050.0434999997 4837801.8169, 1330027.1067000004 4837788.3667, 1330002.2439000001 4837780.6546, 1329996.5588999996 4837755.7615, 1329992.7867 4837730.8717)",0.0,321.5867355432411
17717,3532512,Old Coach Road Walk,Old Coach Road Walk,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1329992.7867 4837730.8717, 1330002.2439000001 4837780.6546, 1330027.1067000004 4837788.3667, 1330147.5347999996 4837853.7139, 1330168.5524000004 4837869.0726, 1330195.3213 4837880.6176, 1330216.3355999999 4837897.8902, 1330231.4333920218 4837918.116098081)",0.0,321.34497221435095
17486,3512844,Old Possumer's Track,Old Possumer's Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1331720.5393000003 4838145.5011, 1331718.2981336114 4838153.939575206)",0.0,8.731018873957794
