,id,name,main_trail,locality,walk,bike,off_road_v,mobility_a,horse,dog_access,dog_weblin,conditions,status,descriptio,weblink,image_link,managed_by,data_suppl,spatial_ac,date_modif,local_auth,geometry,affected_area,affected_length
19722,,Motueka to Mapua,Great Taste Trail - day 2,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"MULTILINESTRING ((1608200.3730821447 5434136.834056621, 1608217.0504 5434148.7279, 1608243.8476 5434164.1255, 1608259.8459 5434175.9155, 1608278.6506000003 5434185.0876, 1608280.2408999996 5434187.7657, 1608278.8598999996 5434189.9633, 1608278.9157999996 5434189.7399, 1608264.1940000001 5434201.2764, 1608236.9955000002 5434222.3833, 1608203.1459 5434243.5627, 1608179.5477 5434262.5531, 1608149.6941 5434283.7556, 1608117.6473000003 5434303.4997, 1608093.7906999998 5434317.8841, 1608068.6706999997 5434339.3602, 1608049.3252999997 5434355.8516, 1608028.8608 5434376.6619, 1608007.1065999996 5434399.9487, 1607981.0412999997 5434424.5706, 1607954.938 5434446.7454, 1607934.9862000002 5434468.0479, 1607902.488 5434500.251, 1607877.1003999999 5434522.2199, 1607845.7023999998 5434559.0183, 1607815.2028 5434589.0136, 1607782.6898999996 5434621.6536, 1607761.4998000003 5434641.7752, 1607746.0406 5434668.2088, 1607736.6052 5434692.3191, 1607716.6213999996 5434717.7712, 1607692.1404 5434741.525, 1607676.5754000004 5434761.3707, 1607656.8207999999 5434784.6635, 1607640.4123 5434804.0354, 1607623.7885999996 5434825.9291, 1607614.9732 5434839.0399, 1607598.2341 5434858.105, 1607585.7309999997 5434871.173, 1607569.6935 5434889.7162, 1607555.4252000004 5434907.4572, 1607552.9767000005 5434910.1768, 1607552.1715912002 5434910.29473663), (1607550.1252973825 5434913.206371443, 1607551.5267000003 5434914.0772, 1607550.2967999997 5434913.3806, 1607550.0603500276 5434913.298783871))",0.0,1134.1256522952426
20082,1242,Kina Estuary Stroll,,Kina Peninsula,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Open,,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Tasman District Council,Tasman District Council,,,Tasman District Council,"MULTILINESTRING ((1604003.2162790524 5442725.322814211, 1603947.0351 5442780.3455, 1603832.5291999998 5442869.4158, 1603803.0038392611 5442891.701561127), (1603092.5879625387 5443456.001369914, 1603078.7558937238 5443464.647517265), (1603139.4718476324 5443606.985127453, 1603182.9404999996 5443577.3992, 1603183.083297007 5443577.287433136), (1603192.2789835823 5443570.089992077, 1603242.8059 5443530.5427, 1603288.191519247 5443496.6508269785), (1603337.9079999384 5443457.76735007, 1603364.7250230128 5443436.172202128), (1603457.9612026135 5443369.845478396, 1603503.0922999997 5443349.1896, 1603528.2528999997 5443321.4231, 1603562.0894999998 5443285.8473, 1603590.7208000002 5443260.6838, 1603674.8804000001 5443212.091, 1603700.0409000004 5443181.7219, 1603726.0685999999 5443140.9403, 1603797.2115000002 5443034.2149, 1603841.4592000004 5442981.2853, 1603871.8246 5442917.9448, 1603921.2764999997 5442830.3088, 1603934.2911 5442823.3668, 1604007.1959867699 5442727.754857811), (1604069.3597963206 5442643.343546006, 1604126.8962000003 5442518.8084, 1604174.6144000003 5442463.2759, 1604216.2593999999 5442419.8908, 1604279.5943 5442333.1215, 1604340.3254000004 5442229.8665, 1604369.8229999999 5442173.4673, 1604407.9967 5442113.5965, 1604502.5647999998 5441985.178, 1604515.5789 5441964.3533, 1604579.7817000002 5441888.8634, 1604650.0585000003 5441829.859, 1604694.3073000005 5441803.8269, 1604729.0113000004 5441755.2363, 1604768.0533999996 5441704.0418, 1604837.4622 5441632.8902, 1604867.2789950462 5441594.204392255), (1604872.117754261 5441587.926342974, 1604901.6642000005 5441549.5913, 1604907.8112211928 5441540.984481248), (1605005.6207388062 5441431.433966783, 1605061.3041000003 5441378.6536, 1605068.2441999996 5441351.7554, 1605097.7429 5441323.989, 1605132.4474999998 5441288.4129, 1605253.9112 5441128.7565, 1605326.7901999997 5441051.5308, 1605400.5367 5440960.4223))",0.0,3356.1172219831724
4836,1261,Motueka by the Sea,,Motueka,99.0,1.0,99.0,UNK,99.0,Unknown,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Open,,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Tasman District Council,Tasman District Council,,,Tasman District Council,"LINESTRING (1602443.944719549 5448906.583242435, 1602446.3073000005 5448914.3146, 1602446.30746779 5448919.451723135)",0.0,13.221408893964526
7230,1267,Tasman's Great Taste Trail - Coastal Route,Tasman's Great Taste Trail,Tasman,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Open,,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Tasman District Council,Tasman District Council,,,Tasman District Council,"MULTILINESTRING ((1602443.944719549 5448906.583242435, 1602446.3073000005 5448914.3146, 1602446.30746779 5448919.451723135), (1600087.8264006504 5454334.988082001, 1600088.3694020326 5454339.253925549), (1601414.4554231495 5457008.772181002, 1601418.3702999996 5457015.2085, 1601427.6470999997 5457040.6092, 1601428.3558 5457051.8943))",0.0,63.40414646840955
11567,,Great Taste Trail part 5 - closed,Great Taste Trail - day 2,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1601414.3299391924 5457007.99104103, 1601423.6098999996 5457027.9778, 1601428.7413999997 5457049.6238, 1601428.2903168574 5457054.778661974)",0.0,49.4565613446833
13634,100066633,Kaiteriteri Walk,,Tasman,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Open,,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Department of Conservation,Tasman District Council,,,Tasman District Council,"LINESTRING (1601472.984910623 5456842.8801864125, 1601476.0162000004 5456839.3239, 1601480.8403000003 5456831.5537, 1601485.0015000002 5456817.5767)",0.0,28.40209592827606
8699,F485__509669,Atct - Marahau To Inland Tk Junction,,,4.0,99.0,99.0,,99.0,,,,,ATCT - Marahau to Inland Tk junction,,,DOC,DOC,,,,"MULTILINESTRING ((1602026.3092894629 5462338.78492, 1602026.2948000003 5462338.7722, 1602022.8814841185 5462337.06764103), (1600604.321844522 5462066.816669757, 1600602.381 5462062.0725, 1600590.7115000002 5462034.187, 1600578.3572000004 5462007.8569, 1600565.3971999995 5461982.2046, 1600553.057 5461956.2554, 1600540.5278000003 5461928.8717, 1600527.7517 5461902.1778, 1600518.3164 5461874.4972, 1600510.5384 5461847.2904, 1600502.3376000002 5461819.3398, 1600483.3869000003 5461796.1907, 1600478.6826746191 5461790.274410619), (1600478.564791818 5461790.1261548055, 1600478.5144905832 5461790.06289324))",0.0,309.6817145297294
20090,F485__509787,Coquille Bay Track,,,3.0,99.0,99.0,,99.0,,,,,Coquille Bay Track,,,DOC,DOC,,,,"LINESTRING (1602464.4422996466 5462388.988604659, 1602469.4462000001 5462381.978)",0.0,8.613222186529711
20058,3512735,Coast Track,Coast Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1600471.4059666037 5461796.108066146, 1600471.4541319825 5461796.161051048), (1600471.6086582097 5461796.331039476, 1600501.3673999999 5461829.0675, 1600520.0018999996 5461902.5412, 1600543.1048999997 5461984.3435, 1600552.0017999997 5462005.1349, 1600563.9404649462 5462032.811295768))",0.0,257.871147333419
13600,F485__509788,Apple Tree Bay Track,,,4.0,99.0,99.0,,99.0,,,,,Apple Tree Bay Track,,,DOC,DOC,,,,"LINESTRING (1603203.0717000002 5463198.6097, 1603207.4099000003 5463217.5977, 1603213.6364000002 5463236.1028, 1603218.6374000004 5463254.5979, 1603218.2705435948 5463272.158354813)",0.0,75.72540640039486
11600,F485__512283,Anchorage Access Tracks,,,4.0,99.0,99.0,,99.0,,,,,Anchorage Access tracks,,,DOC,DOC,,,,"MULTILINESTRING ((1604796.5761761125 5466044.975760676, 1604801.2955 5466047.3246), (1604370.0786522627 5466288.104114272, 1604372.7412999999 5466286.6017, 1604394.7495999997 5466261.8475, 1604415.6627000002 5466234.2654, 1604438.9908999996 5466211.3805, 1604462.2341 5466188.1421, 1604488.2430999996 5466166.1022, 1604516.0811 5466147.755, 1604541.6364892994 5466132.1576009905))",0.0,238.98333682239172
20120,3544937,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1604841.3884278056 5466051.558908669, 1604814.4501 5466046.9597, 1604790.8608402284 5466045.727965337)",0.0,50.94951746631459
19576,F485__510661,Atct - Anchorage Tk Junc To Torrent Bay,,,4.0,99.0,99.0,,99.0,,,,,ATCT - Anchorage tk junc to Torrent Bay,,,DOC,DOC,,,,"MULTILINESTRING ((1604189.8168000001 5467407.2095, 1604189.1512000002 5467406.7748, 1604188.8548999997 5467406.8773, 1604171.0941000003 5467389.5249, 1604160.1321999999 5467367.749, 1604150.3092999998 5467339.1615, 1604146.2854000004 5467322.2107, 1604146.5185000002 5467322.6572, 1604146.1573 5467320.1917, 1604140.3190327678 5467319.60016619), (1604185.1767999995 5467414.7139, 1604188.6034000004 5467411.1762, 1604189.8168000001 5467407.2095))",0.0,115.90515874927658
20124,F485__512051,Pitt Head Track,,,3.0,99.0,99.0,,99.0,,,,,Pitt Head Track,,,DOC,DOC,,,,"LINESTRING (1604800.2292999998 5466048.3423, 1604831.7286 5466048.3422, 1604838.811902971 5466050.325359683)",0.0,38.85498510146404
13654,3526108,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1604181.6438774385 5467413.911603892, 1604184.9888000004 5467397.9073, 1604160.6821999997 5467338.4439, 1604150.403 5467293.8463, 1604138.1062000003 5467267.0143, 1604123.1328143575 5467256.878478732)",0.0,173.95339987336405
20113,F485__511984,Atct - N. Torrent Bay To Bark Bay,,,4.0,99.0,99.0,,99.0,,,,,ATCT - N. Torrent Bay to Bark Bay,,,DOC,DOC,,,,"LINESTRING (1604183.9195067834 5467416.369683793, 1604185.1767999995 5467414.7139)",0.0,2.0790397303773944
20110,F485__511985,Atct - Bark Bay To Onetahuti,,,4.0,99.0,99.0,,99.0,,,,,ATCT - Bark Bay to Onetahuti,,,DOC,DOC,,,,"LINESTRING (1603937.2729000002 5473535.5492, 1603936.8792823544 5473533.366669242)",0.0,2.21774104904168
13647,3512736,Coast Track,Coast Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1603960.4321635591 5473482.353790812, 1603956.0371000003 5473501.744, 1603943.9452 5473555.0989, 1603940.9435 5473640.0659, 1603957.1343999999 5473769.5167, 1603972.2275 5473836.6914, 1603986.4205 5473877.7743, 1604030.9020999996 5473961.7437, 1604072.3837000001 5474059.9054, 1604107.7681 5474139.7749, 1604141.8477999996 5474176.9642, 1604186.6366999997 5474225.8435, 1604240.3148999996 5474275.3239, 1604272.7891213095 5474301.882057799)",0.0,923.0262301454044
13656,F485__512585,Atct - Bark Bay To Onetahuti,,,4.0,99.0,99.0,,99.0,,,,,ATCT - Bark Bay to Onetahuti,,,DOC,DOC,,,,"LINESTRING (1604304.7872051236 5474316.801414747, 1604298.4486999996 5474312.0435, 1604271.4693 5474293.9432, 1604246.841 5474274.7894, 1604223.0595000004 5474253.9242, 1604199.7707000002 5474232.5283, 1604179.005 5474212.2559, 1604159.1561000003 5474189.2946, 1604139.9769000001 5474165.1407, 1604120.6908 5474140.4671, 1604102.1693000002 5474116.3132, 1604084.4446 5474090.4011, 1604067.9474999998 5474063.3893, 1604051.2525000004 5474035.8388, 1604036.6206999999 5474007.7845, 1604022.6926999995 5473978.8645, 1604009.3103999998 5473950.7722, 1603996.4009999996 5473921.8612, 1603985.1498999996 5473892.8643, 1603975.6722 5473863.2816, 1603965.0489999996 5473833.252, 1603957.3575999998 5473802.7467, 1603949.9831999997 5473771.8026, 1603943.6882999996 5473741.4732, 1603939.2668000003 5473711.0408, 1603936.7155 5473680.3846, 1603935.4297000002 5473652.9461, 1603934.4107999997 5473622.8377, 1603935.6520999996 5473593.2111, 1603938.1349 5473563.2296, 1603937.2729000002 5473535.5492)",0.0,903.429090449702
11515,100066166,Abel Tasman Coast Track,,Tasman,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Open,,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Department of Conservation,Tasman District Council,,,Tasman District Council,"MULTILINESTRING ((1599492.7819999997 5484447.5072, 1599473.3537949375 5484512.066938518), (1602026.3092894629 5462338.78492, 1602026.2948000003 5462338.7722, 1602022.8814841185 5462337.06764103), (1600604.321844522 5462066.816669757, 1600602.381 5462062.0725, 1600590.7115000002 5462034.187, 1600578.3572000004 5462007.8569, 1600565.3971999995 5461982.2046, 1600553.057 5461956.2554, 1600540.5278000003 5461928.8717, 1600527.7517 5461902.1778, 1600518.3164 5461874.4972, 1600510.5384 5461847.2904, 1600502.3376000002 5461819.3398, 1600483.3869000003 5461796.1907, 1600478.6826746191 5461790.274410619), (1600478.564791818 5461790.1261548055, 1600478.5144905832 5461790.06289324), (1602464.4422996466 5462388.988604659, 1602469.4462000001 5462381.978), (1603203.0717000002 5463198.6097, 1603207.4099000003 5463217.5977, 1603213.6364000002 5463236.1028, 1603218.6374000004 5463254.5979, 1603218.2705435948 5463272.158354813), (1604123.4645543294 5467260.707221312, 1604143.9063999997 5467272.9127, 1604151.6042 5467292.1575, 1604156.0939999996 5467323.9127, 1604163.4708000002 5467354.7052, 1604172.1301999995 5467381.3273, 1604184.9600999998 5467402.4975, 1604185.1767999995 5467414.7139, 1604183.9195067834 5467416.369683793), (1604838.811902971 5466050.325359683, 1604831.7286 5466048.3422, 1604800.2292999998 5466048.3423, 1604784.6055042138 5466047.0401394665), (1600782.6606896736 5479655.8051519785, 1600788.7356000002 5479649.7306, 1600816.784 5479617.6767, 1600820.7925000004 5479561.5829, 1600825.6340587884 5479549.964270466), (1600989.146829731 5479277.539385028, 1600993.0957000004 5479273.0971, 1601021.1454999996 5479229.0228, 1601061.2149999999 5479176.9359, 1601089.2648 5479132.8616, 1601094.0871056083 5479111.968111185), (1601972.290844258 5476571.765528096, 1601973.7762000002 5476572.7769, 1601993.2956999997 5476575.7049, 1602015.7432000004 5476575.2173, 1602030.3825000003 5476579.6088, 1602064.0537 5476581.0735, 1602097.7248999998 5476581.0739, 1602130.4205 5476579.6098, 1602186.5389999999 5476588.3939, 1602257.2980000004 5476593.7625, 1602299.6527000004 5476600.2674, 1602332.7681 5476603.3766, 1602358.0324999997 5476604.6243, 1602385.1512000002 5476605.9641, 1602430.3671000004 5476604.762, 1602458.1445000004 5476605.1712, 1602473.3897948433 5476601.206148682), (1604304.7872051336 5474316.801414751, 1604298.4486999996 5474312.0435, 1604271.4693 5474293.9432, 1604246.841 5474274.7894, 1604223.0595000004 5474253.9242, 1604199.7707000002 5474232.5283, 1604179.005 5474212.2559, 1604159.1561000003 5474189.2946, 1604139.9769000001 5474165.1407, 1604120.6908 5474140.4671, 1604102.1693000002 5474116.3132, 1604084.4446 5474090.4011, 1604067.9474999998 5474063.3893, 1604051.2525000004 5474035.8388, 1604036.6206999999 5474007.7845, 1604022.6926999995 5473978.8645, 1604009.3103999998 5473950.7722, 1603996.4009999996 5473921.8612, 1603985.1498999996 5473892.8643, 1603975.6722 5473863.2816, 1603965.0489999996 5473833.252, 1603957.3575999998 5473802.7467, 1603949.9831999997 5473771.8026, 1603943.6882999996 5473741.4732, 1603939.2668000003 5473711.0408, 1603936.7155 5473680.3846, 1603935.4297000002 5473652.9461, 1603934.4107999997 5473622.8377, 1603935.6520999996 5473593.2111, 1603938.1349 5473563.2296, 1603937.2729000002 5473535.5492, 1603936.683381002 5473534.349215347), (1599492.7819999997 5484447.5072, 1599494.8177472672 5484441.795210555), (1599523.1080866726 5484362.559694409, 1599537.7092678798 5484326.190807164), (1599547.5063568396 5484303.776961476, 1599567.9374956961 5484270.883479294), (1599633.5373579748 5484174.085087707, 1599640.6172000002 5484164.3733, 1599642.2929676427 5484155.95655075), (1600176.6629914579 5483440.158854932, 1600198.0333000002 5483391.5003, 1600202.5346999997 5483386.6963, 1600227.0553943003 5483360.527201225), (1600255.3683640638 5483296.821629403, 1600256.0149999997 5483294.7981, 1600258.3705000002 5483287.4281, 1600263.4132000003 5483271.6495, 1600284.6072000004 5483220.4703, 1600307.7320326332 5483190.6956156995), (1599482.8467227079 5484460.279706689, 1599492.7819999997 5484447.5072))",0.0,2753.9843838646084
20085,F485__512584,Awaroa Hut To Onetahuti Beach,,,4.0,99.0,99.0,,99.0,,,,,AWAROA HUT TO ONETAHUTI BEACH,,,DOC,DOC,,,,"LINESTRING (1602473.3897948433 5476601.206148682, 1602458.1445000004 5476605.1712, 1602430.3671000004 5476604.762, 1602385.1512000002 5476605.9641, 1602358.0324999997 5476604.6243, 1602332.7681 5476603.3766, 1602299.6527000004 5476600.2674, 1602257.2980000004 5476593.7625, 1602186.5389999999 5476588.3939, 1602130.4205 5476579.6098, 1602097.7248999998 5476581.0739, 1602064.0537 5476581.0735, 1602030.3825000003 5476579.6088, 1602015.7432000004 5476575.2173, 1601993.2956999997 5476575.7049, 1601973.7762000002 5476572.7769, 1601972.290844258 5476571.765528096)",0.0,504.46233645133856
20073,3516079,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1602473.8487909932 5476607.238668472, 1602417.4167999998 5476620.7556, 1602211.9130999995 5476601.1818, 1602115.6859999998 5476596.2874, 1602073.5662000002 5476595.8078, 1602041.2785999998 5476572.9157, 1601981.41474178 5476564.851467628)",0.0,502.92013009360306
13364,3580295,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1603037.2079831678 5476789.369154254, 1603041.6929000001 5476803.2373)",0.0,14.575319736797917
20069,F485__511893,Totaranui Camp To Awaroa Hut,,,4.0,99.0,99.0,,99.0,,,,,TOTARANUI CAMP TO AWAROA HUT,,,DOC,DOC,,,,"MULTILINESTRING ((1600772.6433759127 5479681.46208928, 1600789.5398750254 5479678.642757941), (1600799.6251372448 5479663.840943059, 1600805.8147999998 5479644.1132, 1600810.7732999995 5479621.5121, 1600819.2604999999 5479597.0768, 1600830.4779000003 5479577.2022, 1600845.3437 5479551.3621, 1600858.7397999996 5479529.0206, 1600862.0324999997 5479524.461, 1600868.8081 5479512.4482, 1600883.9139999999 5479487.3895, 1600895.6136999996 5479463.9316, 1600907.2569000004 5479440.3621, 1600920.9278999995 5479415.3314, 1600931.9989 5479394.8603, 1600946.7435999997 5479367.28, 1600951.0135386542 5479359.226056552), (1600963.2143102468 5479336.558254921, 1600967.5808408756 5479327.862647927), (1600972.1305421721 5479319.297938502, 1600995.2512999997 5479277.8579, 1601034.9204000002 5479207.7249, 1601049.4387999997 5479184.6757, 1601056.6231000004 5479168.3361, 1601068.9096 5479153.5682, 1601076.1722999997 5479142.2715, 1601085.9786 5479129.1136, 1601106.9121000003 5479099.6526, 1601118.9437999995 5479084.0565, 1601128.7145999996 5479070.4985, 1601129.6678999998 5479066.6463, 1601133.511 5479059.8907, 1601140.1730000004 5479049.5989, 1601142.0235000001 5479043.3739, 1601140.5841796 5479040.847937014), (1601179.7154581568 5478247.272113056, 1601182.2375999996 5478245.3153, 1601196.9563999996 5478211.1753, 1601206.8952000001 5478193.1613, 1601218.5542000001 5478174.1403, 1601219.974877388 5478165.023459224), (1601220.9177030507 5478162.003843566, 1601225.3304000003 5478158.1534, 1601231.5461 5478146.438, 1601241.9577000001 5478128.9346, 1601238.613231862 5478122.6980604))",0.0,835.7499380405435
13616,10000028,Coast Track,Coast Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1601083.5509784261 5479120.279696007, 1601073.5619 5479148.897, 1601060.6736000003 5479176.7813, 1601024.4217055845 5479218.688256702), (1601016.507569036 5479228.519684395, 1601011.2422403176 5479236.003002177), (1600998.303620428 5479254.391940355, 1600992.6242811156 5479262.463668283), (1600818.3143696992 5479555.298124386, 1600810.920911968 5479574.231872479), (1600794.0628605909 5479621.477201873, 1600792.1552999998 5479627.3994, 1600792.1550000003 5479627.4, 1600782.961652393 5479655.947713269))",0.0,192.00016787110403
11521,F485__511914,Mutton Cove Camp To Totaranui Camp,,,4.0,99.0,99.0,,99.0,,,,,MUTTON COVE CAMP TO TOTARANUI CAMP,,,DOC,DOC,,,,"MULTILINESTRING ((1599492.7819999997 5484447.5072, 1599532.2986000003 5484401.5216, 1599570.3207999999 5484301.4834, 1599648.1694999998 5484158.5723, 1599646.1175632644 5484148.330662755), (1600177.339217575 5483440.291883019, 1600183.9826999996 5483420.1829, 1600205.7032000003 5483413.0365, 1600230.196703992 5483360.443205375), (1600247.4552714597 5483291.752304535, 1600256.3804000001 5483284.4111, 1600258.1902 5483279.6472, 1600346.8766 5483174.839, 1600354.1155000003 5483151.0194, 1600363.165 5483141.4913, 1600384.8838999998 5483122.4348, 1600386.0566704655 5483114.329164347))",0.0,671.9654277984512
20033,3517048,Anapai Bay Track,Anapai Bay Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1600307.7172769508 5483190.708197332, 1600284.6053 5483220.4674, 1600282.1067550662 5483223.987387976), (1600271.6650090702 5483238.697878008, 1600256.309093547 5483260.331524557), (1599642.2885013132 5484155.964615923, 1599640.6130999997 5484164.3753, 1599637.0179000003 5484169.3743, 1599633.5071016997 5484174.18421273), (1599567.9387436048 5484270.88231661, 1599547.506019994 5484303.783365017), (1599537.7119197696 5484326.189252572, 1599523.1081926941 5484362.559278462), (1599520.7274963576 5484370.216705574, 1599519.8095803545 5484373.325281438), (1599501.0368760377 5484436.809615464, 1599493.8618 5484461.0449, 1599479.87149931 5484475.44925792))",0.0,215.732977464047
13594,3525590,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1596145.3134098926 5483141.329322648, 1596158.1704000002 5483162.4292, 1596183.279 5483217.848, 1596193.43692227 5483254.55328901), (1596177.5008871106 5483363.815955382, 1596174.6209000004 5483368.5273, 1596167.771034366 5483382.538563699), (1596252.3711995734 5484076.152797029, 1596253.4176133622 5484091.527584803))",0.0,160.16310360021816
13590,100066188,Taupo Point Track,,Tasman,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Open,,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Department of Conservation,Tasman District Council,,,Tasman District Council,"MULTILINESTRING ((1596253.916130488 5484541.951745939, 1596265.0417150636 5484515.458639854), (1596253.4149746154 5484091.527679045, 1596252.3680207257 5484076.143491885), (1596214.2763536884 5483950.022185446, 1596182.7382851518 5483891.300725273), (1596143.3118004692 5483389.21259332, 1596165.4133000001 5483356.6341, 1596165.5870147871 5483355.986839099), (1596171.933784489 5483332.338789621, 1596179.3098999998 5483304.8554, 1596179.1891380171 5483303.836863837), (1596175.4727778253 5483272.492171009, 1596174.2137000002 5483261.8728, 1596143.9285000004 5483192.4005, 1596082.0571999997 5483088.8414, 1596076.206739819 5483059.122391648))",0.0,417.7322553109103
8691,F485__509703,Gibbs Track Junction To Mutton Cove Camp,,,4.0,99.0,99.0,,99.0,,,,,GIBBS TRACK JUNCTION TO MUTTON COVE CAMP,,,DOC,DOC,,,,"LINESTRING (1599492.7819999997 5484447.5072, 1599482.8467227079 5484460.279706689)",0.0,16.181676735694577
13598,F485__509647,Separation Point Track,,,4.0,99.0,99.0,,99.0,,,,,SEPARATION POINT TK,,,DOC,DOC,,,,"LINESTRING (1599492.7819999997 5484447.5072, 1599473.3537949375 5484512.066938518)",0.0,67.41969289025668
13612,3544253,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1599493.8618 5484461.0449, 1599473.0327139657 5484518.406623646)",0.0,61.02637269753477
8635,100045886,Puponga Point Walk,,Tasman,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Open,,http://www.doc.govt.nz/parks-and-recreation/plan-and-prepare/dog-access/,,Department of Conservation,Tasman District Council,,,Tasman District Council,"LINESTRING (1577821.3438658135 5513591.016522572, 1577816.7452999996 5513587.7314, 1577775.3990000002 5513570.3186, 1577731.8754000003 5513557.2575, 1577705.7625000002 5513533.318, 1577684.0031000003 5513489.7923, 1577668.7721999995 5513463.6768, 1577655.7144999998 5513461.4998)",0.0,223.51371626904168
20147,,Rabbit Island - closed,Great Taste Trail - day 2,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1608687.6505710906 5432857.750851846, 1608820.4588000001 5432895.5762, 1608845.256394669 5432910.005010791)",0.0,166.77967897763398
7203,1271,Tasman's Great Taste Trail - Coastal Route,Tasman's Great Taste Trail,Tasman,99.0,99.0,99.0,UNK,99.0,Unknown,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Open,,http://www.tasman.govt.nz/services/animal-control/dog-control/exercising-your-dog/,,Tasman District Council,Tasman District Council,,,Tasman District Council,"MULTILINESTRING ((1612786.7074670447 5431790.12172114, 1612786.5009000003 5431791.103, 1612777.8224999998 5431800.628, 1612771.0492000002 5431806.5547, 1612767.2391999997 5431808.6713, 1612764.6991999997 5431811.8463, 1612761.9474999998 5431815.6563, 1612753.4808 5431819.2547, 1612720.8841000004 5431832.5897, 1612682.9956999999 5431850.7931, 1612652.5155999996 5431864.5514, 1612643.4139 5431867.5148, 1612622.6705 5431872.5948, 1612597.0587999998 5431878.9448, 1612589.6505000005 5431879.3681, 1612583.0888 5431879.7915, 1612579.7021000003 5431880.2148, 1612576.9505000003 5431881.9081, 1612573.5637999997 5431884.8715, 1612565.9437999995 5431895.2432, 1612554.9370999997 5431900.9582, 1612535.6754 5431909.2132, 1612479.3718999997 5431933.5549, 1612440.8485000003 5431949.8533, 1612405.0768 5431962.9766, 1612378.1951000001 5431971.2317, 1612334.38 5431987.9534, 1612301.7379 5432002.5355, 1612259.980118013 5432019.880768648), (1608789.312688274 5432815.215950004, 1608788.9134 5432815.6767, 1608768.7915903872 5432815.677729151), (1608363.7714516125 5433025.688179355, 1608355.3937 5433042.4461, 1608353.004286522 5433046.385921757))",0.0,625.9238068731711
19722,,Motueka to Mapua,Great Taste Trail - day 2,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1608362.1967429437 5433026.504694992, 1608352.5220773933 5433044.873602909)",0.0,20.760923187260605
21210,,Pencarrow,Rimutaka Cycle Trail - Big Coast,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1757528.6003610236 5424916.8028702475, 1757523.7419145796 5424914.116825477)",0.0,5.551516761791152
8273,3563233,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1759047.3975972787 5433206.632818176, 1759020.9252000004 5433204.6751, 1759009.3510999996 5433205.3574, 1758998.4581000004 5433208.763, 1758991.3099999996 5433213.5298, 1758960.3355999999 5433239.406, 1758949.7835 5433245.1945, 1758940.2521000002 5433247.2382, 1758927.6566000003 5433247.2398, 1758917.4445000002 5433250.305, 1758909.9561 5433256.774, 1758909.6385204927 5433257.363265666)",0.0,154.110629790378
