,t50_fid,support_ty,geometry,affected_area,affected_length
4027,2434222,pole,"LINESTRING (1443032.5290292045 5007081.820359416, 1442996.4676020443 5007053.092903831, 1442741.3843732728 5006832.800257097)",0.0,383.1457485062718
3357,2433000,pole,"MULTILINESTRING ((1262932.434486311 5122274.2300350685, 1262909.4937420196 5122265.958600012), (1262834.8876467228 5122239.058885502, 1262698.9224318247 5122190.035740014, 1262574.257301225 5121992.4208870875))",0.0,402.57093008791605
8047,6303980,pylon,"LINESTRING (1688433.8745125884 5675788.481803867, 1688432.4907799573 5675767.853926279)",0.0,20.67423637757223
