,t50_fid,name_ascii,macronated,name,geometry,affected_area,affected_length
308,2426391,Manawapou Pa,N,Manawapou Pa,POINT (1715966.131853411 5609421.198521786),0.0,0.0
1558,2427790,,N,,POINT (1737390.6386920009 6056169.310535001),0.0,0.0
1560,2427792,,N,,POINT (1738922.222794001 6057187.198240001),0.0,0.0
1559,2427791,,N,,POINT (1738655.0794980004 6057352.674038),0.0,0.0
461,2426553,Arapawanui Pa,N,Arapawanui Pa,POINT (1724456.0701539265 5686156.988664415),0.0,0.0
749,2426939,,N,,POINT (1730513.7702528127 5909264.994644543),0.0,0.0
755,2426945,,N,,POINT (1728272.7661620006 5916247.7959630005),0.0,0.0
759,2426949,,N,,POINT (1728046.2445730008 5916738.646051998),0.0,0.0
1461,2427690,,N,,POINT (1640033.3154577771 6128911.472664129),0.0,0.0
1948,2428192,,N,,POINT (1572033.979940001 6190444.73397),0.0,0.0
