,t50_fid,name_ascii,macronated,name,status,track_type,track_use,geometry,affected_area,affected_length
89312,7744193,,N,,,,foot,"MULTILINESTRING ((1348140.182000001 4847603.5591, 1348137.3647968876 4847611.7218096545), (1348132.9760021963 4847618.737935216, 1348131.298800001 4847621.288000001, 1348127.313691223 4847628.054331163, 1348126.995429771 4847638.578234043, 1348122.1199096022 4847646.108365598, 1348121.9921302756 4847648.005936427), (1348121.8227775213 4847650.52088822, 1348121.0984634352 4847661.277223515), (1348121.0490543216 4847662.010967348, 1348120.9262000006 4847663.8354, 1348125.4532278422 4847676.235298882, 1348132.9439375987 4847683.9986991985, 1348142.6454968043 4847689.494316007, 1348147.3381528025 4847699.460884796, 1348146.524792781 4847711.68862176, 1348139.6253656568 4847717.217399183, 1348138.5954288002 4847722.754789598, 1348132.888248045 4847738.469477477, 1348133.6207308124 4847745.487220173), (1348129.6237344209 4847758.638933402, 1348128.5330284957 4847761.73382096), (1348124.9122429579 4847767.293016593, 1348121.8399474649 4847769.61571353, 1348120.899452304 4847770.204212293), (1348116.462835873 4847772.9803491505, 1348116.2876000004 4847773.090000001, 1348116.1455970742 4847780.5327606145, 1348118.4936407888 4847787.597457909, 1348118.2366887387 4847792.129519956, 1348114.2734239362 4847795.30794692, 1348107.9703240003 4847797.311632799, 1348096.1818177523 4847806.740600404, 1348086.945700001 4847815.053900001, 1348082.7822260326 4847820.114356536, 1348075.6798208049 4847825.734991202, 1348075.1709308764 4847840.333641279, 1348072.1752759982 4847851.0860288, 1348073.3680576049 4847859.858592909, 1348071.9178019343 4847867.324706469, 1348064.9054288007 4847879.906889599, 1348061.300141505 4847893.158939207, 1348054.2491510008 4847903.286830245, 1348052.915500001 4847912.5634, 1348054.1220000004 4847932.0645, 1348054.0004000003 4847934.5223, 1348050.5558000002 4847938.6237, 1348051.106346242 4847941.722709921), (1348043.7516906995 4848048.580395367, 1348042.0937523348 4848050.712030407, 1348042.2043389778 4848057.678988911))",0.0,365.1622249191125
37875,3533259,,N,,,,vehicle,"LINESTRING (1356422.1692590038 4864359.836012979, 1356345.8982000006 4864307.528700001, 1356338.2065000003 4864302.311900001, 1356208.9341000002 4864221.031300001, 1356149.208800001 4864175.599400001, 1356060.3210000005 4864107.402900001, 1355976.3378000008 4864037.615700001)",0.0,550.7505228894296
23759,3535068,,N,,,,foot,"MULTILINESTRING ((1405574.2729311497 4912803.377507357, 1405587.1276795603 4912808.421775721, 1405606.8421260007 4912814.993257866, 1405624.4367394904 4912818.384990587, 1405645.2111024065 4912825.5924226185, 1405662.8057158962 4912831.315971585, 1405677.4325632546 4912834.071754423, 1405685.4879284669 4912837.887453733, 1405695.0271767443 4912841.0672031585, 1405707.9581577424 4912846.15480224, 1405719.8292222666 4912850.81843473, 1405730.0044204285 4912852.726284387, 1405740.6035851808 4912854.422150747, 1405749.930850163 4912861.417599484, 1405768.7973634247 4912868.201064925, 1405786.3919769144 4912876.044446843, 1405786.5139272898 4912876.1026917985), (1405858.7703773505 4912892.07109251, 1405883.8066007225 4912892.930589846, 1405903.8444582832 4912898.007259071), (1405936.3789180366 4912905.86832015, 1406037.076684555 4912929.601053668, 1406073.4423527522 4912941.7229430685, 1406147.2511904323 4912953.036706508, 1406202.2037557103 4912965.697346549, 1406245.7466128198 4912977.998691831), (1406246.2184610388 4912978.131994243, 1406262.2744520707 4912982.667991709, 1406308.7121995618 4912986.484792872), (1406451.1882146061 4913011.6529762875, 1406491.9204505612 4913021.237031806), (1406638.4594630443 4913046.431030431, 1406664.1667543286 4913048.711515948, 1406689.8293918506 4913054.037723736), (1406697.0844680718 4913055.297929029, 1406712.6796649522 4913057.916969727))",0.0,762.4722675256266
39298,3575070,Sandfly Bay Track,N,Sandfly Bay Track,,,foot,"LINESTRING (1416923.006921606 4914911.207221303, 1416916.0199986966 4914884.221070177, 1416907.2419986967 4914867.134570173, 1416906.059398695 4914849.164970167)",0.0,65.09385613553759
25664,7878540,,N,,,,foot,"LINESTRING (1417899.861682967 4914634.951451281, 1417865.2874668343 4914594.4743202)",0.0,53.233209199967796
40160,3586105,,N,,,,vehicle,"LINESTRING (1421778.1307958441 4927856.446948379, 1421778.6751900008 4927858.079829001, 1421783.2104050005 4927876.216138001, 1421784.798585575 4927892.950202256, 1421783.9607770005 4927907.179835001)",0.0,51.479530129234675
38937,3558320,Moeraki Boulders Walk,N,Moeraki Boulders Walk,,,foot,"LINESTRING (1429686.260756902 4976438.136143375, 1429690.038768393 4976444.293081384)",0.0,7.223659493136532
16749,7789925,,N,,,,vehicle,"LINESTRING (1445836.258908502 5009743.119613122, 1445884.6405310007 5009713.088400001)",0.0,56.94431628483616
84603,3576302,,N,,,,vehicle,"LINESTRING (1457492.7140564688 5069926.783395909, 1457493.3068890003 5069927.6719740005, 1457546.7106391354 5070056.637664721)",0.0,140.65367924809004
83120,6065105,,N,,,,foot,"LINESTRING (1461848.286099799 5080797.845573112, 1461856.7194361268 5080812.8812233545, 1461851.0900060283 5080885.360135857, 1461845.5141106055 5080891.135170402)",0.0,97.96401286313517
85090,3512280,,N,,,,foot,"MULTILINESTRING ((1208617.214819669 5079658.358703618, 1208620.0697000008 5079666.315200001, 1208653.2169000003 5079717.626, 1208693.219300001 5079763.806000001, 1208739.0448000003 5079831.373300001, 1208764.2000000002 5079860.3967, 1208770.552600001 5079878.826900001, 1208782.6680000005 5079895.519200001, 1208817.2676000008 5079913.581100001, 1208837.4689000007 5079949.285800001, 1208876.2870000005 5079997.768600001, 1208891.6648000004 5080011.845900001, 1208927.5283372924 5080061.721162432), (1209161.1752981937 5080465.659459349, 1209171.2224129874 5080485.141896418), (1209193.6805452995 5080528.6906323945, 1209197.400146033 5080535.9033386), (1209282.9206920443 5080702.563637905, 1209286.658393483 5080710.167927039), (1209314.6722931406 5080767.161722893, 1209316.6494903082 5080771.184296441), (1209332.7389078108 5080803.917938947, 1209335.6611730321 5080809.863237156), (1209356.858109526 5080852.988038988, 1209362.2916862313 5080864.042557112), (1209368.224157835 5080876.112068306, 1209371.662047551 5080883.106395659, 1209379.6767180155 5080901.070312217), (1209386.1067195768 5080915.482384683, 1209394.6982892135 5080934.73935111), (1209407.2319643633 5080962.832071273, 1209434.2802106584 5081023.457450899), (1209436.4936646398 5081028.418640858, 1209463.3394554309 5081088.590240907), (1209468.2696641532 5081099.640708732, 1209469.0718594324 5081101.438732634, 1209566.4816713128 5081319.7710696105, 1209633.660851921 5081524.667570464, 1209647.0966880424 5081575.051955921, 1209689.119691655 5081652.632885665), (1209693.7317033568 5081664.335132571, 1209696.2854845256 5081671.792173584), (1209698.5380017995 5081678.369524023, 1209706.2399148874 5081700.85911024), (1209717.1779792984 5081732.79825832, 1209731.4135820577 5081774.366218378), (1209754.1584718437 5081840.781296553, 1209774.7371311989 5081900.87098187, 1209800.7381851347 5082000.000000001))",0.0,1596.6448483991348
85739,3521600,,N,,,,foot,"MULTILINESTRING ((1209800.7381851347 5082000.000000001, 1209828.4804756846 5082105.767482725, 1209869.427839964 5082233.523259276), (1209878.5108492316 5082261.862248191, 1209894.7784311066 5082312.617103641), (1209921.7801036243 5082396.044071124, 1209982.3357510318 5082579.664421329), (1209983.7510957008 5082583.9561116155, 1209998.726045863 5082629.364025011), (1210004.9204205943 5082648.146967745, 1210016.5821813866 5082683.508435954, 1210020.788687739 5082692.121758485), (1210097.0439436168 5082910.640529192, 1210097.1971981162 5082911.917650021, 1210097.6499165911 5082912.370368496))",0.0,586.7092130305152
11812,7932186,,N,,,,vehicle,"LINESTRING (1252481.6009405523 5119448.284386661, 1252476.8141289903 5119453.989086539, 1252467.696825861 5119455.032600802, 1252456.9646023903 5119454.41954956, 1252431.017227685 5119452.25126092, 1252373.570303035 5119445.271955256, 1252348.4931739708 5119440.254517015, 1252286.5433911188 5119431.249357315, 1252251.9846152347 5119425.9916293025, 1252221.6433134582 5119422.03191689, 1252200.212267899 5119417.503781627, 1252189.0926223546 5119413.1182908565, 1252174.5932830228 5119404.334854235)",0.0,315.8203689427543
10533,7930866,,N,,,,vehicle,"MULTILINESTRING ((1261068.593539169 5121483.912815795, 1261060.2516998183 5121481.243837649, 1261012.5540663428 5121468.280312757), (1260970.8473221778 5121456.9450246785, 1260950.4307735378 5121451.396102914), (1260638.9576587668 5121293.181906851, 1260602.6036819108 5121278.940018205, 1260601.669230565 5121278.497534803), (1260526.777475163 5121249.078941119, 1260501.1491743643 5121243.428747502, 1260452.4879442062 5121233.454209069, 1260401.6045881603 5121231.003281207, 1260367.5089732064 5121232.426033661, 1260304.595617001 5121236.951803433, 1260137.3405762808 5121186.548640637))",0.0,518.1664855656215
10485,7930802,,N,,,,vehicle,"MULTILINESTRING ((1254320.382351453 5119283.079444806, 1254356.476853393 5119285.458512806, 1254403.2000222364 5119275.902092905, 1254443.9925615145 5119277.97853877, 1254519.824956201 5119270.073337965, 1254568.2900719643 5119264.164842575, 1254622.8042424368 5119273.041769851, 1254729.226391201 5119294.998442593, 1254813.4710523225 5119298.236904482), (1255436.5415990995 5119515.478525501, 1255439.8845089749 5119522.929725682, 1255454.2022882784 5119535.388323396, 1255535.3037906485 5119558.694629237, 1255582.054343545 5119572.665125861), (1255919.3626034611 5119700.924591155, 1255920.5026766774 5119701.559247427))",0.0,659.6066223852122
23918,3537109,,N,,,,vehicle,"LINESTRING (1258368.2964128787 5120538.751013654, 1258379.975406005 5120543.250460721, 1258402.880522335 5120552.303080087, 1258415.3436003383 5120557.228770036, 1258424.3394578723 5120559.693663123, 1258441.2581127807 5120565.367715629, 1258465.4743082067 5120572.679666115, 1258482.2941421065 5120577.224189312, 1258517.4425310185 5120586.83162544, 1258531.9266486987 5120592.556075922, 1258547.729891589 5120598.490310765, 1258558.7467887988 5120601.753964385, 1258579.314213965 5120608.2469658805, 1258596.1138594067 5120614.419219661, 1258624.8723104028 5120627.187245833, 1258656.065298629 5120639.904874027, 1258672.717700027 5120646.252606423, 1258689.840068127 5120652.396625629, 1258699.6820485825 5120656.169562224, 1258707.9658974204 5120658.859344435, 1258717.0565529065 5120661.478540208, 1258726.5859049326 5120664.465846089, 1258748.3564814264 5120670.772287266, 1258776.5653457008 5120679.116994167, 1258804.3395364909 5120688.068817576, 1258821.0544782085 5120693.272903381, 1258835.5164324846 5120696.885539292, 1258849.6133122426 5120700.042325788, 1258858.096851213 5120702.226848079, 1258886.2673866842 5120711.062697609, 1258902.9056707947 5120717.2490686765, 1258919.3402417144 5120722.965473041, 1258936.6804402927 5120729.740820277, 1258946.989351865 5120734.204589641, 1258953.1997149345 5120736.42539262, 1258960.4266690165 5120737.256483954, 1258967.1271872483 5120737.645843162, 1258972.8877720768 5120738.442628751, 1258993.1042400105 5120744.641142161, 1259009.0264923684 5120750.077175729, 1259026.4655119544 5120757.98205227, 1259049.0761402007 5120767.385628869, 1259060.7747634184 5120772.865989241, 1259066.9992437763 5120775.248153551, 1259074.4722629087 5120777.033295575, 1259081.0335832126 5120779.5485866405, 1259095.7980716908 5120784.760718557, 1259115.804755263 5120792.278357179, 1259125.6638885904 5120795.318109151, 1259134.056652667 5120798.3235553745, 1259147.6008369448 5120804.455432236, 1259176.696127887 5120817.356585163, 1259189.026079135 5120822.619115058, 1259221.8609152306 5120835.518293041, 1259251.5089016529 5120845.4443556005, 1259301.843322711 5120861.3652183805, 1259331.1262346143 5120870.835431526, 1259368.886614317 5120884.279258877, 1259379.2721834965 5120887.7607429745, 1259392.352472243 5120892.307241117, 1259401.2152030207 5120895.10897415, 1259417.881721707 5120901.618067876, 1259429.2152704028 5120906.642578835, 1259443.6791996248 5120913.994759897, 1259462.2981464947 5120924.2353526605, 1259472.326687267 5120929.211440585, 1259482.417768361 5120933.043881916, 1259494.6317457287 5120937.910067131, 1259499.8880581083 5120940.376935163, 1259506.3303689444 5120943.390427503, 1259510.765757393 5120945.766520641, 1259520.735780905 5120952.861481783, 1259525.9890576983 5120956.2228957685, 1259530.6806054264 5120958.7391743045, 1259536.245523179 5120961.016446433, 1259541.620845031 5120962.9851131905, 1259546.8540415345 5120964.158164097, 1259553.4072484206 5120965.4614669345)",0.0,1262.935962699775
33576,3514272,,N,,,,vehicle,"LINESTRING (1260137.3405762808 5121186.548640637, 1260116.4625707986 5121176.505689893, 1260096.125118453 5121167.065832605, 1260073.443903773 5121156.855449359, 1260029.9854795625 5121141.471189829, 1260005.8177071689 5121132.854231419, 1259978.8281596247 5121121.720007002, 1259953.4602714907 5121112.395062954, 1259939.1173266824 5121108.28422577, 1259924.0865846947 5121103.745773743, 1259909.9796107085 5121101.402852539, 1259899.4407263147 5121099.8859389685, 1259891.8698736448 5121098.841040213, 1259884.7831049627 5121097.753789596, 1259878.3135470245 5121096.287347174, 1259871.3841166142 5121094.21075265, 1259865.7596941264 5121092.18258116, 1259859.089458583 5121089.351626079, 1259852.509997935 5121085.699747064, 1259847.5058217766 5121082.39783781, 1259842.8376600146 5121080.11948504, 1259837.6981470669 5121077.158531961, 1259833.2869701367 5121074.129934862, 1259829.6089778328 5121071.118490636, 1259823.8504411187 5121067.557386515, 1259814.229326725 5121063.521231988, 1259785.8682078803 5121052.5070045125, 1259771.0129445083 5121048.115796529, 1259760.8795115547 5121043.799271208, 1259752.240682425 5121039.839774293, 1259744.949213081 5121036.4127843985, 1259738.1488863686 5121033.024123308, 1259731.3909115167 5121030.119546207, 1259725.6293392163 5121027.452988041, 1259721.7345039062 5121025.679988361, 1259711.3802048862 5121021.6266809665, 1259702.5315913968 5121018.986309261, 1259695.9037077148 5121016.639438168, 1259689.7427551467 5121014.983399843, 1259685.2236504508 5121013.508911304, 1259676.490023369 5121009.395111704, 1259660.7704967307 5121002.55927226, 1259649.8272215426 5120999.207879333, 1259639.1824574964 5120996.480755791, 1259627.4646332925 5120994.497898577, 1259620.7742092907 5120993.294674079, 1259616.5796300005 5120991.845666693, 1259611.965544887 5120989.9195923945, 1259607.3913863422 5120987.148679929, 1259599.892180751 5120982.276496713, 1259593.7968040882 5120978.582265836, 1259588.5122571345 5120975.792675147, 1259583.9649178628 5120973.995463949, 1259579.568845693 5120972.998000755, 1259575.1344447164 5120972.491680195, 1259570.479177677 5120972.248577558, 1259565.2850537086 5120971.5246004425, 1259560.0047895564 5120968.791906493, 1259553.4072484206 5120965.4614669345)",0.0,628.3089390333345
12402,7932889,,N,,,,vehicle,"LINESTRING (1267763.1400480215 5126929.029973158, 1267761.4299997948 5126929.248032998)",0.0,1.723895307587186
39208,3559660,,N,,,,vehicle,"MULTILINESTRING ((1269642.8799834566 5129565.968525915, 1269644.104356293 5129566.621864219), (1269652.3651768847 5129571.184285042, 1269654.0435912171 5129572.130529508), (1269659.6607235812 5129575.297316346, 1269660.5623723017 5129575.805641434))",0.0,4.34962262207842
11821,7932193,,N,,,,vehicle,"LINESTRING (1272357.811312655 5131750.2260206845, 1272352.0001095925 5131746.602307333, 1272263.7427349547 5131696.760361186, 1272197.6612023823 5131664.879211155, 1272175.412603449 5131653.554913993, 1272142.5969683426 5131637.158232851, 1272105.1039027926 5131618.406634503, 1272069.7054989403 5131600.366057376, 1272056.2379722707 5131593.251895249, 1272053.9001229266 5131591.890273254)",0.0,342.81385747055594
12581,7933117,,N,,,,vehicle,"LINESTRING (1272369.3559011007 5131718.210482981, 1272367.870674503 5131729.258351099, 1272357.811312655 5131750.2260206845)",0.0,34.40309117157471
12403,7932890,,N,,,,vehicle,"LINESTRING (1272505.1006103097 5131872.506677223, 1272502.423789191 5131871.265086074, 1272495.473611529 5131867.501767723, 1272486.8968399465 5131860.198541959, 1272474.7182289707 5131849.231896383, 1272459.9810607666 5131835.968850865, 1272444.1456334144 5131822.232803057, 1272426.871083917 5131806.915399587, 1272409.883963855 5131791.16635822, 1272390.2656520205 5131775.078428791, 1272373.5921478607 5131761.984790716, 1272364.6790417442 5131755.1175337965, 1272357.811312655 5131750.2260206845)",0.0,191.80416085018314
87985,3587071,,N,,,,vehicle,"LINESTRING (1468059.0890018605 5095498.852579269, 1468056.519916905 5095516.135514424, 1468056.293450518 5095516.814913586)",0.0,18.18898694810358
95192,6163103,,N,,,,vehicle,"LINESTRING (1470868.1101384894 5098162.788946792, 1470940.4805560187 5098148.542801608)",0.0,73.75927050845596
95304,6164164,,N,,,,vehicle,"LINESTRING (1487197.111319135 5111234.508649472, 1487179.6995138563 5111250.419316171, 1487179.0319110984 5111251.215887643)",0.0,24.62577878248838
77520,8061363,,N,,,,vehicle,"MULTILINESTRING ((1506112.4886357049 5122752.500743969, 1506123.7926650848 5122732.584120775, 1506130.9451123225 5122725.431673537, 1506140.7797272764 5122721.855449919, 1506157.7749172468 5122729.528075136, 1506235.3139475351 5122780.733095138, 1506238.8251489066 5122788.048097997, 1506237.654748449 5122796.240901196, 1506227.4137444487 5122809.700506454, 1506225.3655436486 5122816.1377089685, 1506228.876745021 5122821.989711255, 1506232.992622253 5122825.8007086925), (1506255.2176849942 5122844.794078837, 1506257.844156335 5122843.349519598, 1506264.2813588511 5122835.741916627, 1506273.644562507 5122832.815915485, 1506282.715166051 5122836.327116856, 1506295.8821711922 5122848.031121429, 1506299.827326877 5122863.690149494))",0.0,273.8045580442173
42513,3538336,,N,,,,vehicle,"MULTILINESTRING ((1508955.6769913724 5124497.293321917, 1508929.9238791764 5124484.03382091, 1508893.266363741 5124462.772461958, 1508859.1748743886 5124440.777952699, 1508837.9135154365 5124429.414122915, 1508824.716809879 5124416.950567666, 1508811.153529169 5124411.451940353, 1508790.6253205268 5124406.686463345, 1508783.0866751 5124404.8915477665), (1508760.498541171 5124391.795687071, 1508757.6335566351 5124388.3577056285, 1508750.6686287029 5124382.492503159, 1508739.3047989188 5124379.559901925, 1508739.1390815072 5124379.572177289))",0.0,223.1157287039489
85741,3521619,,N,,,,foot,"LINESTRING (1322888.947165156 5166438.043426031, 1322864.207622001 5166495.211167)",0.0,62.29121609840935
44106,3586667,,N,,,,foot,"LINESTRING (1322864.207622001 5166495.211167, 1322870.7116220007 5166513.720079001, 1322876.9150300007 5166522.524187999)",0.0,30.38848483366374
39862,3576872,,N,,,,foot,"LINESTRING (1323073.5123590464 5166535.486617635, 1323031.631908643 5166535.827109102, 1322965.5765641024 5166547.063327502, 1322925.9398890007 5166547.534558001, 1322876.9150300007 5166522.524187999)",0.0,203.5614446979366
44107,3586668,,N,,,,foot,"LINESTRING (1322894.9262650004 5166577.050475, 1322876.9150300007 5166522.524187999)",0.0,57.42404165842289
35456,3537197,,N,,,,foot,"MULTILINESTRING ((1322864.207622001 5166495.211167, 1322854.6032530004 5166501.214542001, 1322850.4015200008 5166507.717942, 1322816.7866970003 5166538.834775001, 1322762.862350001 5166576.455697001, 1322758.2602440007 5166579.057181998, 1322697.9326100005 5166612.676413001, 1322656.1137040006 5166641.292399002, 1322625.5000140006 5166665.405682, 1322619.0970210005 5166667.707099001, 1322577.8785940008 5166700.225025001, 1322547.7668940006 5166760.556312, 1322531.0339947366 5166810.615104943), (1322402.2869755425 5167227.530349537, 1322397.5397087801 5167242.09196355))",0.0,489.4484343717845
12582,7933118,,N,,,,vehicle,"LINESTRING (1341664.8734530164 5187393.256795428, 1341661.5097175147 5187397.461464805, 1341654.1575604603 5187419.4158226745)",0.0,28.537315429078305
85825,3522009,,N,,,,vehicle,"LINESTRING (1419996.6411382486 5249781.8743223995, 1420000.000000001 5249785.737017617)",0.0,5.118824729530944
87242,3560770,,N,,,,vehicle,"LINESTRING (1420000.000000001 5249785.737017617, 1420034.4425220005 5249825.345961001, 1420035.4426820008 5249826.496703001, 1420069.5481310003 5249865.736915001, 1420151.5550411502 5249955.104148009, 1420170.4031767948 5249977.278425239, 1420179.827244617 5249985.870957664, 1420204.2189495685 5250017.19212425, 1420215.171329001 5250033.0993180005, 1420235.285697001 5250046.48871, 1420257.7143933848 5250061.540678707, 1420276.2853505649 5250070.133211133)",0.0,399.8000626674414
43706,3560771,,N,,,,vehicle,"MULTILINESTRING ((1420694.5953778995 5250621.057191247, 1420692.9802485546 5250620.850123382, 1420682.4668188943 5250616.4695276925, 1420673.997667225 5250609.752614299, 1420673.3845163826 5250608.158422107, 1420670.1073085004 5250601.705145501, 1420667.8201778093 5250567.398185125), (1420593.0047608186 5250453.886599874, 1420586.443945745 5250446.652880691, 1420570.336266349 5250421.458818046, 1420561.0534101203 5250411.322916127, 1420554.2375947738 5250404.5071007805), (1420537.5313521498 5250391.007967204, 1420526.2863367158 5250383.170532205), (1420497.1865926408 5250358.362841473, 1420489.5830586385 5250349.710544161, 1420432.899676429 5250299.804522868, 1420408.870851363 5250273.927326643, 1420394.0838820888 5250254.827491333, 1420384.8420262942 5250234.495408584, 1420374.3679230604 5250222.78905791, 1420340.8679329948 5250179.895883417, 1420317.8621203685 5250153.009572277, 1420313.150086457 5250144.417039851, 1420308.992409477 5250132.221187375, 1420302.3401263086 5250107.552303957, 1420297.0737354662 5250098.682593066, 1420288.7583815046 5250088.981346779, 1420280.9973844746 5250082.606242075, 1420276.2853505649 5250070.133211133))",0.0,512.9813369742445
