,t50_fid,name_ascii,macronated,name,status,track_type,track_use,geometry,affected_area,affected_length
74830,6082529,Te Ara Hura,N,Te Ara Hura,,,foot,"MULTILINESTRING ((1779132.2311862335 5926447.809311272, 1779134.648400003 5926449.823699999, 1779145.349800001 5926468.933199999, 1779177.836000001 5926501.419499999, 1779208.0291000009 5926524.350899999, 1779224.72293005 5926538.115997346), (1779229.158120678 5926541.773086856, 1779229.8140000002 5926542.3139, 1779230.2588001434 5926542.739360567), (1779238.241106699 5926550.374602419, 1779247.3948000008 5926559.1303, 1779253.786361606 5926568.717672272))",0.0,156.1971520999146
75928,7879922,,N,,,,foot,"LINESTRING (1780126.3043863082 5927141.087272111, 1780127.0821780935 5927143.212559501)",0.0,2.263140859240432
72539,3554690,Te Ara Hura,N,Te Ara Hura,,,foot,"MULTILINESTRING ((1779337.5511458684 5927564.684130065, 1779320.3855000008 5927603.199699999, 1779300.1303000003 5927650.605499999, 1779279.4442000007 5927717.835499999, 1779269.5320000006 5927798.425399999, 1779277.720300001 5927860.914900001, 1779291.0801000008 5927903.580099999, 1779302.285100001 5927935.040399998, 1779306.0377000012 5927940.909799999, 1779313.3455533832 5927950.98336847), (1779315.66314388 5927954.178069477, 1779326.8630000008 5927969.6166, 1779343.1899000006 5927991.0875, 1779365.331700001 5928008.0852999985, 1779380.3166000005 5928023.741099998, 1779387.9208000004 5928033.805599999, 1779387.2486222973 5928035.774174084))",0.0,516.1228048131646
76728,3517858,,N,,,,vehicle,"LINESTRING (1206442.7650781956 4851415.136101214, 1206443.3520841068 4851420.010301893)",0.0,4.909420352073307
39331,3575144,,N,,,,vehicle,"LINESTRING (1239465.2886559889 4840229.064679867, 1239471.0999388164 4840238.943860672, 1239480.979119623 4840247.951349054, 1239491.7299928525 4840253.762631883, 1239499.865788811 4840254.634324307, 1239507.1298923446 4840253.472067741, 1239514.3939958783 4840253.1815036, 1239520.495842847 4840255.50601673, 1239528.3410746623 4840269.162531375, 1239534.3309142296 4840276.11424299)",0.0,91.31595428055948
86528,3559931,,N,,,,foot,"MULTILINESTRING ((1320550.9832279228 4830110.021743166, 1320551.2652284969 4830110.475348462, 1320587.3748673769 4830137.097688916, 1320577.6844191886 4830156.371592671, 1320540.892411842 4830154.1206641), (1320540.6278166403 4830154.1044762125, 1320536.9883956632 4830153.881817074))",0.0,107.47662335535806
23273,3521285,,N,,,,foot,"LINESTRING (1321221.6106512868 4830232.357975956, 1321199.1969420006 4830269.197392001, 1321159.105982001 4830299.018436001, 1321114.562353001 4830307.718081, 1321061.928886001 4830310.295513, 1321029.7683150005 4830328.929467001, 1321016.767287001 4830369.019661001, 1320993.2043270003 4830390.575390001, 1320952.5640580002 4830398.6839540005, 1320823.052182001 4830417.482255001, 1320779.580624001 4830443.917049001, 1320725.8935940005 4830420.7619590005, 1320631.2531810002 4830416.8371520005, 1320573.378885001 4830435.510687, 1320518.4241900006 4830446.48708, 1320479.6460860008 4830385.964111, 1320467.4959900007 4830362.0229670005, 1320405.756771001 4830322.356801999, 1320353.0452056956 4830311.500848775)",0.0,1021.5789217949125
93457,3517856,,N,,,,vehicle,"LINESTRING (1256723.9458976223 4828830.977457173, 1256747.1837860262 4828829.309390927)",0.0,23.297680195166414
93331,3513017,,N,,,,foot,"MULTILINESTRING ((1326940.6198490136 4832988.83554885, 1326939.7832314784 4832988.833607455), (1326938.8146349755 4832988.831359799, 1326908.1062000003 4832988.760099999, 1326871.8846000005 4832970.537400001, 1326849.2752000028 4832945.5431, 1326842.580600001 4832900.179500001, 1326829.086100001 4832854.8035, 1326808.7917999988 4832809.4083, 1326793.0297000008 4832764.023600001, 1326777.2360000005 4832732.2453000005, 1326770.8160000006 4832710.219500001, 1326765.9935000008 4832693.674300001, 1326741.1375000002 4832659.603800001, 1326702.6641000006 4832634.572500001, 1326664.1873000022 4832609.544600001, 1326635.9458255835 4832593.763502662))",0.0,538.7473951754823
38158,3556190,Picnic Point Walk,N,Picnic Point Walk,,,foot,"MULTILINESTRING ((1330092.2554439432 4836919.157175475, 1330091.317400001 4836919.620600001, 1330070.873318393 4836918.163763063), (1329680.7876809596 4837303.927082147, 1329680.472000001 4837317.279000001))",0.0,34.89784559207012
33893,3532512,Tahakopa Bay Walk,N,Tahakopa Bay Walk,,,foot,"LINESTRING (1329992.7866999982 4837730.871700001, 1330002.243900001 4837780.654600001, 1330027.1067000004 4837788.3667, 1330147.5348000005 4837853.713900001, 1330168.5524000004 4837869.072600001, 1330195.321300001 4837880.6176, 1330216.3356000008 4837897.8902, 1330231.4333920232 4837918.11609808)",0.0,321.3449722142363
85045,3512224,Te Araroa Trail,N,Te Araroa Trail,,,foot,"MULTILINESTRING ((1228037.1964216547 4853933.878869812, 1228044.399634691 4853929.373040895, 1228070.611534467 4853917.563283852), (1228968.6492000145 4853157.471736203, 1228978.2784372363 4853149.3596771), (1230922.9291555688 4850888.613528691, 1230925.3851114106 4850884.662643206), (1230956.2593845509 4850834.995334242, 1230956.4530192786 4850834.683834896))",0.0,54.855471859358715
76714,3517653,Te Araroa Trail,N,Te Araroa Trail,,,foot,"MULTILINESTRING ((1207695.0538168023 4853467.196170324, 1207732.4055000003 4853476.7126, 1207907.7836000007 4853532.826800001, 1207949.6781931424 4853543.916551237), (1207951.8819702982 4853544.499904329, 1207970.9565595218 4853549.549063028), (1207982.9092623123 4853552.713015476, 1207997.3817915856 4853556.543981178), (1208013.008613482 4853560.680495091, 1208022.8544146346 4853563.286737981), (1208045.9882342212 4853569.410399416, 1208047.0936927856 4853569.703020959))",0.0,312.0499786408298
84976,3511772,Te Araroa Trail,N,Te Araroa Trail,,,foot,"MULTILINESTRING ((1217346.8426409133 4854377.92955782, 1217348.5217000004 4854379.675600001, 1217361.5516384935 4854393.224935865), (1217576.4586943847 4854591.196745789, 1217745.6206402336 4854746.927999376), (1217749.7615590626 4854750.740148008, 1217773.5379066712 4854772.628761314), (1220475.9092106929 4856369.0419026865, 1220484.7254048253 4856370.531595569), (1226744.144663132 4854774.242632377, 1226760.6798988562 4854764.084575406), (1226764.5158553945 4854761.728040204, 1226788.6481207183 4854746.902915841), (1226802.0773715395 4854738.652952116, 1226837.7641395484 4854716.72957415), (1226839.1261842714 4854715.892832048, 1226868.4564078732 4854697.8744567875), (1226887.3334866082 4854686.277740271, 1226896.7921591215 4854680.467013658), (1227129.008048304 4854542.969360622, 1227155.9892417346 4854527.328611294), (1227161.829509656 4854523.94306177, 1227183.3579871529 4854511.463201647), (1227629.7518432357 4854246.839239827, 1227817.7030277995 4854097.079656263), (1227832.3757898062 4854085.3883932745, 1227856.224904827 4854066.385408312))",0.0,754.4294496856902
