,t50_fid,descriptn,macronated,geometry,affected_area,affected_length
47,2424173,,N,POINT (1454352.2586510004 5052520.935065002),0.0,0.0
6,2424188,Whitcombe plaque,N,POINT (1445781.1166512845 5285333.866360734),0.0,0.0
