,napalis_id,administer,disposal_s,land_use,purpose,geometry,affected_area,affected_length
2206,2714046,Land Act,Under Investigation,Other,None,"POLYGON ((1780814.4440000001 5925800.1775, 1780812.9992000004 5925796.447, 1780810.4670000002 5925789.9203, 1780807.2137000002 5925781.5274, 1780771.0691999998 5925821.1394, 1780768.8362999996 5925823.0515, 1780767.5599999996 5925824.3273, 1780765.3267 5925827.1958, 1780762.4551999997 5925831.3415, 1780759.9035 5925834.8476, 1780757.6694 5925838.0362, 1780771.8115999997 5925840.1656, 1780776.3174891656 5925840.864221899, 1780781.4383037065 5925831.504722179, 1780795.5863410216 5925817.646655119, 1780803.9921210848 5925811.028218535, 1780813.3902180193 5925805.005173839, 1780815.6492479844 5925803.287426448, 1780814.4440000001 5925800.1775))",1102.5939973825957,172.6479452094425
2657,2711879,Land Act,,Rural,None,"MULTIPOLYGON (((1239629.6062000003 4840295.9411, 1239641.410070096 4840297.707321012, 1239645.7276376984 4840280.985742296, 1239638.4540999997 4840283.0707, 1239631.8639000002 4840278.6625, 1239622.0324999997 4840274.483, 1239607.1562 4840273.669, 1239597.5494136824 4840275.419977102, 1239604.9106904354 4840279.068959728, 1239613.953479503 4840284.046345493, 1239622.422498675 4840291.2458941415, 1239625.308718245 4840296.792278378, 1239629.6062000003 4840295.9411)), ((1239652.3630999997 4840246.5962, 1239647.1365999999 4840246.3108, 1239619.5268 4840249.2537, 1239610.6563999997 4840249.1729, 1239598.4967 4840250.1263, 1239588.4945999999 4840248.7702, 1239574.2894000001 4840243.5421, 1239557.7078 4840244.2541, 1239535.8624 4840238.6077, 1239519.0382000003 4840229.9975, 1239499.9124999996 4840212.7637, 1239489.7529999996 4840207.3528, 1239468.5193999996 4840191.621, 1239439.4999000002 4840177.8926, 1239418.5861999998 4840167.7951, 1239384.6991999997 4840158.0948, 1239354.3047000002 4840150.7727, 1239316.8348000003 4840148.0681, 1239282.9142000005 4840141.8827, 1239247.8768999996 4840129.8272, 1239199.9985999996 4840112.962, 1239166.1568999998 4840098.5748, 1239119.4826999996 4840078.2056, 1239086.8013000004 4840065.002, 1239054.1309000002 4840050.6263, 1239008.5954999998 4840033.7842, 1238982.932 4840021.8183, 1238945.5647 4840008.5702, 1238905.8639000002 4839994.127, 1238864.9584 4839983.1868, 1238827.5232999995 4839976.9672, 1238788.9038000004 4839971.9067, 1238764.3667000001 4839964.6397, 1238726.9535999997 4839956.0775, 1238687.1742000002 4839949.834, 1238661.7762000002 4839940.5046, 1238625.7182999998 4839929.6257, 1238557.6628 4839911.1776, 1238493.1952999998 4839892.7557, 1238476.0950323078 4839887.847136429, 1238474.687882506 4839902.683851454, 1238484.0691108243 4839906.172389314, 1238494.1983639358 4839907.356991636, 1238504.3999035275 4839908.318969624, 1238512.6608451677 4839908.427987771, 1238522.9322849081 4839909.466002944, 1238532.2317310248 4839913.151863998, 1238541.5900765683 4839916.677274275, 1238550.6508600963 4839921.013284507, 1238560.001264053 4839924.560328126, 1238569.3928414215 4839927.995210964, 1238579.2278617043 4839930.22209353, 1238586.8472365947 4839935.844728624, 1238594.9861517048 4839942.531490084, 1238597.0667595312 4839943.976398878, 1238608.0844999999 4839946.8531, 1238654.5675999997 4839958.8958, 1238685.8225999996 4839968.5697, 1238720.9254 4839973.5954, 1238750.1490000002 4839980.9065, 1238778.2235000003 4839985.8651, 1238820.3682000004 4839989.7871, 1238862.4680000003 4839998.3944, 1238899.8936 4840005.7857, 1238936.0788000003 4840020.1956, 1238976.9276 4840036.9946, 1239021.2457999997 4840058.5121, 1239065.5996000003 4840076.5156, 1239112.2615 4840098.057, 1239161.3008000003 4840116.1053, 1239212.6946 4840133.004, 1239251.2231 4840147.4364, 1239279.2525000004 4840157.0799, 1239306.1544000003 4840162.0254, 1239330.7589999996 4840162.2627, 1239360.0163000003 4840166.0588, 1239382.2209 4840172.1325, 1239405.2268000003 4840177.6368, 1239453.1290999996 4840199.2791, 1239460.9254 4840203.752, 1239509.7044000002 4840237.5819, 1239517.5006999997 4840242.0566, 1239520.5710000005 4840244.6515, 1239526.0536000002 4840247.3791, 1239527.1610000003 4840249.0599, 1239539.1618 4840257.4049, 1239540.7697 4840257.4933, 1239546.7022000002 4840259.4356, 1239555.8515999997 4840261.5547, 1239563.8695 4840262.3986, 1239568.2421000004 4840263.4471, 1239573.8715000004 4840263.7548, 1239595.8624999998 4840266.981, 1239628.2238999996 4840265.5126, 1239642.5758999996 4840268.3207, 1239645.7193999998 4840269.7084, 1239648.469246793 4840270.367719255, 1239654.4112397623 4840247.354876767, 1239652.3630999997 4840246.5962)), ((1238179.2245217774 4839828.516223546, 1238186.7157919516 4839830.719797271, 1238195.023916594 4839830.852776416, 1238179.2245217774 4839828.516223546)), ((1238147.3619 4839823.8041, 1238096.488490018 4839808.269257161, 1238095.0116102092 4839818.330503137, 1238104.6086540283 4839821.80565936, 1238114.6219841072 4839822.444881678, 1238124.896973456 4839821.3015503865, 1238134.9203581726 4839821.872275491, 1238144.7352943828 4839823.863071332, 1238154.454503295 4839826.505978491, 1238164.3734903554 4839827.787913138, 1238171.3447249727 4839827.350890188, 1238147.3619 4839823.8041)), ((1237982.5927 4839779.5165, 1237869.7300000004 4839753.5576, 1237751.4970000004 4839725.7639, 1237715.5695260654 4839720.479502044, 1237717.441561458 4839728.07281981, 1237722.509890682 4839738.831466318, 1237728.9331643826 4839747.422177581, 1237729.0424819174 4839747.524563501, 1237749.7872000001 4839751.6084, 1237775.8725846396 4839756.743229744, 1237783.5659139836 4839754.349591975, 1237794.2298702088 4839760.356806361, 1237839.6128000002 4839769.2903, 1237910.6459 4839782.5919, 1237959.3669666285 4839795.573600451, 1237981.874162054 4839798.022140971, 1237991.8514338674 4839800.076680653, 1238001.8259535527 4839802.137833516, 1238011.4710445302 4839804.9896144485, 1238021.4503032072 4839807.039394516, 1238031.4943029315 4839808.933795295, 1238041.6896352444 4839810.46500467, 1238051.804752012 4839812.1887243, 1238061.8904902202 4839813.982952476, 1238072.2355243408 4839815.154869805, 1238077.4350208053 4839802.676077692, 1237982.5927 4839779.5165)))",28265.043764802656,3615.1746825787095
2742,2712019,Land Act,,Rural,None,"MULTIPOLYGON (((1228939.5219999999 4853113.9256, 1228927.2092878353 4853121.280985938, 1228983.4133005661 4853170.365679453, 1228987.7453611467 4853160.622953687, 1228945.087766005 4853109.871062454, 1228939.5219999999 4853113.9256)), ((1228429.46 4853546.6537, 1228425.0415582336 4853550.739321045, 1228438.459709691 4853552.7559909085, 1228438.5189863478 4853539.715151748, 1228429.46 4853546.6537)), ((1228412.0409000004 4853562.7607, 1228402.3295 4853573.1002, 1228396.2363 4853578.9293, 1228393.4834000003 4853582.0579, 1228390.1332 4853584.9622, 1228384.4516000003 4853590.6046, 1228368.316619536 4853604.81023358, 1228408.6358305207 4853638.420174908, 1228412.0251464942 4853626.998595145, 1228411.1798938168 4853610.626745056, 1228412.713232746 4853597.035506701, 1228416.1130853829 4853585.626239763, 1228418.453638302 4853575.754482429, 1228420.1433562047 4853561.890007137, 1228423.2767215387 4853552.371220778, 1228412.0409000004 4853562.7607)), ((1228356.9574999996 4853616.0269, 1228349.0481000002 4853621.7857, 1228346.5208 4853624.3166, 1228338.1502999999 4853631.4726, 1228328.5027 4853640.1972, 1228310.0440999996 4853657.073, 1228279.9435 4853687.045, 1228277.5949 4853690.1891, 1228274.8661000002 4853692.7113, 1228262.5828140555 4853707.817773483, 1228276.8238854588 4853709.175461262, 1228284.4064963935 4853702.633232574, 1228286.34538011 4853690.227392945, 1228296.146441353 4853685.990050694, 1228340.316195581 4853723.168266608, 1228348.6829691061 4853717.51621049, 1228352.525495503 4853706.8372130385, 1228355.5618236272 4853695.262439714, 1228362.9883287859 4853688.565640949, 1228371.4085191314 4853682.972936854, 1228369.5295415043 4853665.93671261, 1228365.672376079 4853649.730244436, 1228364.705635267 4853633.216372074, 1228364.5575604811 4853617.659533391, 1228363.699194349 4853609.26306488, 1228356.9574999996 4853616.0269)), ((1228259.5636999998 4853711.5308, 1228243.5040903932 4853726.069223141, 1228250.3637272678 4853724.945176494, 1228259.0118383493 4853719.50996547, 1228261.1400743912 4853709.592112091, 1228259.5636999998 4853711.5308)))",8224.146495280975,859.535989338424
6285,2965866,Public Works Act,,Residential,,"POLYGON ((1442483.0362 5006498.5644, 1442317.2193 5006341.0149, 1442310.1529 5006345.388, 1442245.9219310402 5006385.11484418, 1442253.1234222425 5006393.716289537, 1442258.068277111 5006403.553729527, 1442267.9970020906 5006407.142744223, 1442273.3890457922 5006416.419535495, 1442281.4471325309 5006422.353823008, 1442282.7370770902 5006422.851056668, 1442288.7908846922 5006430.961576022, 1442295.6958446936 5006438.20302397, 1442303.2250500154 5006444.807084583, 1442313.279623634 5006448.832611216, 1442318.2975535817 5006458.000816189, 1442325.8178936164 5006464.613924687, 1442329.5644423717 5006472.760977871, 1442334.7194782295 5006481.7181133535, 1442343.98424692 5006486.630752911, 1442351.6248085117 5006493.141816463, 1442363.0604936278 5006503.129425844, 1442371.7429233466 5006508.432448656, 1442379.1020692394 5006515.203988483, 1442387.0691636384 5006521.300859106, 1442391.5422425827 5006531.275239001, 1442397.3541517372 5006539.76384063, 1442400.2215130746 5006546.309867183, 1442403.2247042062 5006547.935540946, 1442483.0362 5006498.5644))",19454.002074704604,639.7521317972405
2302,2710613,Land Act,,Rural,None,"MULTIPOLYGON (((1454411.9596990398 5061234.451371807, 1454412.368586631 5061243.373237332, 1454412.7002938434 5061253.466203231, 1454413.1738325497 5061263.534446207, 1454414.9400128024 5061273.37736565, 1454417.617126576 5061283.681749289, 1454420.2820556094 5061293.358265129, 1454423.963133082 5061302.846607639, 1454425.171480509 5061305.8998231515, 1454411.9596990398 5061234.451371807)), ((1454389.3313659744 5061094.857522596, 1454389.1778128073 5061095.1901980005, 1454384.5600853323 5061106.1502705915, 1454388.9301427384 5061115.537480785, 1454392.634536877 5061125.041182053, 1454394.8965680387 5061134.79729685, 1454392.0970448325 5061145.439183685, 1454395.5921603304 5061154.979508046, 1454399.5756503604 5061162.416504194, 1454389.3313659744 5061094.857522596)), ((1454342.8205151183 5060788.127877197, 1454342.7085294595 5060789.074896788, 1454343.0144894114 5060799.185120006, 1454345.701740364 5060808.859331334, 1454346.1128525885 5060809.84017629, 1454342.8205151183 5060788.127877197)), ((1454252.7142798973 5060104.468490928, 1454231.6330455835 5060108.567619601, 1454233.5331130987 5060118.385451868, 1454233.703338783 5060128.5396421775, 1454232.2304067947 5060139.013334569, 1454231.388016982 5060149.364421937, 1454230.2831933068 5060159.766538111, 1454230.0181524479 5060170.005363181, 1454231.5772311878 5060179.889498327, 1454235.0276187158 5060187.148363895, 1454228.597510203 5060198.2419816535, 1454231.4631359372 5060207.921029569, 1454233.7501270785 5060217.688130322, 1454242.0662134567 5060226.537760782, 1454249.0743222183 5060235.586431309, 1454254.936298608 5060244.809513282, 1454261.1844858015 5060253.973824047, 1454268.9422010782 5060262.90842402, 1454269.4600399148 5060272.944744302, 1454274.846010968 5060282.240261869, 1454274.4282186253 5060292.418960807, 1454274.4305168788 5060302.533733144, 1454276.3798862633 5060312.3522115955, 1454275.6609628024 5060322.576735075, 1454274.8413514856 5060332.816580136, 1454277.5248146127 5060342.523348901, 1454284.1081481471 5060351.636659137, 1454286.1144683035 5060355.094735483, 1454252.7142798973 5060104.468490928)), ((1454050.3629 5058296.4261, 1454046.2652768877 5058296.984773444, 1454046.1422429618 5058299.139833529, 1454047.8869814447 5058309.020113308, 1454051.0224749628 5058318.770009717, 1454052.3089901488 5058328.693248495, 1454053.6861175098 5058338.607991978, 1454053.7703325879 5058338.889226263, 1454050.3629 5058296.4261)))",4953.771236668116,961.7962031420327
8441,2712556,Railways Legislation,,Rural,Railway,"POLYGON ((1460443.2605359978 5075514.860577124, 1460446.398131026 5075522.864119486, 1460451.5999166877 5075531.414353698, 1460460.1888960865 5075538.087898136, 1460464.3923279883 5075547.191278689, 1460469.0228697734 5075556.058009848, 1460471.932768818 5075565.878073124, 1460477.3823406857 5075574.291020385, 1460484.4227626 5075585.428389686, 1460487.7047743779 5075595.101486598, 1460491.852924911 5075604.264186941, 1460496.5303946375 5075613.114960354, 1460501.5639270158 5075621.755914486, 1460505.885331453 5075630.816520257, 1460510.2438877318 5075639.85522333, 1460513.807806145 5075649.362199955, 1460519.1902595505 5075657.7975433655, 1460524.3652716195 5075666.355122091, 1460528.3256748265 5075673.4076948045, 1460533.2339786312 5075682.12035476, 1460535.1590958145 5075687.835665793, 1460555.5820000004 5075679.3003, 1460452.3613 5075503.7555, 1460452.3613 5075508.3592, 1460443.2605359978 5075514.860577124))",3261.5007803585127,439.15560550397095
8440,2712555,Railways Legislation,,Rural,Railway,"MULTIPOLYGON (((1460460.1568 5075503.4577, 1460459.2537000002 5075501.9431, 1460459.2537000002 5075504.0598, 1460460.1568 5075503.4577)), ((1460593.6622000001 5075727.3686, 1460603.1873000003 5075721.0185, 1460614.829 5075714.6685, 1460484.6536999997 5075487.1264, 1460460.1568 5075503.4577, 1460593.6622000001 5075727.3686)))",7061.743566238148,581.9537243202533
8439,2712554,Railways Legislation,,Rural,Railway,"POLYGON ((1460565.9471000005 5075696.1543, 1460547.4263000004 5075705.4147, 1460540.1502 5075688.2167, 1460535.9008676119 5075690.037846822, 1460536.4861072025 5075691.775313153, 1460540.0890314404 5075701.230686167, 1460545.052135664 5075709.91215986, 1460549.7890904928 5075718.7223101035, 1460555.7368975317 5075726.843518863, 1460560.1735886796 5075735.824510264, 1460564.1608533007 5075745.061204968, 1460568.6669304129 5075754.002711732, 1460574.9371892726 5075761.940462936, 1460583.2007191826 5075765.535645832, 1460594.2542530077 5075770.934912112, 1460606.6022683776 5075775.635841112, 1460609.759722275 5075777.759381124, 1460565.9471000005 5075696.1543))",1963.7320360549757,257.18466711885543
2821,2712552,Railways Legislation,,Rural,Railway,"MULTIPOLYGON (((1460507.3551000003 5075521.1554, 1460511.9312000005 5075528.2824, 1460516.4359999998 5075535.456, 1460520.8655000003 5075542.6762, 1460525.2211999996 5075549.9411, 1460529.5016 5075557.2489, 1460533.7068999996 5075564.6013, 1460537.8369000005 5075571.9966, 1460541.8890000004 5075579.4346, 1460702.9113577555 5075878.477438055, 1460705.136858313 5075879.74679754, 1460712.6590576426 5075887.133994291, 1460719.1632044562 5075895.041047608, 1460723.9691129322 5075903.815285662, 1460733.579415032 5075910.136216298, 1460731.0546158869 5075922.65379447, 1460729.1351094635 5075927.1789056305, 1460938.5232999995 5076316.0444, 1460941.2890999997 5076321.2692, 1460943.9800000004 5076326.5294, 1460946.5982 5076331.8287, 1460949.1415 5076337.1635, 1460951.6097999997 5076342.5338, 1460954.0029999996 5076347.9376, 1460954.1953100087 5076348.388932533, 1460969.784679427 5076348.448264814, 1460959.6870686393 5076361.702970689, 1460960.7262000004 5076364.343, 1460962.8129000003 5076369.8718, 1460964.8221000005 5076375.4304, 1460966.7538 5076381.0151, 1460968.6065999996 5076386.6278, 1460969.7600240645 5076390.290130935, 1460977.2103933191 5076391.661700056, 1460989.7398017708 5076395.2850503065, 1460997.245896349 5076402.287723734, 1461006.1475226749 5076408.351583971, 1461014.2411129305 5076424.067963172, 1461021.9155027138 5076430.7152424995, 1461030.0423617647 5076436.99423683, 1461036.0525692475 5076444.996083095, 1461043.0618719063 5076452.184711418, 1461053.9588723741 5076456.208935448, 1461062.5623750498 5076462.099960022, 1461072.9672522289 5076466.524749522, 1461076.9950156538 5076474.34906353, 1461081.1436 5076472.4775, 1461082.5921999998 5076471.4897, 1461082.7053997815 5076471.492223655, 1461116.9922886447 5076443.584292294, 1461119.1756999996 5076421.735, 1461118.1278999997 5076399.6536, 1461118.0691 5076399.4264, 1461117.6551 5076397.8137, 1461117.4661999997 5076395.6, 1461117.2121000001 5076394.5185, 1461112.9729000004 5076384.0949, 1461112.5859000003 5076383.1439, 1461111.5389999999 5076379.5507, 1461110.9840000002 5076377.6422, 1461110.8047000002 5076375.5418, 1461110.4767000005 5076374.3735, 1461109.8651 5076373.3196, 1461108.5861 5076370.1529, 1461108.4061000003 5076369.8879, 1461107.8028999995 5076368.9971, 1461106.3093999997 5076366.187, 1461098.3781000003 5076357.3886, 1461095.7517999997 5076355.0007, 1461094.3958 5076353.7678, 1461086.2187 5076342.9991, 1461085.0071 5076341.4026, 1461083.6338 5076338.5525, 1461081.9175000004 5076335.7969, 1461068.1906000003 5076322.198, 1461067.1486 5076321.1664, 1461059.5937 5076311.0888, 1461058.4302000003 5076309.5359, 1461053.091 5076298.4553, 1461050.7006 5076294.7779, 1461048.3912000004 5076291.6558, 1461046.9304999998 5076289.6762, 1461042.0380999995 5076283.3263, 1461041.3526999997 5076282.4356, 1461040.0354000004 5076280.2572, 1461038.0417 5076278.3865, 1461036.8672000002 5076277.2853, 1461031.5669999998 5076270.4044, 1461028.2986000003 5076266.7822, 1461027.7750000004 5076266.2024, 1461023.7373000002 5076260.9579, 1461023.2222999996 5076260.2876, 1461014.1317999996 5076246.1487, 1461011.6642000005 5076242.7343, 1461009.0882 5076239.6141, 1461008.5851999996 5076239.0051, 1461006.2010000004 5076235.5999, 1461005.5071 5076234.609, 1461001.5823 5076227.2499, 1461001.1766999997 5076226.4875, 1460998.4123999998 5076220.0107, 1460997.6628 5076218.5223, 1460994.3184000002 5076213.1204, 1460993.5341999996 5076212.1312, 1460992.5086000003 5076210.8369, 1460988.1146999998 5076202.8919, 1460984.75 5076197.1987, 1460977.5839999998 5076186.5625, 1460977.1456000004 5076185.9123, 1460973.9382999996 5076180.2392, 1460973.0751 5076179.2225, 1460971.8693000004 5076177.2297, 1460969.6234999998 5076174.2479, 1460969.0378 5076173.4704, 1460964.0758999996 5076165.3502, 1460963.7101999996 5076164.8942, 1460962.4568999996 5076163.3283, 1460961.6622000001 5076161.7815, 1460958.4691000003 5076157.62, 1460958.1579999998 5076157.2151, 1460954.9013 5076152.4892, 1460952.6426999997 5076149.6053, 1460952.1675000004 5076148.9988, 1460951.1585 5076147.4826, 1460948.8096000003 5076144.6652, 1460947.7139999997 5076143.3509, 1460941.2972 5076132.2399, 1460938.7751000002 5076129.0206, 1460937.8880000003 5076127.8867, 1460937.0336999996 5076126.396, 1460931.5416 5076118.7607, 1460930.6205000002 5076117.4798, 1460929.5579000004 5076115.3679, 1460927.7692999998 5076112.6514, 1460927.0022 5076111.4885, 1460926.2303 5076109.8626, 1460922.1086999997 5076103.0308, 1460921.7281999998 5076102.4004, 1460920.8054 5076100.5785, 1460917.5648999996 5076095.6547, 1460917.2911999999 5076095.2396, 1460915.1892999997 5076091.6682, 1460913.7675 5076089.9171, 1460913.1289999997 5076089.1293, 1460911.1261 5076086.0712, 1460906.9205 5076080.3785, 1460906.2785 5076079.5073, 1460903.6500000004 5076075.0004, 1460903.3471 5076074.6476, 1460900.0865000002 5076069.4271, 1460892.4737 5076059.5999, 1460892.0050999997 5076058.9934, 1460889.4521000003 5076055.1161, 1460889.0307 5076054.4755, 1460886.7405000003 5076050.3388, 1460884.4562 5076047.0432, 1460883.9570000004 5076046.3231, 1460880.8409000002 5076040.8575, 1460880.1133000003 5076039.5844, 1460878.1528000003 5076034.5509, 1460875.4748 5076028.6409, 1460870.7099000001 5076020.2525, 1460870.3800999997 5076019.6694, 1460863.5270999996 5076005.4559, 1460860.5707 5076000.5956, 1460860.2811000003 5076000.119, 1460857.0312 5075994.03, 1460853.4230000004 5075988.2519, 1460852.7534999996 5075987.3671, 1460852.2285000002 5075986.6706, 1460849.4846 5075982.2909, 1460849.1677 5075981.7859, 1460845.403 5075974.895, 1460844.8795999996 5075973.9392, 1460844.7358999997 5075973.5879, 1460844.4304999998 5075973.1647, 1460843.3701 5075971.6973, 1460840.7663000003 5075966.226, 1460840.0754000004 5075965.0388, 1460839.3575 5075963.8047, 1460837.7726999996 5075959.8777, 1460837.2273000004 5075958.5232, 1460836.7774999999 5075956.6669, 1460836.6684999997 5075956.3683, 1460835.4587000003 5075954.1347, 1460835.0259999996 5075953.3364, 1460834.1655000001 5075951.3325, 1460831.6160000004 5075947.3532, 1460830.5377000002 5075945.6707, 1460828.9661999997 5075941.6179, 1460825.1865999997 5075934.4933, 1460824.5426000003 5075933.2812, 1460823.7794000003 5075931.1942, 1460822.4961 5075928.6145, 1460820.2445999999 5075925.2195, 1460818.7342999997 5075923.2666, 1460818.0269 5075922.3513, 1460813.4968999997 5075914.8403, 1460813.0164 5075914.0465, 1460811.1376999998 5075910.1538, 1460810.8277000003 5075909.5119, 1460807.6655000001 5075901.5578, 1460807.0121 5075900.1677, 1460803.5533999996 5075893.8594, 1460802.329 5075891.6255, 1460801.8153 5075889.5938, 1460801.7255999995 5075889.3826, 1460801.0686999997 5075888.1554, 1460796.8129000003 5075881.7189, 1460796.3734999998 5075881.0539, 1460792.0558000002 5075873.2269, 1460791.8923000004 5075872.9308, 1460788.8716000002 5075866.9875, 1460788.2225000001 5075866.2049, 1460787.7363 5075865.6166, 1460785.6142999995 5075862.6152, 1460785.0954 5075861.8817, 1460779.7375999996 5075852.6398, 1460777.5426000003 5075849.1441, 1460777.1602999996 5075848.5358, 1460773.744 5075842.1117, 1460771.8048 5075838.816, 1460771.4655999998 5075838.2401, 1460768.6030000001 5075832.528, 1460767.4707000004 5075831.1387, 1460767.0701000001 5075830.6449, 1460762.7104000002 5075824.5376, 1460762.0368 5075823.5953, 1460758.6502999999 5075817.4515, 1460756.2687999997 5075813.6241, 1460755.761 5075812.8057, 1460748.1748000002 5075797.4853, 1460747.7729000002 5075796.6748, 1460746.8137999997 5075794.1982, 1460745.4420999996 5075791.7185, 1460743.6056000004 5075788.8992, 1460741.6407000003 5075786.5567, 1460741.1686000004 5075785.9928, 1460735.7580000004 5075778.4795, 1460733.4987000003 5075775.8826, 1460732.8850999996 5075775.1768, 1460728.3612000002 5075768.8752, 1460727.6741000004 5075768.0678, 1460726.5676999995 5075766.7699, 1460724.0979000004 5075762.6071, 1460722.2651000004 5075760.2897, 1460721.4307000004 5075759.2365, 1460719.5949 5075756.1338, 1460719.0508000003 5075755.2145, 1460716.7511999998 5075750.1683, 1460715.1765 5075747.3211, 1460713.5703999996 5075745.3216, 1460712.9294999996 5075744.5244, 1460710.7440999998 5075741.1512, 1460706.6166000003 5075735.6009, 1460706.1254000003 5075734.9403, 1460698.6243000003 5075722.8981, 1460697.9873000002 5075722.1714, 1460691.4256999996 5075712.0386, 1460689.1289 5075708.8444, 1460688.8249000004 5075708.423, 1460685.2098000003 5075702.8004, 1460684.5126999998 5075701.7167, 1460682.9085 5075698.33, 1460681.8934000004 5075696.5487, 1460679.8480000002 5075693.8175, 1460676.2991000004 5075689.7519, 1460675.2296000002 5075688.527, 1460674.4205 5075687.2206, 1460673.8850999996 5075684.6587, 1460673.2532000002 5075683.8783, 1460668.4642000003 5075676.5802, 1460661.5618000003 5075667.6254, 1460661.2287999997 5075667.1923, 1460658.2906999998 5075662.9158, 1460657.7709 5075662.16, 1460653.5076000001 5075654.536, 1460651.9620000003 5075652.5656, 1460651.3614999996 5075651.8008, 1460649.7932000002 5075649.3446, 1460648.3800999997 5075647.5659, 1460647.5805000002 5075646.5597, 1460639.4370999997 5075633.061, 1460638.3997 5075631.6385, 1460637.2257000003 5075630.0297, 1460634.0619 5075623.159, 1460633.4955000002 5075622.2319, 1460633.0007999996 5075621.4231, 1460631.5102000004 5075618.3722, 1460630.9826999996 5075617.294, 1460630.6365999999 5075616.2957, 1460630.4079999998 5075615.9482, 1460629.7643 5075614.9731, 1460629.1777 5075613.8085, 1460628.0651000002 5075612.2474, 1460627.5795999998 5075611.5647, 1460626.0240000002 5075608.9476, 1460625.2696000002 5075608.0646, 1460621.0187 5075600.9762, 1460615.3156000003 5075592.0859, 1460602.9220000003 5075574.6954, 1460601.1771 5075572.2465, 1460598.0181 5075562.7366, 1460595.2325999998 5075557.9687, 1460589.3395999996 5075550.3208, 1460586.5725999996 5075547.7204, 1460583.8335999995 5075545.4206, 1460581.5285999998 5075543.482, 1460577.5500999996 5075537.3106, 1460576.5563000003 5075535.7705, 1460572.7049000002 5075526.3958, 1460553.9137000004 5075489.7076, 1460551.3743000003 5075485.7674, 1460545.1172000002 5075477.6024, 1460543.1628 5075475.5842, 1460542.5034999996 5075474.9051, 1460538.1837 5075469.5024, 1460536.8839999996 5075467.878, 1460534.8570999997 5075463.8598, 1460533.7926000003 5075462.5924, 1460530.4012000002 5075458.5523, 1460529.9365999997 5075456.0309, 1460529.1979 5075454.6593, 1460527.4592000004 5075450.6269, 1460525.2602000004 5075446.4051, 1460521.9145 5075440.5416, 1460521.6524999999 5075440.0823, 1460514.7981000002 5075426.4349, 1460512.7813999997 5075422.9912, 1460504.2039 5075409.4718, 1460503.8869000003 5075408.9742, 1460496.2627999997 5075395.2233, 1460492.2755000005 5075389.2831, 1460491.1442999998 5075387.6012, 1460490.1585999997 5075385.1945, 1460489.8550000004 5075384.8176, 1460488.705 5075383.3909, 1460484.0088 5075374.6999, 1460483.2699999996 5075373.3356, 1460481.5864000004 5075368.5858, 1460480.3317 5075365.9214, 1460470.8573000003 5075350.0083, 1460462.4241000004 5075338.0552, 1460461.8821 5075337.2879, 1460457.9694999997 5075330.464, 1460455.3562000003 5075327.4463, 1460454.0241999999 5075325.9101, 1460453.561031592 5075325.084552226, 1460400.332914799 5075356.395209544, 1460507.3551000003 5075521.1554)), ((1460371.2438000003 5075177.5082, 1460370.5197 5075176.1462, 1460366.8662 5075165.668, 1460366.7525000004 5075165.4025, 1460362.3179000001 5075158.1302, 1460361.9437999995 5075157.5147, 1460359.3245 5075152.4317, 1460359.0735999998 5075151.9466, 1460357.3901000004 5075148.1876, 1460355.3931 5075144.7646, 1460352.7369999997 5075141.1496, 1460350.4386999998 5075137.5478, 1460346.5455 5075134.2211, 1460314.6001000004 5075141.2698, 1460298.7323778179 5075144.006535602, 1460298.7949483215 5075144.276070889, 1460300.2086492383 5075154.555444194, 1460300.2142967982 5075169.1187580265, 1460300.0764018465 5075180.326327208, 1460313.5577284954 5075184.848409794, 1460315.8709744643 5075194.852750451, 1460316.1946626683 5075205.833737259, 1460371.7939532786 5075178.540800614, 1460371.2438000003 5075177.5082)))",104330.38863308431,3010.226870634808
8438,2712553,Railways Legislation,,Other,Railway,"POLYGON ((1460720.3715000004 5075983.5386, 1460729.5261000004 5075978.6703, 1460718.0368363808 5075956.439915774, 1460716.979437665 5075959.404760463, 1460711.8643786493 5075967.622102579, 1460720.3715000004 5075983.5386))",223.16961831555838,66.26678364725117
