,id,name,name_utf8,geometry,affected_area,affected_length
0,1775717,Main South Line,Main South Line,"LINESTRING (1440845.690214119 5004607.971240177, 1440902.996173571 5004703.011544308)",0.0,110.98032437339344
6,1787846,Main South Line,Main South Line,"MULTILINESTRING ((1460385.7284711583 5075364.986058849, 1460471.5306600435 5075496.9722743025, 1460519.1012391993 5075577.327303213), (1460519.1012391993 5075577.327303213, 1460676.9139907483 5075859.020637695), (1460682.2207179256 5075868.4930640925, 1460682.5296770572 5075869.044551391), (1460722.6856638556 5075943.405048943, 1460808.5549855405 5076110.691276359, 1460906.501441506 5076289.017044468, 1460931.0812924306 5076335.453279099, 1460936.380382588 5076350.597445082), (1461204.3716714345 5079564.615066069, 1461275.7475185723 5079713.1948673), (1461278.002918927 5079717.8898299495, 1461284.040515566 5079730.458015751))",0.0,1213.1783568895805
50,1841802,Hokitika Line,Hokitika Line,"LINESTRING (1435617.9246288084 5271394.612085691, 1435628.751079883 5271406.275371988, 1435633.6882901934 5271412.020971377)",0.0,23.489135072454808
32,1818354,Marton-New Plymouth Line,Marton-New Plymouth Line,"LINESTRING (1693115.2260674555 5676589.996321064, 1693131.7895101083 5676596.185189464)",0.0,17.681903873223657
46,1841798,East Coast Main Trunk,East Coast Main Trunk,"MULTILINESTRING ((1921607.784287465 5804223.36384209, 1921696.7292812837 5804175.37589587), (1921777.250043032 5804131.933023837, 1921782.0224957266 5804129.358171748), (1921839.1568313108 5804098.532834586, 1921863.298972157 5804085.507573615), (1921988.928768917 5804017.72730098, 1922007.8245810443 5804007.53255952), (1922075.7957315722 5803968.027071051, 1922085.8280793505 5803961.208617461), (1925233.2423545392 5802440.645044054, 1925261.4282004677 5802428.003946798))",0.0,198.41050501333746
