,t250_fid,name_ascii,macronated,name,geometry,affected_area,affected_length
667,5773006,Onetangi,N,Onetangi,"MULTIPOLYGON (((1786167.2857037224 5926598.275044174, 1786144.512906202 5926578.007255233, 1786139.7551008807 5926587.1597415665, 1786134.8573320415 5926596.18766126, 1786132.673020029 5926597.733698901, 1786122.63831624 5926599.797129435, 1786116.3626568394 5926601.533440054, 1786106.8239104764 5926604.609510845, 1786099.2643614884 5926604.413807321, 1786092.9306778384 5926606.505662519, 1786132.090977001 5926603.538082001, 1786167.2857037224 5926598.275044174)), ((1785284.9486149736 5926703.134105336, 1785284.158973623 5926702.847660617, 1785282.6890021192 5926703.451800643, 1785284.9486149736 5926703.134105336)), ((1785515.3473780751 5926670.740677611, 1785512.4215070554 5926669.589701769, 1785502.2438337617 5926669.020997066, 1785492.5917021886 5926672.198910645, 1785489.95540039 5926674.31071932, 1785515.3473780751 5926670.740677611)), ((1785592.3453979206 5926659.91496936, 1785581.4031905914 5926657.444504537, 1785571.0829768342 5926655.859623064, 1785561.0389031009 5926656.243360533, 1785551.6023099879 5926660.957848214, 1785542.1893379092 5926665.840730716, 1785539.8686220539 5926667.293058649, 1785592.3453979206 5926659.91496936)), ((1785628.5812457353 5926654.820309556, 1785621.5337894093 5926651.1205274705, 1785612.3677259707 5926657.099885512, 1785628.5812457353 5926654.820309556)), ((1785768.6320655418 5926637.96053351, 1785761.337658276 5926636.155579253, 1785751.306543337 5926636.257150166, 1785741.4628585225 5926640.346324294, 1785768.6320655418 5926637.96053351)), ((1785866.709138599 5926629.348159331, 1785861.0338989724 5926628.29202357, 1785857.5080623375 5926630.156127077, 1785866.709138599 5926629.348159331)))",937.9965769004581,445.19429805885807
75,5772863,Surfdale,N,Surfdale,"MULTIPOLYGON (((1779157.7996333626 5927621.947480799, 1779154.1245450925 5927617.103046248, 1779148.6385283498 5927626.417188603, 1779142.0233869734 5927634.242904833, 1779148.9212056117 5927643.335484539, 1779157.7996333626 5927621.947480799)), ((1780041.7516090004 5927164.363927001, 1780099.2444151007 5927193.217426654, 1780127.9359000875 5927141.679021949, 1780118.413468026 5927138.225237067, 1780107.7682175508 5927136.7883692095, 1780100.7335154973 5927128.865886103, 1780093.5659599616 5927121.182050352, 1780064.7730069945 5927172.902721607, 1780059.1691744854 5927137.961180779, 1780049.4573657697 5927140.554932226, 1780036.5012246142 5927122.919321723, 1780027.0969659959 5927127.430739948, 1780017.6972469308 5927131.970458224, 1780000.1267341063 5927127.300340425, 1779990.3107748947 5927129.7420387585, 1779981.2904769655 5927134.093323342, 1779971.2511782197 5927135.999006471, 1779983.0195766601 5927164.2431610115, 1780041.7516090004 5927164.363927001)))",5393.278219341817,512.2420893239703
324,5773231,Ostend,N,Ostend,"POLYGON ((1782286.1137547744 5927682.058551459, 1782320.9277093923 5927676.529676844, 1782517.6791352232 5927685.327869006, 1782538.7890678046 5927598.320719993, 1782527.8582358626 5927600.961488197, 1782517.1329619403 5927602.755018665, 1782506.6075531081 5927603.724790966, 1782497.0115081146 5927600.864072191, 1782487.1689564954 5927599.019356556, 1782477.0443600945 5927598.337130875, 1782467.2999056813 5927596.08809978, 1782457.8132353814 5927592.776576265, 1782448.5408543304 5927588.581841429, 1782439.0785296226 5927585.169978512, 1782429.4083571613 5927582.614780815, 1782420.0119398134 5927578.931277242, 1782410.0042769325 5927577.767091787, 1782398.7908110407 5927576.870112869, 1782389.1758314078 5927573.901663028, 1782378.279950394 5927577.677545388, 1782368.1316516432 5927577.517183476, 1782360.0204224484 5927566.631026253, 1782350.61507979 5927562.558772945, 1782340.0973208318 5927564.343732192, 1782329.7665280402 5927565.144257807, 1782320.3100536037 5927561.341228983, 1782310.3116140554 5927560.391812363, 1782300.001527117 5927561.083315291, 1782290.7235848794 5927556.340265136, 1782281.5329929676 5927551.137283849, 1782273.23455375 5927541.236846906, 1782263.6551107848 5927591.67553812, 1782252.570483528 5927566.3040570235, 1782240.0884856216 5927562.712167964, 1782236.353008093 5927561.181861573, 1782286.1137547744 5927682.058551459))",27255.79359369127,834.1361476139109
223,5773078,Brighton,N,Brighton,"POLYGON ((1393589.8259784887 4908690.474546912, 1393560.1736200252 4908656.231936349, 1393580.2919103396 4908701.498090139, 1393589.8259784887 4908690.474546912))",326.6727190025039,109.40708276704274
380,5773298,Aramoana,N,Aramoana,"POLYGON ((1421750.0084629236 4927902.341610482, 1421751.9981378196 4927909.091019516, 1421757.570701977 4927911.709453295, 1421750.0084629236 4927902.341610482))",16.200841454536445,25.232919965397333
43,5772876,Greymouth,N,Greymouth,"MULTIPOLYGON (((1450858.5521438569 5297375.395648123, 1450995.4331591707 5297885.971721841, 1451058.4647066453 5298227.35005684, 1451155.5555660212 5298204.197050075, 1451144.2968143558 5298195.925359038, 1451135.41472209 5298187.260081096, 1451126.8505959574 5298178.54214615, 1451116.8719667674 5298170.0584602095, 1451112.8571111644 5298160.074092448, 1451112.013090297 5298150.091401765, 1451109.038443213 5298140.419427106, 1451103.9148501025 5298131.060840417, 1451102.415630091 5298121.173699304, 1451103.3506532556 5298110.931564056, 1451102.748579845 5298100.9135893965, 1451105.1771439298 5298090.453646427, 1451104.528096988 5298080.4425214715, 1451104.1324484951 5298070.394443112, 1451106.8374123059 5298059.894191847, 1451111.617906598 5298049.091258915, 1451114.8212424403 5298038.518328529, 1451117.234166096 5298028.148395409, 1451115.4690708825 5298018.305387315, 1451113.2348397889 5298008.545575727, 1451109.617141274 5297999.031108102, 1451106.2256702718 5297989.476521309, 1451104.829992499 5297979.568000677, 1451103.1028901383 5297969.718254902, 1451099.9081350511 5297960.128782516, 1451095.737307092 5297950.71240688, 1451093.5588551366 5297940.942703402, 1451090.7731992602 5297931.280681313, 1451087.7454876744 5297921.66158545, 1451084.3955226755 5297912.099637972, 1451083.972797121 5297902.018574103, 1451084.6207117971 5297891.9987713285, 1451082.7497357465 5297882.174861663, 1451078.0314451852 5297872.922420206, 1451074.456566787 5297863.44049078, 1451075.9709357675 5297852.937128068, 1451074.1847723848 5297843.096196168, 1451072.508258911 5297833.233257042, 1451072.3584643472 5297823.06389887, 1451072.2044298835 5297812.895391862, 1451071.683214694 5297802.800579562, 1451069.6956092878 5297793.000077829, 1451066.9994248892 5297783.341790966, 1451065.3103342738 5297773.481376139, 1451064.750467814 5297763.394321179, 1451065.5341597404 5297753.037608464, 1451064.7320401776 5297742.99917482, 1451060.9769493602 5297733.553414968, 1451056.8260400796 5297724.187097498, 1451054.141684446 5297714.5264365515, 1451055.2067222344 5297704.147119688, 1451054.562569308 5297694.059515237, 1451054.198329984 5297683.912195856, 1451053.0868919673 5297673.924278863, 1451051.6491036625 5297664.005983239, 1451050.7524618963 5297653.972243064, 1451048.0417174909 5297644.32551144, 1451045.5462103665 5297634.632862523, 1451043.808664658 5297624.7785151685, 1451042.8608716684 5297616.022006762, 1450973.820801001 5297347.58131, 1450858.5521438569 5297375.395648123)), ((1451129.8981421068 5298628.0906656785, 1451183.240508859 5299264.841056978, 1451240.2028012546 5299214.151374716, 1451278.6733997583 5299183.414072118, 1451269.862440676 5299177.738345447, 1451264.0409185851 5299168.361117995, 1451259.9342435163 5299158.779613413, 1451269.5074443133 5299147.568531532, 1451278.2889176852 5299136.451762007, 1451279.3081319677 5299126.259650387, 1451279.5200887353 5299116.163700881, 1451274.9998138417 5299106.631465587, 1451271.3458451764 5299096.996034102, 1451267.8368490138 5299087.343332845, 1451266.2379600087 5299077.463095477, 1451264.0376493935 5299067.6545008095, 1451265.0642589682 5299057.461508316, 1451267.140407192 5299047.143492053, 1451266.2052874754 5299037.184184995, 1451208.056651243 5299034.040282146, 1451209.1860062853 5299023.835049009, 1451208.8544580168 5299013.803843159, 1451207.6994969603 5299003.870724096, 1451204.331131591 5298994.201271537, 1451200.0636290787 5298984.63892463, 1451197.808051215 5298974.836913521, 1451196.2194925102 5298967.669303243, 1451195.837972504 5298957.607078517, 1451197.8112021843 5298947.175906856, 1451199.4003919272 5298936.804908105, 1451199.7891885166 5298926.621988597, 1451198.568465846 5298916.691251835, 1451199.7596009187 5298906.382620742, 1451199.3583590782 5298896.323485622, 1451198.411702718 5298886.349807593, 1451196.1474339853 5298876.582575749, 1451198.671968292 5298866.065024517, 1451198.7887001603 5298855.924732662, 1451198.009617107 5298845.924798908, 1451191.4842604883 5298836.825203386, 1451183.6413120935 5298827.932049981, 1451180.7151578825 5298817.136581162, 1451177.5708875468 5298807.477722381, 1451173.9347971343 5298797.8872899385, 1451178.8009426529 5298787.11393855, 1451182.5477474984 5298776.4963215105, 1451182.442868693 5298766.4145908635, 1451181.6964610294 5298756.422116403, 1451180.8162697337 5298746.448255959, 1451179.5806333204 5298736.5238481015, 1451176.6369584117 5298726.83708039, 1451172.1748437127 5298717.361573875, 1451168.6594310626 5298707.754352289, 1451165.015478009 5298698.165014584, 1451161.8149794852 5298688.5139780855, 1451160.953390939 5298678.537528791, 1451160.392792554 5298668.519202605, 1451158.0904563207 5298659.870651701, 1451155.7616344646 5298650.1133620925, 1451161.3022614394 5298639.124799138, 1451162.0418498507 5298628.887418609, 1451160.155283251 5298621.458609637, 1451129.8981421068 5298628.0906656785)))",120765.15763741342,3440.0063321182715
54,5772883,Greymouth,N,Greymouth,"MULTIPOLYGON (((1452139.3008001873 5300548.945512173, 1452138.4975866843 5300539.4314286215, 1452135.3521784872 5300536.842732617, 1452139.3008001873 5300548.945512173)), ((1452193.9206039007 5300724.652636649, 1452192.6845389043 5300716.535283771, 1452190.6649773768 5300706.595384047, 1452187.7196448704 5300697.0130239995, 1452186.6358958574 5300686.711707059, 1452183.4708147345 5300675.503334572, 1452182.6963147137 5300664.972858269, 1452178.5477285238 5300655.8698799545, 1452170.9025797315 5300649.021912598, 1452193.9206039007 5300724.652636649)), ((1452209.6724201809 5300776.408654526, 1452210.2411118282 5300774.074024119, 1452215.3010851762 5300761.399959774, 1452208.7940968506 5300753.193134362, 1452201.6075695727 5300749.909834021, 1452209.6724201809 5300776.408654526)), ((1452256.5855690008 5300930.552007001, 1452329.1407531463 5301220.882910322, 1452368.115521872 5301176.772259795, 1452365.6899496957 5301168.663733423, 1452357.780309792 5301160.493827995, 1452341.9226214888 5301154.549377255, 1452340.154428609 5301144.659867278, 1452347.4374042533 5301132.236029596, 1452343.3318112933 5301123.00099219, 1452330.8678917398 5301116.10628563, 1452327.9432358209 5301106.540584875, 1452325.6738675379 5301096.79140443, 1452328.5530299863 5301085.600634982, 1452332.3954362231 5301074.140156705, 1452334.122091571 5301063.272089815, 1452332.6546150148 5301053.298379268, 1452329.4332966793 5301043.815743775, 1452326.4306161911 5301034.271890957, 1452325.0012384194 5301024.287512026, 1452323.1974027066 5301014.407982766, 1452322.0138993296 5301004.3547597295, 1452316.9047413787 5300995.4007199565, 1452308.659153773 5300987.324879821, 1452310.9110016753 5300976.309758453, 1452308.9114923961 5300966.485017705, 1452302.2352945164 5300949.209005125, 1452298.587234439 5300939.881835436, 1452295.1889887797 5300930.440715182, 1452291.4821888774 5300921.140340277, 1452285.6832653843 5300912.794267233, 1452279.7364826982 5300904.515637683, 1452277.5774845001 5300894.509246671, 1452275.4470444329 5300884.489830423, 1452271.633038774 5300875.2383562885, 1452264.5074143447 5300867.497443998, 1452254.602630245 5300861.024218568, 1452242.3459918723 5300855.623769434, 1452233.0345241835 5300848.879910173, 1452231.111455766 5300846.851268209, 1452256.5855690008 5300930.552007001)))",13699.763715617086,1087.5196833675768
197,5773050,Carters Beach,N,Carters Beach,"MULTIPOLYGON (((1479892.743293715 5377181.409163423, 1479893.4771116937 5377181.85907727, 1479893.6088502211 5377181.902428772, 1479892.7465449045 5377181.387928394, 1479892.743293715 5377181.409163423)), ((1479880.867609281 5377258.974768973, 1480174.0623430004 5377468.922843001, 1480458.9645100003 5377621.891707, 1480513.4822304305 5377531.67559296, 1480508.516927689 5377529.676806076, 1480498.3556834094 5377526.185983517, 1480486.0119482896 5377525.258721633, 1480468.9608251357 5377520.775625157, 1480462.2883253365 5377513.081994183, 1480454.4594241488 5377506.860137768, 1480445.8418367188 5377501.642081838, 1480437.1965353787 5377496.459289152, 1480427.8081989412 5377492.222177485, 1480420.2971578054 5377485.595772179, 1480411.9499916197 5377480.033543501, 1480389.1894998148 5377457.632845205, 1480381.6165519953 5377450.744351695, 1480371.845887122 5377447.672933353, 1480363.4960403796 5377442.133802871, 1480355.2404746218 5377436.43090892, 1480345.6676736858 5377433.015842688, 1480336.648161539 5377428.639804736, 1480327.9076346725 5377423.7792098895, 1480318.7597912848 5377419.6260630265, 1480310.3260430575 5377414.232631737, 1480297.9421030544 5377408.822096472, 1480289.3069741025 5377403.769890998, 1480280.8646366042 5377398.364236251, 1480271.969958435 5377393.787872757, 1480263.5143291838 5377388.406599065, 1480255.9051570257 5377381.473463427, 1480245.7909809067 5377379.132846202, 1480234.9103488475 5377378.197398217, 1480226.355445721 5377372.9981138, 1480218.4022399758 5377366.695715781, 1480209.7824445518 5377361.615400574, 1480201.415127454 5377356.072221147, 1480197.499297565 5377352.342744581, 1480189.718357908 5377345.845247186, 1480182.3006251391 5377338.729457406, 1480174.7830474013 5377331.78362975, 1480168.2684313885 5377323.1303664725, 1480157.8567964155 5377321.111339325, 1480149.3476221664 5377315.853584803, 1480140.0533847034 5377311.932310569, 1480130.0351335465 5377309.243581592, 1480120.8324621408 5377305.166425219, 1480112.3585027782 5377299.848723378, 1480103.3421066713 5377295.454443474, 1480093.9783471476 5377291.651532457, 1480098.5676033816 5377293.397633414, 1480089.9790153955 5377288.204421203, 1480082.6373570692 5377281.298377798, 1480075.9478415635 5377273.496541683, 1480069.2477155814 5377265.709278577, 1480060.057710535 5377261.342182655, 1480050.4902360332 5377257.493586912, 1480039.4767945479 5377255.631207837, 1480029.1504898332 5377252.824962996, 1480018.7803609187 5377250.078912899, 1480009.1681984547 5377246.291703339, 1479998.8307308718 5377243.500790397, 1479967.8374414921 5377229.198646601, 1479958.6585962735 5377225.213951686, 1479948.3921050285 5377223.5071554845, 1479939.0933454556 5377219.773603413, 1479929.5581842454 5377216.5351551995, 1479922.0971705075 5377208.952737747, 1479915.5206408221 5377199.517910295, 1479908.1490779994 5377191.748152246, 1479899.9070808208 5377185.801379359, 1479893.4771116937 5377181.85907727, 1479892.7129120277 5377181.607600318, 1479880.867609281 5377258.974768973)))",69975.95641579933,1608.422077446149
362,5773275,Stoke,N,Stoke,"POLYGON ((1617818.2552849147 5427335.402664894, 1617654.4928171951 5427298.940086747, 1617537.830612095 5427231.973717556, 1617354.3770681964 5427065.537595148, 1617328.1274907216 5427070.000705377, 1617289.9684910201 5427087.172255243, 1617292.8162228493 5427096.856632219, 1617296.6559635524 5427106.094604641, 1617299.8298267205 5427115.124190745, 1617303.0525842824 5427124.616628505, 1617304.7161963258 5427134.76342244, 1617306.0007490881 5427145.069303647, 1617308.0053569332 5427155.072985066, 1617309.8781783532 5427165.131977159, 1617312.28184118 5427174.968180073, 1617319.7279036422 5427186.17877713, 1617325.345397082 5427194.491603819, 1617333.362615675 5427205.0067471275, 1617339.651999397 5427212.7956046555, 1617347.8126023968 5427219.21399193, 1617378.4470451823 5427196.777497593, 1617366.30055666 5427246.982984171, 1617375.4513240883 5427251.685621321, 1617388.701451878 5427257.540779109, 1617398.2646432582 5427261.3091171775, 1617397.013714936 5427260.590369943, 1617406.783103953 5427263.104400603, 1617409.0547226137 5427263.409534024, 1617416.2818819091 5427266.28852167, 1617418.5435886404 5427267.96886433, 1617428.0079190228 5427272.553711709, 1617438.0790283182 5427276.507507222, 1617443.4998113797 5427280.21668394, 1617450.287461949 5427287.571017455, 1617455.0662949476 5427296.636565537, 1617462.659150189 5427306.951149649, 1617470.4263428114 5427313.335962612, 1617477.3516223808 5427320.551155577, 1617482.8603892014 5427323.9372860305, 1617494.2078072315 5427327.665600082, 1617500.155143465 5427335.71397957, 1617506.059553795 5427343.79669978, 1617509.1730561897 5427347.786857047, 1617548.750672222 5427325.669954808, 1617554.6734979886 5427367.129741999, 1617568.7206384 5427366.734139764, 1617572.534341556 5427366.29903535, 1617582.489508096 5427365.314659898, 1617592.6403211714 5427367.069354071, 1617598.5682416372 5427365.473278312, 1617608.6993054932 5427363.688451139, 1617623.6280273453 5427366.356246177, 1617633.312819946 5427362.988566973, 1617644.3051871047 5427361.870571745, 1617642.4381659068 5427354.636725707, 1617657.7695547321 5427346.372454844, 1617669.4298409258 5427339.484727297, 1617679.351604839 5427340.324282746, 1617543.9011968225 5427460.218339443, 1617576.1348133374 5427433.492079807, 1617543.4766372826 5427462.693339214, 1617604.5230007628 5427515.3760318365, 1617721.2841559947 5427565.355858587, 1617783.320212353 5427418.246203966, 1617818.2552849147 5427335.402664894), (1617680.0893729392 5427340.541265398, 1617685.900477658 5427342.48070842, 1617576.1348133374 5427433.492079807, 1617680.0893729392 5427340.541265398))",81645.75722322444,2278.7439418255117
579,5772805,Nelson,N,Nelson,"MULTIPOLYGON (((1617866.558750025 5426258.915462987, 1617882.738365668 5426279.793264986, 1617885.4492577985 5426270.69617514, 1617875.5248454823 5426263.40673766, 1617868.4706555465 5426250.669943003, 1617859.6352461167 5426248.551082315, 1617866.558750025 5426258.915462987)), ((1618378.5401282199 5426919.564397867, 1618396.0074389132 5426704.13428717, 1618340.5874007766 5426705.134561033, 1618330.6177487804 5426707.447883382, 1618294.9934787343 5426710.005628566, 1618272.5919926527 5426711.869618834, 1618272.1033527704 5426711.973400963, 1618238.7078061926 5426715.216912503, 1618222.0364252212 5426717.615637435, 1618378.5401282199 5426919.564397867)), ((1618459.4002260347 5427023.904398833, 1618456.9415796422 5426989.483354966, 1618505.72027017 5426989.650252189, 1618495.7519391703 5426988.854512421, 1618485.7956640813 5426987.9017592585, 1618457.1457924237 5426985.943680443, 1618447.173980846 5426984.989440088, 1618437.2021690866 5426984.035199728, 1618427.8627293776 5426983.209142203, 1618459.4002260347 5427023.904398833), (1618437.8721244396 5426989.4181084605, 1618456.8301261412 5426987.923006207, 1618456.9415796422 5426989.483354966, 1618437.8721244396 5426989.4181084605)), ((1618571.231968791 5427168.209494457, 1618589.9781981418 5427167.823092566, 1618712.7585391428 5427206.639899162, 1618703.8442451356 5427202.108288506, 1618670.1766170603 5427188.8692874, 1618660.7012821764 5427185.569344153, 1618650.6477260923 5427183.575061613, 1618561.2595132636 5427155.341268379, 1618571.231968791 5427168.209494457), (1618587.0627855763 5427166.9013895895, 1618597.0797170713 5427167.67671431, 1618589.9781981418 5427167.823092566, 1618587.0627855763 5427166.9013895895)), ((1619505.3576373926 5429369.957324186, 1619506.8324594507 5429373.023452617, 1619507.1960647048 5429372.869116576, 1619505.620809848 5429369.79678035, 1619505.3576373926 5429369.957324186)), ((1619504.4057021143 5429370.538035953, 1619505.8622854154 5429373.435253101, 1619505.9460858216 5429373.399683145, 1619504.4325098037 5429370.521682383, 1619504.4057021143 5429370.538035953)), ((1619455.335736001 5429400.472326003, 1619514.386870062 5429406.053369302, 1619514.1778160373 5429398.854875612, 1619519.1362841364 5429406.502246127, 1619522.5932066175 5429406.828966932, 1619511.7471346704 5429388.05882095, 1619522.6336432905 5429406.832788685, 1619522.6539462195 5429406.834707556, 1619505.8622854154 5429373.435253101, 1619485.4617259458 5429382.094483252, 1619455.335736001 5429400.472326003)), ((1619523.5757972628 5429406.921833581, 1619518.445703588 5429397.1671775, 1619523.116875692 5429406.878459967, 1619523.5757972628 5429406.921833581)), ((1619524.563484818 5429407.015181949, 1619509.7998333964 5429379.192569474, 1619510.2662446944 5429380.162230141, 1619523.9906999185 5429406.961046879, 1619524.563484818 5429407.015181949)), ((1619528.043011976 5429407.344039169, 1619524.8966409871 5429397.946556412, 1619527.2797240156 5429386.071484295, 1619528.4260422492 5429374.721384067, 1619511.6721353095 5429370.969201744, 1619507.1960647048 5429372.869116576, 1619524.7106398973 5429407.029089876, 1619528.043011976 5429407.344039169)), ((1618267.8006105563 5426712.268301741, 1618272.5919926527 5426711.869618834, 1618282.0413609804 5426709.862669352, 1618257.7354671108 5426712.162352863, 1618267.8006105563 5426712.268301741)), ((1619508.93444846 5429377.561721587, 1619509.7998333964 5429379.192569474, 1619506.8324594507 5429373.023452617, 1619505.9460858216 5429373.399683145, 1619518.445703588 5429397.1671775, 1619510.2662446944 5429380.162230141, 1619508.93444846 5429377.561721587)))",21814.686540830353,1848.9493171242455
