,facility_i,source_fac,name,source_nam,use,use_type,use_subtyp,estimated_,last_modif,geometry,affected_area,affected_length
481,502,365,Waitaki Boys' High School,Waitaki Boys' High School,School,Secondary (Year 9-15),,304.0,2021-06-10,"POLYGON ((1442171.0769190756 5006194.944575474, 1442090.2330255902 5006245.472115796, 1442090.7111657935 5006246.762502074, 1442095.937186802 5006255.67861675, 1442106.5906778334 5006259.167257284, 1442117.6646219091 5006271.330538587, 1442124.3048015449 5006278.945626494, 1442135.4171885008 5006281.361772298, 1442142.890851887 5006288.007934326, 1442151.4210678248 5006293.425853991, 1442156.6367930637 5006302.696863611, 1442166.2617474806 5006302.651400059, 1442176.2677099893 5006306.554778975, 1442179.326118142 5006317.984675226, 1442188.2789241478 5006323.028973703, 1442190.5125103614 5006326.263225898, 1442192.348012207 5006338.195479647, 1442199.7876842152 5006344.934882148, 1442206.6322521863 5006352.2257030085, 1442211.9950843898 5006360.889513015, 1442219.9150191792 5006367.183897734, 1442228.9186266875 5006372.474145362, 1442238.9615395796 5006376.801367828, 1442253.1234222425 5006393.716289537, 1442258.068277111 5006403.553729527, 1442267.9970020906 5006407.142744223, 1442273.3890457922 5006416.419535495, 1442281.4471325309 5006422.353823008, 1442282.7370770902 5006422.851056668, 1442288.7908846922 5006430.961576022, 1442295.6958446936 5006438.20302397, 1442303.2250500154 5006444.807084583, 1442313.279623634 5006448.832611216, 1442318.2975535817 5006458.000816189, 1442325.8178936164 5006464.613924687, 1442329.5644423717 5006472.760977871, 1442334.7194782295 5006481.7181133535, 1442343.98424692 5006486.630752911, 1442351.6248085117 5006493.141816463, 1442363.0604936278 5006503.129425844, 1442371.7429233466 5006508.432448656, 1442379.1020692394 5006515.203988483, 1442387.0691636384 5006521.300859106, 1442391.5422425827 5006531.275239001, 1442397.3541517372 5006539.76384063, 1442400.2215130746 5006546.309867183, 1442409.3584342462 5006551.255823791, 1442422.3944294755 5006552.188032228, 1442428.8779203456 5006559.865468615, 1442435.5331810396 5006567.3660771195, 1442438.956854206 5006571.323912569, 1442512.0178431824 5006526.057178456, 1442317.2510009103 5006341.03483922, 1442171.0769190756 5006194.944575474))",40526.2256399321,1157.9113919226895
2174,2199,3192,Granity School,Granity School,School,Full Primary,,25.0,2021-06-10,"POLYGON ((1504320.9378350934 5390662.058658603, 1504405.4554131648 5390763.5335851405, 1504426.6380542996 5390750.871084616, 1504422.2700826232 5390744.4534089845, 1504416.828889422 5390736.024076605, 1504410.700048368 5390728.122163446, 1504404.101285707 5390720.580675593, 1504397.6530554385 5390712.923730857, 1504390.422179861 5390705.867067467, 1504384.2947336948 5390697.964081355, 1504377.4684646656 5390690.597088707, 1504370.3290504233 5390683.470278416, 1504363.841322447 5390675.84362804, 1504356.8237657726 5390668.623351122, 1504350.1332546314 5390661.152233462, 1504342.07402015 5390650.430743701, 1504342.102350722 5390646.119190932, 1504320.9378350934 5390662.058658603))",3340.975775065517,319.13342894792936
771,761,1056,Ngunguru School,Ngunguru School,School,Full Primary,,233.0,2021-06-10,"POLYGON ((1737067.049807532 6056509.176150999, 1737042.8400086795 6056458.066554209, 1737014.5485168989 6056384.591509843, 1736997.3311940073 6056370.114456605, 1736947.1964606876 6056367.37501421, 1736939.5823418195 6056368.724952024, 1736950.732732957 6056550.880138741, 1737067.049807532 6056509.176150999))",15363.59551706004,521.7880023419511
