,t50_fid,name_ascii,macronated,name,geometry,affected_area,affected_length
7944,6780092,,N,,"LINESTRING (1232760.746641281 4847820.685649059, 1232797.4743465765 4847825.232118634)",0.0,37.00803590927952
7965,6780118,,N,,"LINESTRING (1232058.5757135972 4849028.473660125, 1232054.1749432385 4849022.308126865)",0.0,7.574997038679048
9565,6793309,,N,,"LINESTRING (1231328.9213071275 4850337.383602455, 1231284.829454071 4850305.867026967)",0.0,54.19765711236374
381,6793814,,N,,"LINESTRING (1222752.794923693 4856332.794045938, 1222754.1399348145 4856338.5818011835)",0.0,5.941983313440359
468,6795393,,N,,"LINESTRING (1445975.4427664187 5009900.33431982, 1446025.0921806963 5009869.125254875)",0.0,58.6435850953153
11669,6782825,,N,,"LINESTRING (1446721.4331192328 5010676.559670094, 1446711.6650793105 5010675.681711058, 1446659.9986818943 5010673.572388378)",0.0,61.51685327340669
13003,6795394,,N,,"LINESTRING (1446881.8996079387 5010897.593622799, 1446721.4331192328 5010676.559670094)",0.0,273.14007806590575
40867,6769986,,N,,"LINESTRING (1447466.004445929 5011370.002742181, 1447463.095758521 5011369.933816684, 1447272.4962285378 5011365.41714387)",0.0,193.56254263114425
40885,6773945,,N,,"LINESTRING (1450594.0203103824 5015630.142216731, 1450575.6311896618 5015656.76791339)",0.0,32.358731178108584
40585,8167955,,N,,"LINESTRING (1451819.561654198 5018060.947645734, 1451886.4226099504 5018063.00311698)",0.0,66.8925434272938
40626,8167996,,N,,"LINESTRING (1451666.1513280428 5017687.197402711, 1451719.6837770008 5017754.017261, 1451728.3531482518 5017819.524825861)",0.0,151.6977535435961
11701,6782905,,N,,"LINESTRING (1452074.8150533624 5018564.975453804, 1452071.0114064733 5018566.407364188)",0.0,4.064246178935848
13100,6795656,,N,,"LINESTRING (1461045.869004799 5086783.843803365, 1461038.6227654489 5086792.70116912, 1461025.4876099667 5086808.7567906305, 1461021.9271371686 5086819.660738573)",0.0,43.65838731304925
14608,6806539,,N,,"LINESTRING (1461241.0509729171 5086923.499813349, 1461257.4935810026 5086990.998784001, 1461281.6111805383 5087072.683795966)",0.0,154.64380651591495
13102,6795658,,N,,"MULTILINESTRING ((1461163.1580648106 5087040.303304879, 1461165.1237013985 5087041.698297142), (1461166.788732488 5087042.879952745, 1461262.2221668046 5087110.608088933))",0.0,119.43444184985792
790,6806540,,N,,"LINESTRING (1461281.6111805383 5087072.683795966, 1461262.2221668046 5087110.608088933)",0.0,42.59326062409464
14610,6806542,,N,,"LINESTRING (1461262.2221668046 5087110.608088933, 1461300.9161970029 5087138.068848001, 1461330.0817490006 5087171.042136002)",0.0,91.4693026214293
11795,6783146,,N,,"LINESTRING (1461281.6111805383 5087072.683795966, 1461286.5707814982 5087077.837343759, 1461322.0385946548 5087114.8037969, 1461383.482834341 5087173.750303267, 1461401.4665142484 5087198.22808981, 1461404.963340899 5087209.218116418, 1461411.4574475288 5087221.706783025, 1461430.9397674324 5087236.193636282, 1461468.9053139025 5087264.667796139, 1461504.872673721 5087299.636062625, 1461521.357713637 5087318.618835861, 1461574.809206699 5087376.066702236, 1461652.2389396345 5087455.494621831)",0.0,535.9461052639504
6375,6770044,,N,,"LINESTRING (1461275.0239322572 5087205.2315464495, 1461330.0817490006 5087171.042136002)",0.0,64.80955925842562
6970,6774125,,N,,"LINESTRING (1461330.0817490006 5087171.042136002, 1461438.193013003 5087308.504155999, 1461483.3719940009 5087369.16181, 1461517.8148860028 5087408.903720003, 1461596.974991003 5087533.338392001, 1461681.354716003 5087664.701653003, 1461757.678251003 5087784.027365001)",0.0,748.3624753979044
14611,6806543,,N,,"LINESTRING (1461757.678251003 5087784.027365001, 1461772.1661990024 5087805.602973, 1461775.307847837 5087810.061359605)",0.0,31.442699718054723
11797,6783148,,N,,"LINESTRING (1461775.307847837 5087810.061359605, 1461892.835884001 5087976.848117, 1461948.6025290005 5088050.413143002, 1462071.5645600008 5088208.780908001, 1462194.2379850028 5088378.406381001)",0.0,706.1845827990105
6971,6774126,,N,,"LINESTRING (1461693.3252769634 5087824.473074723, 1461757.678251003 5087784.027365001)",0.0,76.0076358180847
5325,6774127,,N,,"LINESTRING (1461709.694954021 5087848.023482317, 1461750.2196593862 5087823.76198108, 1461775.307847837 5087810.061359605)",0.0,75.8174945820691
6376,6770045,,N,,"LINESTRING (1462194.2379850028 5088378.406381001, 1462140.2716722824 5088398.8532420155)",0.0,57.70993878003057
6972,6774128,,N,,"LINESTRING (1463037.9857570007 5089431.192089003, 1463018.0391497966 5089386.881063577, 1462947.1166191548 5089280.50220428, 1462805.3375700405 5089067.825526467, 1462543.8783387104 5088722.175937159, 1462364.4075373262 5088482.874683903, 1462304.5839377083 5088409.759577821, 1462253.624610995 5088400.9015726885, 1462194.2379850028 5088378.406381001)",0.0,1374.2701342254115
3053,6770047,,N,,"LINESTRING (1463142.4276210004 5089655.766378, 1463059.1528390003 5089555.7967260005, 1463016.678495003 5089502.367602001, 1462976.917034001 5089447.238823002, 1462957.943346003 5089415.005384003, 1462762.7477200022 5089150.149295002, 1462482.7848150022 5088775.455563, 1462338.3835890023 5088580.535238002, 1462211.8593540024 5088409.180116999, 1462194.2379850028 5088378.406381001)",0.0,1591.5347389757349
13108,6795664,,N,,"LINESTRING (1463271.0545460004 5089820.372873003, 1463192.1170780007 5089720.213260001, 1463142.4276210004 5089655.766378)",0.0,208.90514218387204
13109,6795665,,N,,"LINESTRING (1463271.0545460004 5089820.372873003, 1463299.9727220023 5089856.845449002, 1463389.6132950028 5089965.51333)",0.0,187.4150133081582
14612,6806544,,N,,"LINESTRING (1463389.6132950028 5089965.51333, 1463486.2875740007 5090082.549507002)",0.0,151.80047083907925
3054,6770048,,N,,"LINESTRING (1463106.3133570985 5089670.605260276, 1463142.4276210004 5089655.766378)",0.0,39.04398141041234
3055,6770049,,N,,"LINESTRING (1463199.4073018152 5089849.603649132, 1463271.0545460004 5089820.372873003)",0.0,77.38065567346726
6973,6774129,,N,,"LINESTRING (1463313.575778995 5090002.6476154905, 1463389.6132950028 5089965.51333)",0.0,84.62067713925686
5326,6774130,,N,,"MULTILINESTRING ((1463496.4056655474 5090232.445867732, 1463496.354489038 5090231.6877037585), (1463496.1936807719 5090229.305379604, 1463486.2875740007 5090082.549507002))",0.0,147.84971585051397
6974,6774131,,N,,"LINESTRING (1463486.2875740007 5090082.549507002, 1463601.044989001 5090223.750766001, 1463722.1187210027 5090380.64883, 1463781.7526670024 5090450.194674003, 1463836.8596440004 5090532.877844, 1464148.5855420008 5090919.179213999)",0.0,1067.500365177707
11819,6783172,,N,,"LINESTRING (1464113.9106001835 5090945.641185378, 1464148.5855420008 5090919.179213999)",0.0,43.61866021887855
6999,6774163,,N,,"LINESTRING (1464148.5855420008 5090919.179213999, 1464255.212554003 5091047.663061002, 1464411.5290250024 5091238.054308001, 1464575.5223760027 5091438.523502999, 1464740.7443580022 5091646.891090003)",0.0,938.2308433167696
14628,6806562,,N,,"LINESTRING (1464823.697552003 5091735.093137001, 1464740.7443580022 5091646.891090003)",0.0,121.0819288314219
10897,6774164,,N,,"LINESTRING (1464703.5958127875 5091654.534135327, 1464740.7443580022 5091646.891090003)",0.0,37.9266470095874
14629,6806563,,N,,"LINESTRING (1464869.6433960022 5091791.6416270025, 1464823.697552003 5091735.093137001)",0.0,72.86118515568882
13142,6795701,,N,,"LINESTRING (1464838.4536212564 5091803.159429328, 1464869.6433960022 5091791.6416270025)",0.0,33.24848596697222
11827,6783180,,N,,"LINESTRING (1464869.6433960022 5091791.6416270025, 1465023.2469840003 5091983.672539002, 1465135.448187001 5092155.377589002)",0.0,451.02030495309793
3072,6770066,,N,,"LINESTRING (1465135.448187001 5092155.377589002, 1465123.5915200505 5092158.782289637)",0.0,12.33582334460363
11828,6783181,,N,,"LINESTRING (1465157.8906650497 5092195.002968307, 1465135.448187001 5092155.377589002)",0.0,45.53938411946597
11837,6783245,,N,,"LINESTRING (1475298.2061487024 5102188.296399753, 1475304.7870958522 5102180.3548559025, 1475321.2223082045 5102157.858102394, 1475347.0865123123 5102122.454820131)",0.0,82.01925482103373
42847,6770086,,N,,"LINESTRING (1476672.4593732727 5103252.100608631, 1476683.994800333 5103235.489225901, 1476706.2480954267 5103205.81069562)",0.0,57.318651671377125
7054,6774257,,N,,"LINESTRING (1484494.9792040102 5109105.340234326, 1484475.3632515082 5109115.32125759, 1484438.0166010028 5109141.524214, 1484421.1650578603 5109153.405586943, 1484414.842066506 5109153.124565105)",0.0,94.57943224526956
42663,8208709,,N,,"LINESTRING (1485079.498582967 5109695.250312607, 1485080.2906790366 5109694.345059956, 1485083.0207262086 5109681.377335881, 1485089.5045882482 5109677.964776911, 1485102.2128029186 5109657.080634503, 1485128.2566931527 5109615.728844205)",0.0,95.09850333422791
3100,6770113,,N,,"LINESTRING (1486373.8005839603 5110666.770414123, 1486379.3141664462 5110654.716209277)",0.0,13.255317661847208
6382,6770114,,N,,"LINESTRING (1487295.552020697 5111337.575173976, 1487302.393726631 5111330.733468041, 1487304.8532874864 5111321.168509151, 1487309.2258401243 5111314.609680201, 1487316.8778072326 5111309.143989405, 1487321.7969289487 5111306.411144011, 1487315.5113845346 5111296.846185121, 1487321.5236444063 5111290.01407163, 1487331.6351723764 5111285.094949915)",0.0,74.2560794088356
14675,6806616,,N,,"LINESTRING (1489018.7898584306 5112475.8328091325, 1489000.3658189522 5112484.998153165, 1488987.0784616405 5112486.592636042, 1488959.4407584323 5112494.299303285, 1488947.4821368502 5112510.509879203)",0.0,82.79689807928105
11931,6783315,,N,,"LINESTRING (1488971.5791588374 5112532.127869645, 1488967.9446671102 5112526.720455125, 1488947.4821368502 5112510.509879203)",0.0,32.6208555626274
11930,6783314,,N,,"LINESTRING (1488947.4821368502 5112510.509879203, 1488944.3179978246 5112516.24201512)",0.0,6.547454310268211
7110,6774350,,N,,"LINESTRING (1500233.5643207403 5119139.29392576, 1500179.4430860803 5119173.874745256, 1500167.3703349466 5119170.172389773, 1500129.456396969 5119169.392337291, 1500114.2547618486 5119189.283367363, 1500112.0880952487 5119198.830330848)",0.0,149.59993287645685
7112,6774352,,N,,"LINESTRING (1500673.9461722327 5119468.361896266, 1500660.9235355584 5119498.28625288)",0.0,32.63519855420563
39820,8035014,,N,,"LINESTRING (1508424.6413640934 5124184.36057175, 1508444.2059029788 5124172.799707863, 1508490.900837101 5124133.626942793)",0.0,83.67514408655504
40310,6775006,,N,,"LINESTRING (1511388.6407702677 5126035.024317494, 1511420.087116465 5125978.372025806, 1511438.2206893126 5125945.703466449)",0.0,102.15861590610295
1573,8035320,,N,,"LINESTRING (1514429.8624467766 5127799.046344064, 1514418.2341040298 5127820.173308014)",0.0,24.11569946675009
281,8035193,,N,,"LINESTRING (1515101.8458269946 5128210.349167654, 1515083.3150200772 5128218.524523648)",0.0,20.25406750860943
40312,6775016,,N,,"LINESTRING (1514044.0253418349 5127560.827113787, 1514029.835213803 5127584.327674947)",0.0,27.4524335605764
3357,6770566,,N,,"LINESTRING (1519963.0656358944 5131156.330713931, 1520182.1627166867 5131282.622481027, 1520192.6870306125 5131293.465713555, 1520183.3240735393 5131311.409567889)",0.0,288.24013793857245
2285,6768975,,N,,"LINESTRING (1520775.872428637 5131607.444474907, 1520760.5378340343 5131614.252898256, 1520747.0501265945 5131620.153770262, 1520736.109174674 5131630.146506349)",0.0,46.31766647260645
2287,6768979,,N,,"LINESTRING (1523793.9224902168 5133266.86726905, 1523768.8533051969 5133308.62515153)",0.0,48.705079681097665
17290,6796565,,N,,"LINESTRING (1547383.4633297985 5143299.944461017, 1547376.8859693347 5143371.358084966)",0.0,71.71587938715608
16550,6785184,,N,,"LINESTRING (1445282.087522995 5284386.547733555, 1445283.4273735322 5284403.96579052, 1445281.9152292786 5284422.111521545, 1445282.6178884536 5284424.319878952)",0.0,37.99559123561696
19282,6776643,,N,,"LINESTRING (1573548.5759058048 5506514.910629093, 1573553.2272770004 5506525.543741003, 1573562.602802001 5506540.590679003, 1573580.3725960003 5506564.015910002)",0.0,58.737274052241226
3858,6771407,,N,,"LINESTRING (1788912.2308448649 5526274.81786849, 1788904.4074721606 5526276.293976549)",0.0,7.961410394626481
23596,6809277,,N,,"LINESTRING (1940918.6831540193 5605938.393687024, 1940950.0445462866 5605965.626509089)",0.0,41.53508784846128
20223,6777878,,N,,"LINESTRING (1913698.2214477886 5809321.02376426, 1913711.4068946624 5809328.6151601225, 1913746.890211233 5809332.350246078, 1913784.7635943266 5809325.691789256, 1913804.1924445229 5809328.570137435, 1913811.803282301 5809338.968760773)",0.0,121.87541875394004
19392,6776789,,N,,"LINESTRING (1783121.0231180983 5496713.4921445185, 1783174.4927729731 5496668.592476695, 1783183.4442217667 5496640.313186923, 1783183.4839159946 5496629.116612479)",0.0,110.67994099775485
22211,6798708,,N,,"LINESTRING (1783115.5272150117 5496651.031150873, 1783121.0231180983 5496713.4921445185)",0.0,62.70231796311233
23127,6808355,,N,,"LINESTRING (1783318.9438249283 5496866.620368125, 1783198.9120673146 5496835.983636511)",0.0,123.87991023499667
23124,6808352,,N,,"LINESTRING (1782918.1619290384 5496908.2358420985, 1782925.7531665703 5496885.123729684, 1782923.7734275311 5496862.014660363, 1782916.842952935 5496850.459944882, 1782904.6318097003 5496845.505739571, 1782884.1699405825 5496834.940716423)",0.0,97.20065253138507
23125,6808353,,N,,"LINESTRING (1783033.0202630023 5496910.879610483, 1782918.1619290384 5496908.2358420985)",0.0,114.88875659624769
22212,6798709,,N,,"LINESTRING (1783063.2219920987 5497142.060794401, 1783065.6229093708 5497109.557546932, 1783039.2892658887 5496992.428110945, 1783030.048640157 5496976.582879556, 1783006.6131023308 5496967.007853303, 1782976.5166911446 5496967.140277183, 1782937.9627720648 5496966.34234561, 1782924.4314658903 5496962.711561266, 1782915.5207520463 5496953.136982933, 1782912.550971169 5496927.384279518, 1782918.1619290384 5496908.2358420985)",0.0,337.9292449794751
22213,6798710,,N,,"MULTILINESTRING ((1783218.3379728403 5497141.765586749, 1783215.9631436174 5497145.650980943), (1783108.7806957697 5497321.009300013, 1783106.1025627647 5497325.390921365))",0.0,9.68896141538578
20893,6786792,,N,,"LINESTRING (1782802.867918929 5497333.712069225, 1782883.4858711446 5497347.312712982, 1782934.517858603 5497343.2105993, 1783013.8030045684 5497327.718220009, 1783106.1025627647 5497325.390921365)",0.0,306.0672168189691
22214,6798711,,N,,"LINESTRING (1783106.1025627647 5497325.390921365, 1783107.406358995 5497325.499147263)",0.0,1.3082803428351464
19308,6776672,,N,,"LINESTRING (1668832.6571975425 5636419.376764035, 1668851.7670516754 5636430.231298544)",0.0,21.977430341134603
19115,6771355,,N,,"LINESTRING (1668138.516106885 5637758.634931819, 1668181.4713374276 5637763.408777084)",0.0,43.21968798586875
19312,6776676,,N,,"LINESTRING (1667090.9004856506 5640236.662660855, 1667117.8242995404 5640243.767352407, 1667130.6781728335 5640244.096938902)",0.0,40.70353568976709
19313,6776677,,N,,"LINESTRING (1667043.0774430623 5640652.552334819, 1667067.0799844787 5640662.639505914, 1667103.3327634046 5640681.657357154, 1667107.6395210295 5640683.02291445)",0.0,71.49233772170925
21532,6787479,,N,,"LINESTRING (1702798.77606667 5683111.394776747, 1702791.7612737827 5683114.714755969, 1702780.415588813 5683117.410101664)",0.0,19.422223656103508
20686,6786497,Otuwhenua Stream,N,Otuwhenua Stream,"LINESTRING (1666615.5962099652 5641791.176675413, 1666575.0948119909 5641778.101801518)",0.0,42.55955316060525
21507,6787452,,N,,"LINESTRING (1668219.1808030033 5660709.932801391, 1668216.5708680805 5660711.667034465, 1668197.3887608005 5660726.647091025)",0.0,27.471931265126052
38568,6811856,,N,,"LINESTRING (1803427.4373672027 5903063.004613423, 1803415.0693742991 5903068.00490108)",0.0,13.340544408740596
36055,6803561,,N,,"LINESTRING (1826191.5859122025 5884130.874481714, 1826186.0584193491 5884107.653283499)",0.0,23.870006782384028
31337,6791804,,N,,"MULTILINESTRING ((1826003.9573748084 5884214.7409837665, 1825998.6386042302 5884200.238724421, 1826001.5605123322 5884182.707275816, 1826007.4043285325 5884160.500774257, 1826026.1045403723 5884136.5411278345, 1826042.467225735 5884122.515968955, 1826080.0562090008 5884110.212498001, 1826081.0415999575 5884110.173894101), (1826110.218884725 5884109.473581772, 1826128.3736657407 5884115.862008383, 1826172.771528221 5884134.282398134))",0.0,215.97797842034544
39413,6812617,,N,,"MULTILINESTRING ((1737339.7505125676 6056427.007995987, 1737334.8668420615 6056423.522395044), (1737334.2814196418 6056423.104564043, 1737322.0382910026 6056414.366329003))",0.0,21.04161151405978
35074,6793223,,N,,"LINESTRING (1634029.8568861745 6139763.329995219, 1634028.709402836 6139764.05304047)",0.0,1.3562862706091998
