,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface,geometry,affected_area,affected_length
32523,3241900,ALEXANDRA STREET,N,ALEXANDRA STREET,,1773758,2,,,sealed,"LINESTRING (1329473.712269884 4837619.841048411, 1329495.1826000009 4837623.215600001, 1329567.626500003 4837636.2236, 1329574.0677000005 4837636.788600001, 1329578.9268000005 4837636.9016, 1329582.4299000008 4837636.562600001, 1329586.2720000008 4837635.658600001, 1329589.6619000025 4837633.737600001)",0.0,118.02559104173622
33348,3293403,MARAMA STREET,N,MARAMA STREET,,1773844,2,,,sealed,"LINESTRING (1329461.4450000003 4837691.284500001, 1329467.2969000023 4837660.648200001, 1329471.897995721 4837625.124759172)",0.0,67.01035943872698
17216,100044841,KAKA POINT ROAD,N,KAKA POINT ROAD,,1774344,2,,,sealed,"LINESTRING (1352266.4067103125 4859687.959046348, 1352281.7279000003 4859681.0158, 1352300.5133000007 4859672.549099999, 1352319.497200001 4859664.1485, 1352350.2550999988 4859650.257899999, 1352363.1536000008 4859644.238599999, 1352373.207800001 4859638.748499999, 1352389.8765000002 4859629.091199999, 1352398.541699999 4859623.270299999, 1352406.5453000003 4859617.647899998, 1352413.7551999968 4859612.025499999, 1352422.023500001 4859605.344800001, 1352429.365700001 4859598.9286, 1352436.178700001 4859592.247899999, 1352443.190200001 4859584.905699998, 1352446.8562012427 4859580.746223185)",0.0,211.87057750119845
17212,3208510,,N,,,0,1,,,unmetalled,"LINESTRING (1356336.8045862673 4864304.152235143, 1356338.2065000003 4864302.311899998)",0.0,2.313481264116538
9253,3198196,COAST ROAD,N,COAST ROAD,,3068299,1,,,metalled,"MULTILINESTRING ((1366777.350026698 4871414.100843837, 1366783.3804655648 4871419.454971802), (1366796.3783548812 4871429.844446957, 1366800.3090733262 4871432.608233364, 1366803.4246079149 4871434.654256079))",0.0,16.596704486258268
30584,3240367,MULLET ROAD,N,MULLET ROAD,,1777931,1,,,metalled,"MULTILINESTRING ((1192858.1122978122 4855487.597642233, 1192860.042051875 4855490.7679524785, 1192869.679006489 4855501.832604073, 1192871.2885750872 4855504.64934912), (1192966.8176882782 4855544.33984066, 1192972.4731890429 4855546.805058942, 1192975.6278546653 4855547.878987664))",0.0,31.130542030509645
10977,3200954,MULLET ROAD,N,MULLET ROAD,,1777931,1,,,sealed,"LINESTRING (1193560.9781253352 4855715.174552168, 1193565.4662919845 4855715.806815875, 1193596.3411546042 4855717.561069433, 1193627.9707423537 4855716.406704917)",0.0,67.10778745861057
821,100044360,TAIERI MOUTH ROAD,N,TAIERI MOUTH ROAD,,3042979,2,,,sealed,"MULTILINESTRING ((1390221.0369563643 4906389.363769737, 1390222.0303231822 4906391.055860888, 1390224.9442999987 4906396.019499999, 1390230.897499999 4906404.883099998, 1390232.2512055372 4906406.808807595), (1390300.1623014493 4906477.763992569, 1390317.151800001 4906492.724899999, 1390320.3465139326 4906495.469659492, 1390320.7902378065 4906495.850887778))",0.0,48.18379400400525
4417,3269081,,N,,,0,1,,,metalled,"LINESTRING (1393310.0010426478 4908292.792352316, 1393313.8831000002 4908293.825099998, 1393319.9911000002 4908294.656399999, 1393339.005900003 4908295.052599998, 1393368.0232000006 4908293.864099999, 1393385.453399999 4908292.675699999, 1393405.1614000006 4908290.199799997, 1393425.2654999988 4908287.327799998, 1393429.9378000023 4908286.244599999, 1393434.4652000004 4908284.6614999985, 1393438.794399999 4908282.597099999, 1393442.874400001 4908280.075799999, 1393446.6571000023 4908277.127199998, 1393450.240699999 4908274.113199999, 1393453.2871000003 4908270.557099999, 1393455.7154999962 4908266.5535, 1393457.4614000004 4908262.2086000005, 1393458.4782999987 4908257.637799999, 1393458.7394000003 4908252.9626, 1393457.3955000006 4908244.528099999, 1393455.5111999987 4908236.197599999, 1393453.0944000008 4908228.005699997, 1393449.9014000008 4908220.475199998, 1393446.260999999 4908213.150399999, 1393443.6816000007 4908209.548099998, 1393440.6510000005 4908206.315999999, 1393437.221900003 4908203.510399998, 1393433.4537000023 4908201.179899999, 1393429.4119000006 4908199.364999998, 1393425.166500003 4908198.097099999, 1393411.6977000004 4908194.3338, 1393385.4662095502 4908185.883371458)",0.0,278.06923085540393
11456,3201702,SCROGGS HILL ROAD,N,SCROGGS HILL ROAD,,1841551,2,,,sealed,"MULTILINESTRING ((1393529.955978813 4908588.242242746, 1393530.9212000007 4908588.431499999, 1393532.7641000003 4908589.519799999, 1393534.1390000004 4908591.160099999, 1393534.8885000004 4908593.1648, 1393534.5362891338 4908598.5479411), (1393566.6642951234 4908670.835955508, 1393570.764800001 4908672.419499999))",0.0,17.19469395670623
147610,100044893,BRIGHTON ROAD,N,BRIGHTON ROAD,,3045023,2,,,sealed,"LINESTRING (1393636.2035350562 4908759.653975936, 1393629.598100935 4908744.410699991, 1393623.7772009345 4908735.891099995, 1393612.6647009347 4908722.185699991, 1393597.636400937 4908705.516899993, 1393582.2376009366 4908687.578099992, 1393570.764800937 4908672.419499992, 1393563.8755009342 4908661.542999992, 1393558.8484009346 4908649.901299993, 1393556.344900933 4908642.390699993, 1393554.479200935 4908634.696899992, 1393553.2641009362 4908626.873899993, 1393552.7084009368 4908618.976499991, 1393552.815800937 4908611.060399992, 1393553.781200937 4908603.729599993, 1393555.3364009364 4908596.500899993, 1393557.4711009366 4908589.421699992, 1393560.1713009365 4908582.538299993, 1393563.2375009367 4908573.9534999905, 1393565.9422009327 4908565.247999992, 1393568.2808009349 4908556.437099994, 1393568.2355009364 4908552.778199992, 1393567.6197009347 4908549.171199994, 1393566.448400937 4908545.7045999905, 1393564.7503009364 4908542.463299991, 1393562.5670009367 4908539.5268999925, 1393559.9522009343 4908536.967199989, 1393556.969800937 4908534.847099992, 1393552.6318009365 4908533.066699993, 1393548.0863009365 4908531.91479999, 1393543.4240009347 4908531.414299993, 1393538.7376009366 4908531.575099993, 1393534.120600935 4908532.394099993, 1393529.6648009382 4908533.854899992, 1393509.390415222 4908541.969724069)",0.0,307.32207082449224
147302,100044533,HARINGTON POINT ROAD,N,HARINGTON POINT ROAD,,3055440,2,,,sealed,"MULTILINESTRING ((1423343.2048427186 4926335.558979903, 1423354.1057492066 4926362.404495881, 1423360.7406782228 4926383.356903301, 1423367.0264004488 4926411.293446525, 1423369.2922161212 4926431.969014543), (1423345.9597567155 4926775.683116468, 1423345.2553752346 4926778.645130899), (1423329.4439990947 4926849.25714739, 1423327.7165355515 4926857.233964341))",0.0,111.59281737461151
39963,3244242,SPIT ROAD,N,SPIT ROAD,,3037677,1,,,metalled,"LINESTRING (1422017.236157461 4927662.028527578, 1421975.0436851727 4927681.229892211, 1421945.9889886864 4927696.388864291, 1421879.289511539 4927729.991252401, 1421850.2348150508 4927751.466462847, 1421850.1387458912 4927751.532005358)",0.0,190.0593540819611
4292,3224260,MOANA STREET,N,MOANA STREET,,1773018,1,,,sealed,"LINESTRING (1421812.2694208866 4927937.411261153, 1421806.1256060004 4927928.3355290005, 1421783.9607770005 4927907.179835001, 1421748.2544573909 4927891.457821751, 1421747.4388150573 4927891.299751531)",0.0,81.44547391917776
29334,3209318,MATANAKA DRIVE,N,MATANAKA DRIVE,,1775130,2,,,sealed,"LINESTRING (1419067.0124000004 4946482.565200001, 1419044.3603000008 4946467.463800001, 1418988.655600001 4946433.7575, 1418970.7492000023 4946423.3188000005, 1418897.5174000002 4946378.3519, 1418828.7019999987 4946336.677200001, 1418795.8078656173 4946317.104192887)",0.0,317.72333051915103
29335,6749142,,N,,,0,1,,,metalled,"LINESTRING (1419067.0124000004 4946482.565200001, 1419057.045779791 4946499.333253662)",0.0,19.50643847502279
41584,3269798,MATANAKA DRIVE,N,MATANAKA DRIVE,,1775130,1,,,metalled,"LINESTRING (1419189.2302964712 4946554.034310734, 1419186.9109000005 4946552.797300001, 1419149.8593000006 4946530.2793000005, 1419098.094800001 4946499.417900001, 1419067.0124000004 4946482.565200001)",0.0,141.6094018550318
148120,100045529,MATANAKA ROAD,N,MATANAKA ROAD,,1773052,1,,,metalled,"MULTILINESTRING ((1419397.864164621 4946641.145510676, 1419407.700699999 4946639.9532, 1419422.7689000005 4946638.697500001, 1419432.356900001 4946637.4191000005, 1419438.9656999987 4946637.3577000005, 1419445.257654506 4946638.026712616), (1419494.1579540083 4946628.714654182, 1419494.232900001 4946628.647100001, 1419497.7561000008 4946624.8458, 1419501.4619000023 4946621.411700001, 1419505.5330000026 4946618.419600001, 1419509.9170000004 4946615.9083, 1419514.5573000023 4946613.91, 1419519.394200001 4946612.4505, 1419529.004200003 4946611.837300001, 1419538.6317000026 4946611.639, 1419580.8054999989 4946610.5343, 1419624.754400001 4946608.919900001, 1419673.7260000007 4946606.587900001, 1419724.132700001 4946606.587900001, 1419761.2306349664 4946607.387874253))",0.0,320.15002525861496
617,3197523,HAMPDEN-PALMERSTON ROAD,N,HAMPDEN-PALMERSTON ROAD,1,3030001,2,,,sealed,"LINESTRING (1428678.9583357559 4964089.162433956, 1428679.247299999 4964086.048800001, 1428681.9003000008 4964064.093400001, 1428685.0020000003 4964038.4237, 1428686.97844135 4964017.8829455525)",0.0,71.73415638125104
43407,3295937,,N,,,0,1,,,metalled,"LINESTRING (1430642.0073499763 4974711.070816691, 1430642.028002497 4974711.024496547)",0.0,0.050715701312725764
11574,3201870,BEACH ROAD,N,BEACH ROAD,,1770058,2,,,sealed,"LINESTRING (1436362.5353725553 4997478.325959857, 1436368.361200001 4997498.220599999, 1436374.484610934 4997519.131123039)",0.0,42.518768093363086
40139,3222144,BEACH ROAD,N,BEACH ROAD,,1770058,1,,,sealed,"LINESTRING (1437052.0135000004 4998372.9582, 1437068.9469000008 4998392.801999998, 1437087.4677000009 4998415.1594, 1437100.035500003 4998430.769799999, 1437109.428200001 4998442.0145999985, 1437137.4741000002 4998477.6012, 1437156.921000001 4998499.164699999, 1437176.1033000005 4998523.374199999, 1437186.5543999989 4998533.163799998, 1437192.242899999 4998538.3232, 1437200.577300001 4998545.069999998, 1437212.0867000008 4998554.3305, 1437224.1253000023 4998565.3107, 1437231.5336000007 4998574.438799999, 1437237.089900001 4998582.111800001, 1437248.5993000008 4998597.193099999, 1437278.2327000005 4998636.351499999, 1437330.091099999 4998702.2329, 1437372.160000003 4998752.768399999, 1437408.4080000008 4998797.879900001, 1437421.292231589 4998815.379447067)",0.0,577.342102538169
11765,3201904,BEACH ROAD,N,BEACH ROAD,,1770058,2,,,sealed,"MULTILINESTRING ((1438164.3438572278 4999664.312376502, 1438159.239725897 4999659.090450333), (1437847.6313820772 4999318.7733655255, 1437836.4249441908 4999305.3033742225))",0.0,24.824226815652594
40260,3244574,WEAVER STREET,N,WEAVER STREET,,1770249,2,,,sealed,"LINESTRING (1441236.467803782 5005252.491755597, 1441248.9532000003 5005244.929799998)",0.0,14.596858950121765
43543,7788490,FOYLE STREET,N,FOYLE STREET,,1770298,1,,,sealed,"LINESTRING (1441409.9750055224 5005437.633572554, 1441381.9400575561 5005455.315422995)",0.0,33.14522804989873
43544,7788492,CALEDONIAN ROAD,N,CALEDONIAN ROAD,,1770230,1,,,sealed,"MULTILINESTRING ((1441676.308100793 5005820.068853083, 1441683.4495534857 5005815.675965188), (1441686.6244595854 5005813.723000269, 1441715.992300001 5005795.658099999))",0.0,42.86351283501516
18350,3209451,WORKS ROAD,N,WORKS ROAD,,1770837,1,,,metalled,"LINESTRING (1446723.585000001 5010688.821900001, 1446716.7639000006 5010688.594500002, 1446673.0990524855 5010688.369872446)",0.0,50.49031474107916
40363,3270110,,N,,,0,1,,,unmetalled,"LINESTRING (1447830.5668239836 5011995.784100879, 1447830.9070000006 5011993.536000002, 1447833.6038000025 5011979.398199999, 1447834.257500003 5011972.7788, 1447834.9113000007 5011963.2992, 1447836.2188000008 5011940.090400001, 1447837.6898000007 5011914.920300002, 1447839.978000001 5011887.543800001, 1447840.958700003 5011863.517800002, 1447841.9887000006 5011846.227700001, 1447841.6941000046 5011837.694, 1447840.8769000005 5011834.343400001, 1447839.2425000025 5011830.339100002, 1447837.036000003 5011827.233700003, 1447833.440299999 5011823.4745000005, 1447829.190799999 5011820.123900001, 1447820.0381000005 5011815.220700002)",0.0,191.23642154626674
40391,3244624,KAIK ROAD,N,KAIK ROAD,,1770667,1,,,metalled,"LINESTRING (1453327.349701863 5021365.581170746, 1453334.1826000009 5021366.1247000005)",0.0,6.854481819416899
43858,3296300,BULWER TERRACE,N,BULWER TERRACE,,1783585,1,,,metalled,"LINESTRING (1456465.2010000022 5067765.774900001, 1456459.077792917 5067766.26137298)",0.0,6.142501198123696
29801,3224556,,N,,,0,1,,,unmetalled,"MULTILINESTRING ((1458539.3807000006 5072039.2623000005, 1458537.474700001 5072030.4948, 1458533.9169000005 5072020.837800001, 1458526.8012000024 5072007.4959, 1458495.288900001 5071947.012700001, 1458463.522500001 5071885.767100001, 1458425.275799999 5071811.1796, 1458381.057000001 5071724.901999999, 1458351.7447992433 5071668.792907186), (1458338.5068005796 5071643.477741686, 1458335.2461015435 5071637.2561708875), (1458330.6988807754 5071628.579854665, 1458320.446700003 5071609.018200001, 1458313.634399999 5071597.6166, 1458309.8158079255 5071591.225559168), (1458300.7140875102 5071574.705194598, 1458290.4187866615 5071555.744653226), (1458267.8567192545 5071514.395660524, 1458252.0353407098 5071485.578155956), (1458183.8312141695 5071363.84650575, 1458183.724100003 5071363.6545, 1458171.652900001 5071344.0864, 1458144.206700001 5071291.862500001, 1458124.7657000022 5071259.842, 1458114.2598435518 5071243.045560574))",0.0,659.4204278939576
18513,3209618,THE AVENUE,N,THE AVENUE,,3055884,2,,,sealed,"LINESTRING (1458539.3807000006 5072039.2623000005, 1458539.3807000006 5072045.488500001, 1458538.7788489938 5072051.657635642)",0.0,12.424623928701365
29986,3222452,SOUTH STREET,N,SOUTH STREET,,1781784,2,,,sealed,"LINESTRING (1461811.774500003 5080552.617500001, 1461818.0111000007 5080580.1901, 1461822.3877000008 5080597.1494, 1461824.794900001 5080606.777900001, 1461827.5825000005 5080643.1472000005, 1461831.6711000009 5080677.1818, 1461838.8537000008 5080713.094899999, 1461850.2628000006 5080763.066400001, 1461853.7738000005 5080780.087200001, 1461853.926500001 5080785.659000001, 1461853.5448000003 5080789.7806, 1461852.628899999 5080792.757300001, 1461851.0260999985 5080795.3524, 1461848.5073000006 5080797.7185, 1461848.286099799 5080797.845573112, 1461845.279788615 5080799.572611856)",0.0,254.78073019884067
148148,100045557,HAAST-JACKSON BAY ROAD,N,HAAST-JACKSON BAY ROAD,,3054556,2,,,sealed,"MULTILINESTRING ((1251038.887042979 5119282.724761449, 1251025.2957871964 5119286.587539408), (1251013.9027721838 5119289.825554201, 1250998.4873531843 5119294.206778549, 1250921.3326493846 5119316.368236023, 1250883.5760922069 5119327.859362121, 1250838.6375812162 5119340.581680301, 1250808.0629778504 5119347.968832793, 1250778.719566565 5119352.278005078, 1250775.3507137855 5119352.667789698), (1248202.1943087718 5121603.499430621, 1248201.218943105 5121605.56471369, 1248197.9357642205 5121612.3362701405))",0.0,270.914340888616
148524,100046137,,N,,,0,1,,,metalled,"LINESTRING (1251941.3246683415 5119338.706836759, 1251946.8452942502 5119350.241375753, 1251948.231260701 5119349.438974124, 1251958.636033062 5119343.4151585465)",0.0,26.4118049943836
148523,100121083,,N,,,0,1,,,metalled,"MULTILINESTRING ((1251948.231260701 5119349.438974124, 1251948.543653001 5119350.183238999, 1251961.1505612005 5119358.384373862, 1251976.1160712382 5119361.90567034, 1252000.000000001 5119371.086446749, 1252016.5244900845 5119374.081191792, 1252029.1396133304 5119376.329995168, 1252035.106946935 5119376.702201504, 1252053.4466568204 5119376.317158037, 1252065.4085711343 5119375.514520789, 1252076.3386966048 5119374.558258719), (1252120.0533568044 5119377.895928575, 1252125.654717953 5119381.137626867, 1252132.8201191863 5119384.982137371, 1252142.4977027262 5119389.663737212, 1252150.9328186642 5119393.153267425, 1252158.0941968402 5119396.02255131, 1252167.603360407 5119400.637587773, 1252174.5932830228 5119404.334854235))",0.0,194.37428454591048
42273,3270282,THE ESPLANADE,N,THE ESPLANADE,,1790473,2,,,sealed,"LINESTRING (1248197.9357642205 5121612.3362701405, 1248197.8325466132 5121612.593260919)",0.0,0.2769442806425274
43874,3297002,,N,,,0,1,,,unmetalled,"LINESTRING (1266583.7721018763 5125296.674091889, 1266586.162090406 5125295.032978668)",0.0,2.8991891582711986
8878,3197463,HAAST-JACKSON BAY ROAD,N,HAAST-JACKSON BAY ROAD,,3054556,2,,,sealed,"MULTILINESTRING ((1270076.2108041563 5129685.111840278, 1270081.0841807334 5129691.824226883), (1270089.9597360587 5129704.049048368, 1270090.4102324368 5129704.669543379, 1270101.5858112783 5129719.325236686))",0.0,27.492208933764395
43875,3297003,,N,,,0,1,,,unmetalled,"LINESTRING (1268793.312299503 5128698.556845915, 1268793.458715211 5128698.440859968)",0.0,0.1867894519376596
42278,7929039,JOHNSTON CRESCENT,N,JOHNSTON CRESCENT,,1790426,1,,,metalled,"LINESTRING (1272099.883431669 5131493.274481424, 1272107.028968189 5131497.485030155, 1272131.398311643 5131510.932510386, 1272144.018957723 5131517.360068953, 1272155.919569633 5131523.259405833, 1272176.4776047142 5131533.720928573)",0.0,86.63972405600082
40748,3245473,JOHNSTON CRESCENT,N,JOHNSTON CRESCENT,,1790426,1,,,sealed,"LINESTRING (1272176.4776047142 5131533.720928573, 1272206.7517424773 5131549.292055642)",0.0,34.04384548640469
4573,3270994,ANDERSON LANE,N,ANDERSON LANE,,1841915,1,,,metalled,"LINESTRING (1272393.7394357473 5131674.457484836, 1272386.8732993826 5131686.506306095, 1272369.3559011007 5131718.210482981, 1272365.1120149987 5131723.153583487, 1272361.455269985 5131725.733186991, 1272356.6524069123 5131726.952096347, 1272351.3563117664 5131727.327178583, 1272346.3719327068 5131725.912194781, 1272283.9360557068 5131691.293108807, 1272239.7219323805 5131667.52144682, 1272192.9467875343 5131644.764963089)",0.0,250.13320656560154
147321,100044549,HAAST-JACKSON BAY ROAD,N,HAAST-JACKSON BAY ROAD,,3054556,2,,,sealed,"MULTILINESTRING ((1275834.5569292 5133445.330578215, 1275800.4331813427 5133429.090908526, 1275761.315878177 5133410.3704428, 1275709.3031830043 5133385.462954971, 1275658.0230609989 5133361.141525678, 1275610.405804853 5133338.285242729, 1275566.4514145665 5133317.333650023, 1275516.0503803687 5133293.158735365, 1275462.8655681182 5133267.665188997, 1275450.2958690233 5133261.56410698), (1275129.085791665 5133106.7994293505, 1275102.0000238502 5133093.1662595505, 1275061.2689555148 5133072.361181479, 1275003.835218871 5133042.765225351, 1274935.998943193 5133008.041257023, 1274890.0245917651 5132984.261420079), (1274700.8223830683 5132887.804187766, 1274683.9937722022 5132879.254893477, 1274631.834562393 5132852.735744668, 1274574.8403696548 5132823.286303177, 1274515.0623988602 5132792.371715341, 1274465.6869671028 5132767.024683605, 1274411.6230670465 5132739.47993236, 1274360.6359743122 5132713.2538128225, 1274323.4212572025 5132694.2069103625, 1274282.3971595988 5132673.1088030245, 1274235.2194473548 5132649.080403001, 1274184.5253838887 5132623.147312729, 1274184.3108388716 5132623.038617508))",0.0,1275.0008751821579
30021,3209773,AORANGI ROAD,N,AORANGI ROAD,,1781465,1,,,sealed,"LINESTRING (1461703.1703386616 5087838.249023144, 1461761.3035729947 5087803.088564331)",0.0,67.93916983587182
15030,3222465,BEACH ROAD,N,BEACH ROAD,,1786403,1,,,metalled,"LINESTRING (1465725.380023959 5092719.320181007, 1465649.5611752402 5092736.31536087, 1465618.764421226 5092742.894408896)",0.0,109.19193146724035
44366,3224693,CONNOLLY ROAD,N,CONNOLLY ROAD,,1837141,1,,,metalled,"LINESTRING (1467278.218175316 5094644.009866315, 1467362.048785001 5094625.964708)",0.0,85.7507950911363
15714,6160092,WHITE ROAD,N,WHITE ROAD,,1786463,1,,,metalled,"LINESTRING (1471302.9778318228 5098440.523068607, 1471285.102809433 5098454.485039499, 1471270.787936329 5098465.690659654, 1471251.843641865 5098479.102914141, 1471244.3501297543 5098484.723048225, 1471237.9636137504 5098489.49164684, 1471233.3698201114 5098492.010823997)",0.0,86.6487106544478
18749,6160093,MACAULAY ROAD,N,MACAULAY ROAD,,1781265,1,,,metalled,"LINESTRING (1471481.2657005046 5098729.66681723, 1471506.894918383 5098678.256187519, 1471512.6362903966 5098666.6356837945, 1471523.2364248168 5098645.2631245665)",0.0,94.26314742988967
9604,6159967,OCEAN VIEW ROAD,N,OCEAN VIEW ROAD,,1791822,1,,,metalled,"MULTILINESTRING ((1488995.6322150326 5112548.06991163, 1488981.137490457 5112527.683131003, 1488976.0349556264 5112520.730439167, 1488969.3500820566 5112513.85850066, 1488964.3672888028 5112509.527603626, 1488960.615404563 5112506.266576427, 1488960.0903269602 5112505.885452715, 1488948.8281645067 5112497.710894947, 1488948.2288755067 5112497.275905435, 1488937.9409329165 5112490.550196201, 1488928.2821098166 5112485.548761536, 1488914.6061699288 5112479.405905613, 1488871.0478290068 5112459.398290186, 1488811.7695900525 5112432.967064292), (1487379.5550766506 5111404.757141685, 1487363.2427358646 5111382.596250511, 1487315.564930711 5111318.169309011, 1487315.140846787 5111317.6652092505, 1487311.3570325244 5111313.16746777, 1487310.8701111544 5111312.588674443, 1487305.673141105 5111306.411144009, 1487300.5707230484 5111300.828057663, 1487294.361938227 5111295.480205882, 1487284.8304016283 5111288.633315593, 1487273.4388815584 5111281.991287237, 1487241.4040073007 5111264.062357719, 1487224.5912360363 5111254.786905407, 1487212.1620893646 5111247.409474218, 1487204.7225187523 5111242.010538194, 1487197.111319135 5111234.508649472, 1487190.2950804587 5111226.486481046, 1487180.1343296329 5111214.183124331, 1487131.9375638664 5111151.311513728, 1487118.825852503 5111135.744817442, 1487107.732915067 5111126.477215365, 1487095.526044757 5111119.133402423, 1487076.103349287 5111109.9433100745, 1487022.8866037242 5111087.772231396, 1486869.7308332336 5111024.907739931))",0.0,874.5097907427282
45234,6160979,,N,,,0,1,,,unmetalled,"LINESTRING (1488866.679872687 5112468.072094679, 1488871.0478290068 5112459.398290186)",0.0,9.711535758534419
