,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface,geometry,affected_area,affected_length
130771,3322133,THE ESPLANADE,N,THE ESPLANADE,,1831754,2,,,sealed,"LINESTRING (1779517.7463467934 5926614.7565135, 1779519.3589217402 5926614.523914222)",0.0,1.6292637549743316
137887,3322139,THE ESPLANADE,N,THE ESPLANADE,,1831754,2,,,sealed,"LINESTRING (1779397.949659547 5926616.409408103, 1779396.7597000003 5926615.609599999, 1779393.9027000004 5926614.2431999985, 1779391.169999999 5926613.2909, 1779387.112300001 5926612.2558, 1779380.9015000006 5926611.137799999, 1779356.7054720186 5926607.953248255)",0.0,42.39754721922884
124807,3289339,BEACH PARADE,N,BEACH PARADE,,1825724,2,,,sealed,"MULTILINESTRING ((1779514.1373360502 5927346.816151514, 1779510.7027588873 5927349.985404407), (1779482.0268825018 5927377.387344427, 1779480.7847000007 5927378.5727, 1779474.7200765416 5927384.069591703))",0.0,14.575455700065584
124806,3262950,WAIKARE ROAD,N,WAIKARE ROAD,,1825647,2,,,sealed,"LINESTRING (1779190.3420544174 5927664.844308672, 1779188.7654000008 5927668.785899999, 1779184.434600003 5927678.903899998, 1779181.6520159189 5927686.480646393)",0.0,23.322673015815326
27213,3220827,COLAC FORESHORE ROAD,N,COLAC FORESHORE ROAD,,1777963,1,,,metalled,"MULTILINESTRING ((1206488.8079619927 4851392.244320846, 1206487.6349000009 4851392.826300001, 1206467.4190000007 4851404.183600001, 1206455.9482000005 4851411.9065000005, 1206443.3520841068 4851420.010301893, 1206439.7073000008 4851422.355200001, 1206431.8449000008 4851427.794000001, 1206424.6022000005 4851432.803800001, 1206411.3865684122 4851445.636389357), (1206297.1405740015 4851566.796731463, 1206291.7223000005 4851572.157300001, 1206270.0300000003 4851589.874600001, 1206268.1126921917 4851591.485780351), (1206245.9229723678 4851610.132572689, 1206242.9997000005 4851612.5891, 1206222.5567000005 4851628.4893000005, 1206202.3408000004 4851644.843700001, 1206183.9420000007 4851658.3589, 1206166.7926000003 4851673.123300001, 1206149.8703000005 4851688.2284, 1206133.2887000004 4851705.605, 1206125.3020338425 4851715.792105666, 1206122.1586000007 4851719.801600001, 1206109.527553731 4851738.623052031), (1206081.3567894134 4851777.364192385, 1206081.0453000003 4851777.7236, 1206075.366700001 4851782.266500001, 1206070.4831000008 4851785.446500001, 1206063.782300001 4851788.853700001, 1206063.7274212844 4851788.8803769685))",0.0,342.29984442239413
16805,3208083,COLAC FORESHORE ROAD,N,COLAC FORESHORE ROAD,,1777963,2,,,sealed,"LINESTRING (1206953.9476555383 4853094.708615886, 1206954.4755000006 4853095.0678, 1207032.1371000009 4853144.6643, 1207058.7330976566 4853160.732739544)",0.0,123.85899585289044
31956,3266856,PRINCESS STREET,N,PRINCESS STREET,,1777974,1,,,metalled,"LINESTRING (1217348.5217000004 4854379.675600001, 1217346.001504255 4854382.631026394)",0.0,3.8840612456568913
32521,3241901,CROSS STREET,N,CROSS STREET,,1773891,1,,,metalled,"LINESTRING (1329680.472000001 4837317.279000001, 1329684.6471000006 4837316.831700001, 1329688.6731000002 4837316.980800001, 1329692.4008000009 4837318.0246, 1329696.7250000006 4837320.1121000005, 1329700.303700001 4837323.094300001, 1329702.9877000023 4837326.3747000005, 1329713.8727000002 4837342.478600001, 1329724.757700001 4837358.7316000005, 1329739.5196000002 4837377.0722, 1329748.4609000003 4837389.6067, 1329755.4744000006 4837399.438700001, 1329768.2979000006 4837416.5864, 1329773.8150000004 4837424.638300001, 1329779.9285000004 4837432.988500001, 1329785.445600003 4837440.5931, 1329788.7260000007 4837446.110200001, 1329790.068000001 4837450.285300001, 1329790.217100001 4837455.0568, 1329789.471500001 4837458.933700001, 1329788.1296000006 4837462.3632000005, 1329785.296500001 4837467.1347, 1329744.5580580523 4837512.319497999)",0.0,256.3266476152922
31324,3241899,CROSS STREET,N,CROSS STREET,,1773891,1,,,metalled,"LINESTRING (1329495.1826000009 4837623.215600001, 1329508.3989000022 4837605.807200001, 1329514.5124000022 4837597.1588, 1329523.4591000006 4837583.888, 1329538.519200001 4837561.074100001, 1329553.132000003 4837539.0058, 1329561.6312999986 4837526.7788, 1329568.4903000006 4837516.788400001, 1329573.1127000004 4837508.140000001, 1329585.787100003 4837485.027900001, 1329606.5134000005 4837447.4522, 1329620.9771000007 4837422.4017, 1329629.327299999 4837406.745100001, 1329652.2901999988 4837360.521000001, 1329662.2806000002 4837339.9438000005, 1329666.3065999988 4837331.8918, 1329670.6308000004 4837325.0328, 1329674.060299999 4837321.155900001, 1329677.3407000005 4837318.621, 1329680.472000001 4837317.279000001)",0.0,359.3419192710536
32522,3267321,MIRREN STREET,N,MIRREN STREET,,1773794,2,,,sealed,"LINESTRING (1329589.6619000025 4837633.737600001, 1329594.069000001 4837630.573500001, 1329598.2501000026 4837626.1664, 1329602.2052000007 4837620.4032000005, 1329624.8057999983 4837586.276400001, 1329674.9790000003 4837503.332400001, 1329713.5129000004 4837441.180900001, 1329748.4609000003 4837389.6067)",0.0,291.78790798806324
