,t50_fid,name_ascii,macronated,name,geometry,affected_area,affected_length
75,4915887,Westport Airport,N,Westport Airport,"MULTIPOLYGON (((1481187.3857743144 5378052.137981737, 1481209.083933087 5378071.97629833, 1481271.6986198286 5378127.151616353, 1481345.4723596545 5378187.906460917, 1481420.8051100124 5378251.185971219, 1481419.0594177656 5378247.333120602, 1481412.2977572242 5378239.861640534, 1481405.1935781245 5378232.787336235, 1481397.7915600361 5378226.058389645, 1481390.4657494542 5378219.241092326, 1481383.2762696047 5378212.265700597, 1481375.9307322237 5378205.471260351, 1481369.5099811447 5378197.604479225, 1481362.3379295825 5378190.608878099, 1481354.3674200627 5378184.539139484, 1481346.6130325529 5378178.218809187, 1481340.3621290803 5378170.15506827, 1481334.1361943083 5378161.632344272, 1481326.8523609522 5378154.765215796, 1481318.3988723077 5378149.258940208, 1481309.653830299 5378144.091873759, 1481301.1714789716 5378138.619176812, 1481292.6962759118 5378133.138163128, 1481284.1978138261 5378127.6842016, 1481276.1191622333 5378121.741815586, 1481268.7373485055 5378114.988692378, 1481262.687295234 5378106.686112116, 1481255.917721577 5378099.220664247, 1481248.222531934 5378092.832134965, 1481239.1590016144 5378087.035315488, 1481229.766798963 5378082.638036291, 1481221.5686460969 5378076.84032452, 1481214.5013800415 5378069.716276561, 1481207.2511599306 5378062.806791795, 1481200.5087249046 5378055.301760429, 1481193.4541983614 5378048.162758502, 1481186.0900397399 5378041.386900121, 1481183.6537331354 5378039.506457746, 1481187.3857743144 5378052.137981737)), ((1481514.0980506847 5378336.693835359, 1481516.9758028241 5378339.000118989, 1481514.2759334242 5378336.110532426, 1481506.778473752 5378329.492423199, 1481499.4213692732 5378322.71186583, 1481492.2905479544 5378315.669408435, 1481482.2315387134 5378303.62874775, 1481475.1445341397 5378296.484513264, 1481467.8705585573 5378289.572729226, 1481460.2033278914 5378283.149855083, 1481452.5610137854 5378276.69600543, 1481444.9935712044 5378270.14907226, 1481437.0481139072 5378264.072103346, 1481429.9544061518 5378259.4190597655, 1481514.0980506847 5378336.693835359)))",2619.2894429882945,876.8582158494305
32,4915889,Nelson Airport,N,Nelson Airport,"MULTIPOLYGON (((1618685.1003906028 5427625.069951682, 1618665.3769761408 5427626.720466617, 1618644.0236362126 5427620.143791823, 1618624.2999452269 5427616.855941464, 1618596.3691424448 5427616.857444499, 1618565.149979215 5427626.725858123, 1618529.0024405327 5427636.58453928, 1618492.8541642549 5427633.2975735, 1618450.137684227 5427623.443137953, 1618407.411209111 5427613.578708305, 1618371.262753847 5427607.012832768, 1618335.114855675 5427610.29369425, 1618300.6062339824 5427610.295554459, 1618254.601498737 5427611.947487842, 1618218.453700291 5427616.877802281, 1618187.2339996742 5427616.879485815, 1618152.725478949 5427618.530799652, 1618105.0812021503 5427618.5333697265, 1618054.5888399342 5427635.710391757, 1618003.5973936468 5427666.103048748, 1617976.006917689 5427673.402111523, 1617950.8167795967 5427700.69440182, 1617945.5205043145 5427735.683061813, 1617932.7167021148 5427770.572157254, 1617940.0255607404 5427793.164257512, 1617954.9214897146 5427808.258442575, 1617989.810825061 5427823.551490363, 1618062.177941515 5427841.64160379, 1618127.1570764268 5427852.134640724, 1618257.1149425702 5427865.623212788, 1618269.5215552766 5427878.218371775, 1618276.9202400548 5427898.311311904, 1618286.8172603203 5427903.409092673, 1618314.3084820388 5427908.605901827, 1618336.5925407885 5427933.79635997, 1618369.0822549127 5427941.4920766605, 1618386.4873638125 5427956.686112429, 1618436.064245265 5428014.564290903, 1618541.812186158 5428154.552569314, 1618551.9927882587 5428149.853829853, 1618542.917981399 5428139.334653567, 1618536.0858121817 5428131.726166899, 1618521.4137682372 5428115.867655815, 1618514.3846645423 5428108.721310842, 1618511.1975744595 5428105.73344913, 1618504.0900872436 5428098.638329286, 1618497.4213709314 5428091.178148418, 1618491.0758212174 5428083.449096543, 1618485.087322034 5428075.422975023, 1618482.2972353618 5428071.621172984, 1618499.7591041168 5428073.1064916765, 1618509.7638191062 5428072.676867368, 1618519.772819948 5428071.805517804, 1618557.3130738076 5428071.113513418, 1618567.3066771845 5428070.741223922, 1618577.2854622772 5428070.057745496, 1618587.2513043731 5428069.102474524, 1618602.7531946446 5428067.548345181, 1618612.71621216 5428066.628605083, 1618622.7166822103 5428066.340129289, 1618632.7171080902 5428066.051656171, 1618626.981442766 5428066.9388892865, 1618636.996489577 5428067.379111124, 1618647.01457286 5428067.934713093, 1618657.0407801713 5428068.79904133, 1618719.6109301965 5428064.480963173, 1618729.6715723665 5428064.2469947515, 1618739.7162118915 5428063.895667741, 1618769.9294515622 5428060.016960843, 1618779.8022305735 5428058.41796281, 1618703.1671623231 5427631.451056541, 1618685.1003906028 5427625.069951682)), ((1618544.8472945066 5428175.505298891, 1618542.713553529 5428182.828450665, 1618562.3451057358 5428179.808212077, 1618562.1287906326 5428173.479726143, 1618544.75661759 5428174.720595616, 1618544.8472945066 5428175.505298891)), ((1618529.5442562783 5428210.394598215, 1618491.7684799945 5428242.585969521, 1618461.6790788025 5428254.883496976, 1618459.682584643 5428254.867630194, 1618479.4336506526 5428288.726600301, 1618492.9901915432 5428275.1302391505, 1618500.305694292 5428268.312357746, 1618507.441671844 5428261.301486756, 1618514.3541817835 5428254.050390016, 1618524.2314202879 5428244.010314642, 1618531.5605322483 5428237.13110018, 1618538.7075747144 5428230.093659114, 1618554.046482219 5428213.4226093525, 1618533.2028648637 5428204.15877977, 1618529.5442562783 5428210.394598215)), ((1618399.199662719 5428254.386952907, 1618291.7343971943 5428241.097007691, 1618242.460757969 5428242.8090417385, 1618199.0260827849 5428260.665432588, 1618195.987138641 5428261.615278963, 1618173.595611331 5428281.199986628, 1618171.3964438345 5428283.1294647865, 1618161.270894521 5428303.243349639, 1618160.9010573607 5428303.983124578, 1618145.8282653745 5428344.540510361, 1618145.678339065 5428344.980372828, 1618142.339984417 5428354.8572830185, 1618142.1701316591 5428356.516743311, 1618141.8034605547 5428360.047836114, 1618164.9934143857 5428362.323848248, 1618171.809339709 5428325.323114914, 1618271.6406270876 5428279.247135831, 1618275.731473768 5428279.915680667, 1618285.633982728 5428281.361213949, 1618295.4366549763 5428283.742059438, 1618305.3291927096 5428285.281007355, 1618315.3415515579 5428285.697439639, 1618325.1438103255 5428288.082139939, 1618330.334809523 5428289.036531955, 1618340.379198288 5428289.892647959, 1618350.448549205 5428290.632655591, 1618360.308091377 5428292.348720089, 1618381.722438143 5428296.373762709, 1618391.9184601358 5428299.358889268, 1618398.1862966712 5428301.115379191, 1618407.9065018191 5428298.761198084, 1618423.7518707898 5428301.65337076, 1618433.709745462 5428302.575082377, 1618456.62179411 5428308.836442566, 1618448.4620986637 5428254.778457372, 1618399.199662719 5428254.386952907), (1618406.0854908708 5428298.428818439, 1618408.227505702 5428298.68345268, 1618407.9065018191 5428298.761198084, 1618406.0854908708 5428298.428818439)), ((1618133.867291931 5428437.040555491, 1618219.8707160503 5428470.624946765, 1618361.927960583 5428546.792357375, 1618416.6019739583 5428584.67699666, 1618421.956351417 5428589.052315452, 1618431.8603988725 5428565.667759485, 1618422.8964421041 5428561.191189962, 1618413.1309529247 5428558.607133189, 1618403.5523426197 5428555.581834593, 1618402.9512366417 5428554.125156929, 1618396.1738361372 5428546.110212627, 1618387.0844653049 5428541.781928597, 1618378.8990659632 5428536.012175138, 1618370.1319334074 5428529.888396606, 1618360.7361084663 5428526.086084063, 1618351.0537628953 5428522.752633498, 1618342.281765266 5428517.929512893, 1618331.5169014595 5428516.367455511, 1618323.1735646077 5428510.842894227, 1618315.7650413583 5428503.788639186, 1618307.6604987083 5428498.813315019, 1618299.3282460647 5428493.276550605, 1618290.457903302 5428488.6022006525, 1618283.1175813905 5428481.475625529, 1618278.1083784385 5428470.612874199, 1618269.629495987 5428465.311115262, 1618259.3059475692 5428462.965875674, 1618244.931725964 5428460.087490135, 1618233.570057738 5428460.171245515, 1618224.1280540293 5428456.632407615, 1618215.2511186833 5428452.0272321, 1618204.7747336742 5428450.440376117, 1618193.81187955 5428449.771526937, 1618183.8314561534 5428447.248739638, 1618169.611809048 5428440.120557338, 1618160.7338836226 5428435.152009168, 1618151.6436929987 5428430.813066343, 1618141.7647935562 5428428.813519578, 1618135.3296417578 5428422.851336946, 1618133.867291931 5428437.040555491)), ((1618530.979300337 5428678.140199303, 1618583.054980861 5428731.02005217, 1618649.8478361964 5428821.586725272, 1618715.1799854925 5428890.290703129, 1618716.353025641 5428889.4669517875, 1618712.8548124596 5428883.274065367, 1618707.1788614113 5428875.027380842, 1618702.4749463468 5428866.041552807, 1618698.250878776 5428856.690844823, 1618693.5435117346 5428848.71003744, 1618692.6586684387 5428836.957630634, 1618694.4107104617 5428823.271207124, 1618682.3345826173 5428819.727023147, 1618678.1957050485 5428810.246424203, 1618671.8121493398 5428802.52820521, 1618666.936135081 5428793.700471576, 1618661.4506938295 5428785.321261711, 1618643.8404088125 5428779.206374352, 1618637.731636413 5428771.233427427, 1618635.2692162094 5428759.880006466, 1618629.2037271757 5428751.866933973, 1618617.9479740665 5428748.66566761, 1618611.1050589676 5428741.3733315645, 1618602.7679462752 5428735.466239728, 1618597.501227816 5428732.717040662, 1618592.0277785056 5428724.316608951, 1618584.8428459018 5428717.216902953, 1618580.3512335313 5428708.070273584, 1618576.0384561177 5428698.787730209, 1618568.804504615 5428691.725278556, 1618554.2480497726 5428674.321685397, 1618543.5672251473 5428671.822360579, 1618538.2485597539 5428662.31940178, 1618528.599358316 5428658.472650516, 1618524.7349260147 5428647.0702826055, 1618519.221643974 5428637.821510894, 1618510.6931968392 5428632.510918012, 1618504.1152278003 5428624.652764642, 1618502.3739585767 5428622.560116258, 1618491.9827028941 5428618.845510198, 1618487.8120834986 5428608.841908, 1618476.7997907852 5428605.755162927, 1618471.3018958385 5428597.09342234, 1618461.9342950056 5428592.343912453, 1618453.8432104767 5428586.30385743, 1618438.0868744226 5428602.233339945, 1618530.979300337 5428678.140199303)), ((1618164.9934143857 5428362.323848248, 1618163.086122675 5428372.677716378, 1618176.6995200547 5428375.1326543335, 1618166.2499012374 5428378.6912758015, 1618201.8868266286 5428376.884434699, 1618191.9336310478 5428372.751009785, 1618182.0334552717 5428363.99626813, 1618164.9934143857 5428362.323848248)), ((1618161.2829465605 5428382.46638562, 1618163.086122675 5428372.677716378, 1618153.2447911487 5428370.9030044805, 1618161.2829465605 5428382.46638562)))",288260.97811407695,5301.346228009242
10,4915897,New Plymouth Airport,N,New Plymouth Airport,"MULTIPOLYGON (((1701125.7447955348 5681467.085961753, 1701125.7447955348 5681472.977172406, 1701138.9624624974 5681478.538407618, 1701137.1844239112 5681467.471105018, 1701129.1912196113 5681461.442448428, 1701128.4901259749 5681461.020696827, 1701125.7447955348 5681467.085961753)), ((1701955.489683899 5682477.735882829, 1701956.900770059 5682479.225362666, 1701952.6048357887 5682473.800912861, 1701950.026051707 5682471.968715515, 1701955.489683899 5682477.735882829)), ((1701958.8522582946 5682484.763930505, 1701958.8250854076 5682481.655183831, 1701957.3843611844 5682479.835990208, 1701958.8522582946 5682484.763930505)), ((1701961.791518269 5682526.739918421, 1701962.1094239345 5682548.993315057, 1701964.652669265 5682558.530485044, 1701976.4151789164 5682571.882523026, 1701994.9982656685 5682590.954638377, 1701993.3704442235 5682586.61082945, 1701989.6175527477 5682577.300491673, 1701986.1097934044 5682567.865483282, 1701981.4373137292 5682559.022842669, 1701982.7698647778 5682547.12609422, 1701979.1101617273 5682537.768363043, 1701976.241782482 5682528.008173172, 1701961.791518269 5682509.213137444, 1701961.791518269 5682526.739918421)))",1120.5619252205463,264.29803371937226
46,4915905,Thames Aerodrome,N,Thames Aerodrome,"MULTIPOLYGON (((1826284.0812601869 5884116.770791585, 1826296.319304054 5884115.0096939895, 1826394.402291062 5884107.460635076, 1826396.1518000257 5884102.610628375, 1826288.161682318 5884105.202603994, 1826284.0812601869 5884116.770791585)), ((1826128.3736657389 5884115.862008381, 1826110.218884728 5884109.473581772, 1826081.0415999533 5884110.173894101, 1826080.0562090008 5884110.212498001, 1826042.467225735 5884122.515968952, 1826026.1045403723 5884136.541127833, 1826007.4043285307 5884160.500774255, 1826001.5605123304 5884182.707275816, 1825998.6386042302 5884200.238724419, 1826003.957374809 5884214.740983766, 1826031.6678320894 5884211.387762402, 1826100.6571066664 5884199.729010446, 1826104.0567943961 5884189.644523909, 1826092.5298740396 5884179.91831921, 1826082.1725681296 5884170.164034797, 1826096.4825176653 5884159.817681307, 1826122.858422108 5884149.181734445, 1826149.23433662 5884138.5457735285, 1826172.771528224 5884134.282398134, 1826128.3736657389 5884115.862008381)))",10443.505337383816,717.6343177012645
