,t50_fid,name_ascii,macronated,name,geometry,affected_area,affected_length
185,2426044,,N,,POINT (1757768.456305001 5433995.537014001),0.0,0.0
274,2426138,,N,,POINT (1845734.1113943066 5919726.671187361),0.0,0.0
