,alphaModif,assetCarri,assetCwayE,assetCwa_1,assetCwayS,assetCwa_2,assetRCAID,assetRoadI,carriagewa,carriage_1,changeDate,createdDat,endName,fullRoadNa,geomModifi,hvyVehicle,hvyVehic_1,ID,ONRCClass,retiredDat,startName,surfaceTyp,trafficVol,vehicleKil,width,TACode,TAName,geometry,affected_area,affected_length
50732,2016/08/04,2497,1329497.5426,4837625.0867,1329475.9419,4837621.1358,Local Authority,6615,152,130,0000/00/00,2016/08/04,CROSS STREET,ALEXANDRA STREET,2016/08/04,5.0,10.0,814948,Low Volume,2500/01/01,MARAMA STREET,Thin Surfaced Flexible,50.0,1.0,6.0,072,Clutha District,"LINESTRING Z (1329475.972 4837621.17 0, 1329497.5669999998 4837625.106 0)",0.0,21.950765840553306
50733,2016/08/04,2498,1329591.3472,4837642.2082,1329497.5427,4837625.0868,Local Authority,6615,250,152,0000/00/00,2016/08/04,MIRREN STREET,ALEXANDRA STREET,2016/08/04,4.0,11.4,814954,Low Volume,2500/01/01,CROSS STREET,Thin Surfaced Flexible,35.0,3.0,6.0,072,Clutha District,"LINESTRING Z (1329497.5669999998 4837625.106 0, 1329573.96 4837637.452 0, 1329579.7510000002 4837640.752 0, 1329589.13 4837646.098 0)",0.0,94.84507516992943
52231,2016/08/04,768,1329463.2369,4837686.9508,1329475.9418,4837621.1358,Local Authority,6616,67,0,0000/00/00,2016/08/04,END OF ROAD AT CUL-DE-SAC,MARAMA STREET,2016/08/04,4.0,40.0,823866,Low Volume,2500/01/01,ALEXANDRA STREET,Thin Surfaced Flexible,10.0,1.0,6.5,072,Clutha District,"LINESTRING Z (1329475.972 4837621.17 0, 1329463.7520000003 4837683.864 0, 1329461.6210000003 4837695.692 0)",0.0,75.89226258820844
52086,2016/08/04,2708,1352476.7687,4859542.552,1351954.9161,4859914.6956,Local Authority,6202,12645,11965,0000/00/00,2016/08/04,50/100 SIGN,KAKA POINT ROAD,2016/08/04,33.0,5.0,822529,Secondary Collector,2500/01/01,BROOKDALE ROAD,Thin Surfaced Flexible,664.0,452.0,6.7,072,Clutha District,"LINESTRING Z (1352266.2103756538 4859688.185965934 0, 1352331.648 4859658.146 0, 1352377.7249999996 4859636.784 0, 1352410.9280000003 4859615.786 0, 1352433.2070000004 4859594.765 0, 1352445.2323176786 4859581.213704835 0)",0.0,210.82514798531824
52274,2016/08/04,1292,1367783.2961,4873243.9045,1364234.8786,4870787.4105,Local Authority,5971,7150,2071,0000/00/00,2016/08/04,BRIDGE NO. 21,COAST ROAD,2016/08/04,5.0,10.0,818306,Access,2500/01/01,MCCROSTIES ROAD,Unsealed,50.0,254.0,3.3,072,Clutha District,"MULTILINESTRING Z ((1366750.8820269778 4871386.250088358 0, 1366751.093340411 4871386.462222462 0), (1366776.9506305503 4871410.682335866 0, 1366787.795 4871419.553 0, 1366808.0437575562 4871433.49533805 0))",0.0,38.8943096966505
113181,2016/08/04,192801,1206650.3385,4851044.8372,1206050.4085,4851790.8472,Local Authority,1928,3623,2627,0000/00/00,2016/08/04,DEAD END,COLAC FORESHORE ROAD,2016/08/04,7.0,5.4,1228424,Access,2500/01/01,END OF SEAL,Unsealed,130.0,129.0,3.5,073,Southland District,"MULTILINESTRING Z ((1206063.1699514065 4851788.394838683 0, 1206069.892 4851785.053 0, 1206078.4359999998 4851779.384 0, 1206078.9533578549 4851778.869002023 0), (1206109.3699582806 4851739.077782705 0, 1206110.545 4851737.421 0, 1206115.5140000004 4851730.416 0, 1206131.9129999997 4851709.126 0, 1206147.596 4851690.678 0, 1206169.6799999997 4851670.113 0, 1206235.9119999995 4851618.366 0, 1206245.2779655447 4851610.130787431 0), (1206269.8295190644 4851588.543342854 0, 1206278.6519999998 4851580.786 0, 1206294.0205680649 4851567.462212887 0), (1206411.6264232679 4851445.006273073 0, 1206416.1770000001 4851440.339 0, 1206432.563 4851424.736 0, 1206445.3830000004 4851414.812 0, 1206446.836575946 4851414.041030181 0), (1206449.7069413126 4851412.518601941 0, 1206466.7350000003 4851403.487 0, 1206488.0529331183 4851392.454707534 0), (1206645.0198193926 4851058.554619383 0, 1206650.3219999997 4851044.849 0))",0.0,343.95975012741025
75449,2017/06/29,956356,1206757.303046,4852949.613694,1207177.60283,4853226.524706,Local Authority,1928,1222,717,0000/00/00,2017/06/29,END OF CLOSED SECTION OF ROAD,COLAC FORESHORE RD,2017/07/06,0.0,0.0,2416166,Access,2500/01/01,START OF CLOSED SECTION OF ROAD,Thin Surfaced Flexible,0.0,0.0,5.8,073,Southland District,"LINESTRING Z (1207129.0888954883 4853195.936205735 0, 1207102.3480000002 4853180.967 0, 1207057.1059999997 4853153.928 0, 1206997.1950000003 4853116.653 0, 1206949.0433490968 4853085.977878485 0)",0.0,211.00452560646843
122078,2016/08/04,196201,1192857.1886,4855444.2367,1193237.7886,4855670.6767,Local Authority,1962,3640,2977,0000/00/00,2016/08/04,END OF ROAD,MULLET ROAD,2016/08/04,28.0,20.0,1240777,Access,2500/01/01,END OF SEAL,Unsealed,140.0,93.0,3.8,073,Southland District,"MULTILINESTRING Z ((1192977.7488288295 4855548.117032053 0, 1192965.3530000001 4855541.263 0, 1192961.46874944 4855539.882407091 0), (1192959.552795324 4855539.201412746 0, 1192953.1509999996 4855536.926 0, 1192945.1414753404 4855536.407457854 0), (1192871.9955008589 4855504.585083142 0, 1192865.6090000002 4855493.628 0, 1192860.341092034 4855486.21791245 0))",0.0,54.881537179004624
122077,2016/08/04,196222,1193237.7886,4855670.6767,1194421.3786,4855715.5467,Local Authority,1962,2977,1724,0000/00/00,2016/08/04,END OF SEAL,MULLET ROAD,2016/08/04,28.0,20.0,1240771,Access,2500/01/01,SKEGGS RD,Thin Surfaced Flexible,140.0,175.0,4.9,073,Southland District,"LINESTRING Z (1193629.826283856 4855715.468345602 0, 1193606.4400000004 4855716.543 0, 1193582.7359999996 4855715.771 0, 1193557.858561964 4855712.362753116 0)",0.0,72.23735051580437
110946,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Primary Collector,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1384502.458848594 4897675.958713201 0, 1384501.429420178 4897673.165516471 0)",0.0,2.9768558644606915
184772,2018/03/22,3588,1383697.079793,4896439.267275,1391186.04,4907195.67,Private,6897,13422,0,0000/00/00,2018/03/22,BOUNDARY,TAIERI MOUTH ROAD,2018/03/29,0.0,0.0,2616707,,2500/01/01,BIG STONE ROAD,Thin Surfaced Flexible,0.0,0.0,1.0,072,Clutha District,"MULTILINESTRING Z ((1390320.927365441 4906495.808975266 0, 1390300.1537646146 4906477.981768672 0), (1390233.238882582 4906406.740246717 0, 1390225.1100000003 4906394.477 0, 1390221.5655100457 4906388.620886162 0), (1384502.458848594 4897675.958713201 0, 1384501.429420178 4897673.165516471 0))",0.0,51.90918064652081
117652,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Primary Collector,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"MULTILINESTRING Z ((1390320.927365441 4906495.808975266 0, 1390300.1537646146 4906477.981768672 0), (1390233.238882582 4906406.740246717 0, 1390225.1100000003 4906394.477 0, 1390221.5655100457 4906388.620886162 0))",0.0,48.93232478206012
117292,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1393309.0503926226 4908294.139106448 0, 1393317.2680000002 4908295.737 0, 1393324.244 4908295.737 0, 1393381.5470000003 4908293.744 0, 1393427.6380000003 4908286.27 0, 1393436.1090000002 4908283.778 0, 1393442.8360000001 4908279.543 0, 1393447.5700000003 4908274.809 0, 1393451.0580000002 4908269.328 0, 1393454.795 4908262.601 0, 1393456.29 4908255.376 0, 1393456.5389999999 4908247.404 0, 1393455.7920000004 4908237.438 0, 1393453.5489999996 4908230.213 0, 1393449.812 4908220.247 0, 1393444.829 4908212.025 0, 1393439.3480000002 4908206.793 0, 1393431.8739999998 4908202.06 0, 1393421.9079999998 4908198.073 0, 1393385.091330801 4908186.414449659 0)",0.0,275.9912499368256
116904,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Primary Collector,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1393568.5609999998 4908668.632 0, 1393566.847 4908665.435 0, 1393564.6270000003 4908661.296 0, 1393561.5360000003 4908654.771 0, 1393558.767 4908645.86 0, 1393557.1090000002 4908638.143 0, 1393555.613 4908628.598 0, 1393555.051 4908621.864 0, 1393554.6040000003 4908613.74 0, 1393555.1279999996 4908605.756 0, 1393556.3140000002 4908597.842 0, 1393558.6090000002 4908588.106 0, 1393566.9100000001 4908563.462 0, 1393567.955 4908557.549 0, 1393567.9400000004 4908553.541 0, 1393566.8830000004 4908547.63 0, 1393565.4000000004 4908543.901 0, 1393563.2139999997 4908540.533 0, 1393558.9079999998 4908536.343 0, 1393555.4989999998 4908534.227 0, 1393551.704 4908532.896 0, 1393547.767 4908532.144 0, 1393541.7680000002 4908531.93 0, 1393537.7869999995 4908532.384 0, 1393533.8619999997 4908533.176 0, 1393528.0810000002 4908534.785 0, 1393520.5329999998 4908537.441 0, 1393509.3226964278 4908541.817356781 0)",0.0,191.48124799844706
116405,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"MULTILINESTRING Z ((1393568.5609999998 4908668.632 0, 1393565.7343313955 4908668.743537093 0), (1393534.9895426012 4908599.567761415 0, 1393535.108 4908598.286 0, 1393534.614 4908595.365 0, 1393533.6919999998 4908592.799 0, 1393532.2709999997 4908590.731 0, 1393530.67589183 4908589.862047055 0))",0.0,14.13078186506398
116903,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Primary Collector,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1393636.6920081486 4908759.451249074 0, 1393635.6739999996 4908756.735 0, 1393633.273 4908750.862 0, 1393630.801 4908746.046 0, 1393626.9989999998 4908739.963 0, 1393623.324 4908735.02 0, 1393611.2199999997 4908721.015 0, 1393604.5659999996 4908713.22 0, 1393595.5089999996 4908702.876 0, 1393584.921 4908690.344 0, 1393578.7750000004 4908682.866 0, 1393572.7539999997 4908674.881 0, 1393568.5609999998 4908668.632 0)",0.0,114.11164998993559
115348,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Primary Collector,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"MULTILINESTRING Z ((1423347.4976348504 4926345.005458001 0, 1423350.2709999997 4926352.378 0, 1423353.9359999998 4926363.213 0, 1423359.5889999997 4926381.097 0, 1423362.3090000004 4926392.037 0, 1423365.4409999996 4926407.604 0, 1423367.5259999996 4926420.435 0, 1423368.708095146 4926432.754196197 0), (1423345.9725820583 4926775.421914568 0, 1423345.1318614373 4926778.988691481 0), (1423328.932840076 4926848.91371017 0, 1423327.2750000004 4926856.442 0, 1423327.0617627176 4926857.703788035 0))",0.0,103.25112243769112
112700,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1421747.681057821 4927892.844996577 0, 1421749.0369999995 4927893.282 0, 1421758.722 4927896.733 0, 1421770.8559999997 4927902.076 0, 1421778.6179999998 4927905.829 0, 1421780.443 4927906.872 0, 1421787.443 4927910.871 0, 1421794.011 4927915.435 0, 1421798.9349999996 4927920.062 0, 1421804.6979999999 4927926.456 0, 1421811.5999999996 4927935.695 0, 1421812.9237504331 4927937.718717207 0)",0.0,81.06322062073845
114168,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1418794.7852384148 4946316.103794208 0, 1418808.7879999997 4946324.545 0, 1418846.4929999998 4946347.549 0, 1418871.0099999998 4946362.451 0, 1418896.4560000002 4946377.726 0, 1418942.2400000002 4946405.665 0, 1418980.6890000002 4946428.578 0, 1419001.2120000003 4946441.15 0, 1419021.83 4946453.538 0, 1419044.1179999998 4946467.228 0, 1419053.0379999997 4946472.833 0)",0.0,302.0945201137413
114169,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1419053.0379999997 4946472.833 0, 1419067.7659999998 4946482.088 0, 1419088.529 4946494.032 0, 1419098.1579999998 4946499.637 0, 1419121.1179999998 4946512.873 0, 1419143.2019999996 4946526.243 0, 1419182.1890000002 4946546.843 0, 1419202.0653422996 4946557.819030559 0)",0.0,171.60748541077874
112748,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1419067.7659999998 4946482.088 0, 1419058.5608193693 4946499.424225958 0)",0.0,19.62855269484784
114539,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1419494.382404421 4946628.720866759 0, 1419495.1569999997 4946627.878 0, 1419499.6840000004 4946623.363 0, 1419503.591 4946620.492 0, 1419508.7319999998 4946617.21 0, 1419513.6670000004 4946614.751 0, 1419518.5999999996 4946612.908 0, 1419524.5599999996 4946611.888 0, 1419535.8619999997 4946611.491 0, 1419564.4220000003 4946611.322 0, 1419578.5999999996 4946611.134 0, 1419601.614 4946610.137 0, 1419619.6960000005 4946609.749 0, 1419694.904 4946605.529 0, 1419706.205 4946605.543 0, 1419743.3930000002 4946606.618 0, 1419761.7267867427 4946607.224996225 0)",0.0,272.6576605059044
114540,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,071,Dunedin City,"LINESTRING Z (1419448.2488450194 4946636.59477402 0, 1419446.6560000004 4946636.035 0, 1419440.904 4946635 0, 1419432.4800000004 4946634.579 0, 1419422.1840000004 4946635.827 0, 1419414.7189999996 4946637.272 0, 1419403.0920000002 4946639.062 0, 1419396.8274761257 4946639.986858789 0)",0.0,52.03856760515053
146130,2016/08/04,8687,1422197.2529,4961190.344,1428677.0034,4964742.8988,Crown,749,15165,6470,0000/00/00,2016/08/04,50/100 KMH SIGN,01S-0635,2016/08/04,507.0,13.0,1488898,National,2500/01/01,PASSING LANE END RHS,Thin Surfaced Flexible,3900.0,33911.0,8.8,900,RAMM StateHighways,"MULTILINESTRING Z ((1428646.8871731192 4964436.479311285 0, 1428646.8978441823 4964436.22033428 0), (1428680.9666714615 4964091.685992972 0, 1428688.0930000003 4964027.946 0, 1428690.635785625 4963999.749567601 0), (1428690.8839683104 4963996.997520302 0, 1428691.8585225223 4963986.190886946 0))",0.0,103.55766875203615
157952,2016/08/04,8685,1428788.7166,4965501.6269,1429358.6946,4967744.7335,Crown,749,5700,3370,0000/00/00,2016/08/04,PASSING LANE START LHS,01S-0635,2016/08/04,507.0,13.0,1488886,National,2500/01/01,PASSING LANE START RHS,Thin Surfaced Flexible,3900.0,9087.0,8.8,900,RAMM StateHighways,"LINESTRING Z (1429295.9173251537 4967549.122918857 0, 1429292.4119999995 4967536.798 0, 1429292.1235091074 4967535.852178294 0)",0.0,13.802541422920527
103996,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"LINESTRING Z (1436362.7144308744 4997478.21440569 0, 1436363.881 4997481.527 0, 1436368.1449999996 4997490.544 0)",0.0,13.486369326192843
105371,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"LINESTRING Z (1436373.8025652452 4997518.644292495 0, 1436368.1449999996 4997490.544 0)",0.0,28.66416722736936
110707,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"MULTILINESTRING Z ((1437836.6156098652 4999306.248152708 0, 1437846.9413705308 4999318.703890909 0), (1438159.5499759074 4999659.841038834 0, 1438163.8122733464 4999664.23907823 0))",0.0,22.303742340498946
108610,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"LINESTRING Z (1441236.2604124094 5005252.140449787 0, 1441265.4050000003 5005234.062 0)",0.0,34.2963166029145
109412,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"LINESTRING Z (1441379.075913952 5005455.046139597 0, 1441399.8140000002 5005442.608 0)",0.0,24.182132444828234
105530,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"MULTILINESTRING Z ((1441675.5234239977 5005820.097743735 0, 1441683.630960379 5005815.110795682 0), (1441686.1044661063 5005813.58934157 0, 1441687.682 5005812.619 0))",0.0,11.370571044407152
105529,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,068,Waitaki District,"LINESTRING Z (1441840.6562375976 5005994.647816202 0, 1441848.9790000003 5005989.425 0)",0.0,9.825791728419993
47603,2017/03/23,4989,1461824.421455,5080610.598841,1461682.146272,5080784.525558,Local Authority,873,1006,649,0000/00/00,2016/08/04,END OF STREET,SOUTH STREET,2016/08/04,4.0,1.3,792829,Access,2500/01/01,END OF KERB AND CHANNEL RHS,Thin Surfaced Flexible,314.0,112.0,6.0,064,Timaru District,"LINESTRING Z (1461844.4136114006 5080795.663809161 0, 1461849.1550000003 5080792.749 0, 1461851.92 5080789.775 0, 1461854.4730000002 5080784.248 0, 1461854.2640000004 5080776.383 0, 1461851.296 5080758.525 0, 1461848.75 5080748.957 0, 1461845.3540000003 5080737.264 0, 1461841.7489999998 5080718.769 0, 1461836.0199999996 5080693.043 0, 1461832.4160000002 5080673.485 0, 1461830.5080000004 5080662.854 0, 1461829.2369999997 5080650.737 0, 1461826.8550000004 5080615.215 0, 1461825.7580000004 5080610.301 0)",0.0,192.47007212999614
399,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"MULTILINESTRING Z ((1251046.6759568728 5119283.547462588 0, 1250983.3260000004 5119302.182 0, 1250785.0029999996 5119352.613 0, 1250775.5168139732 5119353.622865696 0), (1248209.8581834913 5121587.652362752 0, 1248209.2981771107 5121588.853330065 0), (1248202.6477224522 5121603.112537226 0, 1248197.9561599575 5121613.034751505 0))",0.0,292.5087296219484
387,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"MULTILINESTRING Z ((1270104.5799075528 5129719.894574521 0, 1270097.386456051 5129709.819967482 0), (1270087.848743214 5129696.462164367 0, 1270083.872392358 5129690.893186483 0))",0.0,19.22202471006434
587,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1272207.305711966 5131550.1562282415 0, 1272154.8389999997 5131522.276 0)",0.0,59.41433321495435
414,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1274486.9419999998 5132779.31 0, 1274318.37 5132693.087 0, 1274181.6570719085 5132623.29093054 0)",0.0,342.842316836422
323,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"MULTILINESTRING Z ((1275834.5532050314 5133445.327909361 0, 1275454.5765398347 5133262.746815334 0), (1275128.523490412 5133106.076345995 0, 1275083.489 5133084.437 0, 1274886.8968818877 5132983.882369395 0), (1274702.2667687736 5132889.446168183 0, 1274486.9419999998 5132779.31 0))",0.0,934.2027410735724
47697,2017/03/23,4744,1461798.860365,5087778.509774,1461564.74206,5087923.450778,Local Authority,25,1516,1241,0000/00/00,2016/08/04,SEAL START (EAST),AORANGI ROAD,2016/08/04,52.0,19.6,779820,Access,2500/01/01,SEAL JOIN AC/CHIP,Thin Surfaced Flexible,265.0,73.0,5.7,064,Timaru District,"LINESTRING Z (1461702.6287109626 5087837.325579675 0, 1461799.1059999997 5087777.976 0)",0.0,113.2706489235325
47427,2017/03/23,1926,1465746.730378,5092719.28992,1464364.019528,5093010.962215,Local Authority,64,3400,2014,0000/00/00,2016/08/04,TOP OF STOPBANK,BEACH ROAD,2016/08/04,8.0,6.1,780468,Access,2500/01/01,SEAL  END (EAST),Unsealed,132.0,183.0,3.6,064,Timaru District,"LINESTRING Z (1465619.4909033997 5092743.26975879 0, 1465714.1840000004 5092723.062 0, 1465746.0820000004 5092716.255 0)",0.0,129.44150389692342
46967,2017/03/23,1924,1467363.489673,5094625.550071,1466947.365442,5094715.666643,Local Authority,203,2950,2525,0000/00/00,2016/08/04,TOP OF STOPBANK,CONNOLLY ROAD,2016/08/04,5.0,29.4,782392,Access,2500/01/01,SEAL START (EAST),Unsealed,17.0,7.0,3.6,064,Timaru District,"LINESTRING Z (1467276.9493448518 5094643.06723127 0, 1467363.1969999997 5094624.212 0)",0.0,88.28464059354728
