,alphaModif,assetCarri,assetCwayE,assetCwa_1,assetCwayS,assetCwa_2,assetRCAID,assetRoadI,carriagewa,carriage_1,changeDate,createdDat,endName,fullRoadNa,geomModifi,hvyVehicle,hvyVehic_1,ID,ONRCClass,retiredDat,startName,surfaceTyp,trafficVol,vehicleKil,width,TACode,TAName,geometry,affected_area,affected_length
160125,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,076,Auckland,"LINESTRING Z (1779513.0539999995 5926613.924 0, 1779529.072741394 5926612.510208921 0)",0.0,16.081009951981066
159341,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,076,Auckland,"LINESTRING Z (1779357.5566084355 5926608.179059955 0, 1779387.9249999998 5926612.564 0, 1779391.8830000004 5926613.672 0, 1779394.6900000004 5926614.958 0)",0.0,37.88105720628419
158992,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,076,Auckland,"LINESTRING Z (1779397.150306832 5926616.495104193 0, 1779394.6900000004 5926614.958 0)",0.0,2.9009996563776497
117697,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,076,Auckland,"MULTILINESTRING Z ((1779513.5042395378 5927347.102303441 0, 1779512.984918946 5927347.591289127 0), (1779480.4880550387 5927378.056034184 0, 1779474.9601966436 5927383.186715215 0))",0.0,8.255259192192717
160171,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,076,Auckland,"LINESTRING Z (1779190.0944737724 5927664.517952366 0, 1779183.165 5927682.072 0, 1779181.6212355837 5927686.440072313 0)",0.0,23.50510617864045
51641,2016/08/04,2617,1329749.0948,4837388.652,1329681.9518,4837306.2619,Local Authority,6971,103,0,0000/00/00,2016/08/04,MIRREN STREET,LILLY STREET,2016/08/04,6.0,6.0,823361,Low Volume,2500/01/01,CROSS STREET,Unsealed,100.0,10.0,3.2,072,Clutha District,"LINESTRING Z (1329688.648 4837314.67 0, 1329692.0379999997 4837316.353 0, 1329696.6449999996 4837319.605 0, 1329702.6059999997 4837327.462 0, 1329708.8370000003 4837336.675 0, 1329719.7110000001 4837353.771 0, 1329751.6160000004 4837393.932 0)",0.0,101.96142937912978
51642,2016/08/04,2818,1329799.0123,4837449.9293,1329749.0949,4837388.6522,Local Authority,6971,182,103,0000/00/00,2016/08/04,END OF ROAD AT REST AREA,LILLY STREET,2016/08/04,9.0,12.9,823367,Low Volume,2500/01/01,MIRREN STREET,Unsealed,70.0,6.0,3.2,072,Clutha District,"LINESTRING Z (1329751.6160000004 4837393.932 0, 1329766.8509999998 4837414.487 0, 1329782.3439999996 4837436.816 0, 1329787.2019999996 4837445.883 0, 1329789.4689999996 4837452.037 0, 1329789.4689999996 4837458.19 0, 1329787.8490000004 4837463.695 0, 1329780.0769999996 4837474.058 0, 1329761.6179999998 4837494.137 0)",0.0,121.72719716316746
52485,2016/08/04,769,1329681.9518,4837306.2618,1329497.5427,4837625.0868,Local Authority,6618,366,0,0000/00/00,2016/08/04,LILLY STREET,CROSS STREET (PAPATOWAI),2016/08/04,15.0,30.0,818822,Low Volume,2500/01/01,ALEXANDRA STREET,Unsealed,50.0,18.0,2.2,072,Clutha District,"LINESTRING Z (1329497.5669999998 4837625.106 0, 1329570.6260000002 4837517.681 0, 1329635.1390000004 4837391.406 0, 1329667.9239999996 4837327.733 0, 1329673.3430000003 4837319.876 0, 1329681.2000000002 4837315.54 0, 1329683.011 4837315.328 0, 1329688.648 4837314.67 0)",0.0,369.34959944238483
53772,2016/08/04,2915,1329749.0951,4837388.6518,1329591.3466,4837642.2081,Local Authority,6619,297,0,0000/00/00,2016/08/04,LILLY STREET,MIRREN STREET,2016/08/04,0.0,0.0,824446,Low Volume,2500/01/01,ALEXANDRA STREET,Thin Surfaced Flexible,40.0,12.0,7.2,072,Clutha District,"LINESTRING Z (1329579.7510000002 4837640.752 0, 1329587.7460000003 4837635.09 0, 1329593.7000000002 4837630.873 0, 1329601.3899999997 4837622.191 0, 1329724.699 4837424.51 0, 1329733.5029999996 4837412.206 0, 1329741.8159999996 4837402.232 0, 1329751.6160000004 4837393.932 0)",0.0,302.63382702702376
50731,2017/06/22,767,1329475.94,4837621.14,1329356.5,4837570.84,Local Authority,6615,130,0,0000/00/00,2016/08/04,MARAMA STREET,ALEXANDRA STREET,2016/08/04,20.0,28.6,814942,Low Volume,2500/01/01,CHASLANDS HIGHWAY,Thin Surfaced Flexible,70.0,9.0,6.0,072,Clutha District,"LINESTRING Z (1329473.4159191723 4837620.7041106075 0, 1329475.972 4837621.17 0)",0.0,2.598192087552368
